Federación;Comunidad autónoma;periodo;Total
TOTAL;TOTAL;2024;4.315.809
TOTAL;TOTAL;2023;4.326.102
TOTAL;TOTAL;2022;4.112.695
TOTAL;TOTAL;2021;3.625.853
TOTAL;TOTAL;2020;3.829.919
TOTAL;TOTAL;2019;3.929.324
TOTAL;TOTAL;2018;3.866.867
TOTAL;TOTAL;2017;3.761.498
TOTAL;TOTAL;2016;3.586.133
TOTAL;TOTAL;2015;3.504.859
TOTAL;TOTAL;2014;3.391.298
TOTAL;TOTAL;2013;3.394.635
TOTAL;TOTAL;2012;3.498.848
TOTAL;TOTAL;2011;3.548.118
TOTAL;TOTAL;2010;3.520.192
TOTAL;TOTAL;2009;3.470.659
TOTAL;TOTAL;2008;3.394.834
TOTAL;TOTAL;2007;3.325.984
TOTAL;TOTAL;2006;3.190.964
TOTAL;TOTAL;2005;3.138.201
TOTAL;Andalucía;2024;612.663
TOTAL;Andalucía;2023;611.255
TOTAL;Andalucía;2022;575.936
TOTAL;Andalucía;2021;523.677
TOTAL;Andalucía;2020;531.257
TOTAL;Andalucía;2019;522.527
TOTAL;Andalucía;2018;518.443
TOTAL;Andalucía;2017;526.518
TOTAL;Andalucía;2016;514.321
TOTAL;Andalucía;2015;516.258
TOTAL;Andalucía;2014;515.691
TOTAL;Andalucía;2013;564.756
TOTAL;Andalucía;2012;576.481
TOTAL;Andalucía;2011;570.572
TOTAL;Andalucía;2010;563.546
TOTAL;Andalucía;2009;554.784
TOTAL;Andalucía;2008;532.902
TOTAL;Andalucía;2007;513.626
TOTAL;Andalucía;2006;486.799
TOTAL;Andalucía;2005;460.481
TOTAL;Aragón;2024;159.733
TOTAL;Aragón;2023;159.357
TOTAL;Aragón;2022;152.416
TOTAL;Aragón;2021;135.904
TOTAL;Aragón;2020;148.140
TOTAL;Aragón;2019;142.671
TOTAL;Aragón;2018;140.727
TOTAL;Aragón;2017;147.852
TOTAL;Aragón;2016;145.948
TOTAL;Aragón;2015;141.564
TOTAL;Aragón;2014;139.572
TOTAL;Aragón;2013;139.596
TOTAL;Aragón;2012;144.515
TOTAL;Aragón;2011;144.198
TOTAL;Aragón;2010;145.457
TOTAL;Aragón;2009;144.019
TOTAL;Aragón;2008;132.900
TOTAL;Aragón;2007;132.634
TOTAL;Aragón;2006;127.491
TOTAL;Aragón;2005;125.469
TOTAL;Asturias, Principado de;2024;112.936
TOTAL;Asturias, Principado de;2023;110.778
TOTAL;Asturias, Principado de;2022;108.814
TOTAL;Asturias, Principado de;2021;100.914
TOTAL;Asturias, Principado de;2020;101.740
TOTAL;Asturias, Principado de;2019;101.066
TOTAL;Asturias, Principado de;2018;101.024
TOTAL;Asturias, Principado de;2017;98.634
TOTAL;Asturias, Principado de;2016;97.114
TOTAL;Asturias, Principado de;2015;93.611
TOTAL;Asturias, Principado de;2014;88.006
TOTAL;Asturias, Principado de;2013;86.333
TOTAL;Asturias, Principado de;2012;87.516
TOTAL;Asturias, Principado de;2011;87.496
TOTAL;Asturias, Principado de;2010;89.875
TOTAL;Asturias, Principado de;2009;86.735
TOTAL;Asturias, Principado de;2008;83.204
TOTAL;Asturias, Principado de;2007;82.034
TOTAL;Asturias, Principado de;2006;85.245
TOTAL;Asturias, Principado de;2005;82.290
TOTAL;Balears, Illes;2024;124.799
TOTAL;Balears, Illes;2023;119.993
TOTAL;Balears, Illes;2022;115.854
TOTAL;Balears, Illes;2021;111.365
TOTAL;Balears, Illes;2020;103.906
TOTAL;Balears, Illes;2019;106.245
TOTAL;Balears, Illes;2018;100.895
TOTAL;Balears, Illes;2017;98.357
TOTAL;Balears, Illes;2016;92.871
TOTAL;Balears, Illes;2015;88.295
TOTAL;Balears, Illes;2014;82.941
TOTAL;Balears, Illes;2013;83.463
TOTAL;Balears, Illes;2012;83.050
TOTAL;Balears, Illes;2011;90.191
TOTAL;Balears, Illes;2010;86.704
TOTAL;Balears, Illes;2009;84.767
TOTAL;Balears, Illes;2008;80.002
TOTAL;Balears, Illes;2007;80.997
TOTAL;Balears, Illes;2006;80.456
TOTAL;Balears, Illes;2005;77.741
TOTAL;Canarias;2024;191.742
TOTAL;Canarias;2023;197.686
TOTAL;Canarias;2022;187.828
TOTAL;Canarias;2021;171.447
TOTAL;Canarias;2020;170.452
TOTAL;Canarias;2019;176.283
TOTAL;Canarias;2018;166.187
TOTAL;Canarias;2017;163.101
TOTAL;Canarias;2016;158.799
TOTAL;Canarias;2015;152.294
TOTAL;Canarias;2014;149.145
TOTAL;Canarias;2013;140.831
TOTAL;Canarias;2012;144.008
TOTAL;Canarias;2011;146.724
TOTAL;Canarias;2010;143.312
TOTAL;Canarias;2009;145.503
TOTAL;Canarias;2008;150.028
TOTAL;Canarias;2007;150.821
TOTAL;Canarias;2006;135.414
TOTAL;Canarias;2005;140.380
TOTAL;Cantabria;2024;78.501
TOTAL;Cantabria;2023;84.031
TOTAL;Cantabria;2022;80.048
TOTAL;Cantabria;2021;66.884
TOTAL;Cantabria;2020;76.767
TOTAL;Cantabria;2019;78.145
TOTAL;Cantabria;2018;74.490
TOTAL;Cantabria;2017;73.290
TOTAL;Cantabria;2016;71.599
TOTAL;Cantabria;2015;67.936
TOTAL;Cantabria;2014;65.682
TOTAL;Cantabria;2013;62.803
TOTAL;Cantabria;2012;62.611
TOTAL;Cantabria;2011;61.485
TOTAL;Cantabria;2010;60.079
TOTAL;Cantabria;2009;61.613
TOTAL;Cantabria;2008;59.896
TOTAL;Cantabria;2007;58.466
TOTAL;Cantabria;2006;52.821
TOTAL;Cantabria;2005;55.593
TOTAL;Castilla y León;2024;200.705
TOTAL;Castilla y León;2023;194.363
TOTAL;Castilla y León;2022;186.729
TOTAL;Castilla y León;2021;151.693
TOTAL;Castilla y León;2020;170.536
TOTAL;Castilla y León;2019;193.778
TOTAL;Castilla y León;2018;183.915
TOTAL;Castilla y León;2017;181.196
TOTAL;Castilla y León;2016;179.352
TOTAL;Castilla y León;2015;175.529
TOTAL;Castilla y León;2014;173.701
TOTAL;Castilla y León;2013;167.511
TOTAL;Castilla y León;2012;176.236
TOTAL;Castilla y León;2011;181.303
TOTAL;Castilla y León;2010;179.427
TOTAL;Castilla y León;2009;188.545
TOTAL;Castilla y León;2008;185.677
TOTAL;Castilla y León;2007;178.447
TOTAL;Castilla y León;2006;165.618
TOTAL;Castilla y León;2005;160.963
TOTAL;Castilla-La Mancha;2024;136.496
TOTAL;Castilla-La Mancha;2023;142.333
TOTAL;Castilla-La Mancha;2022;135.595
TOTAL;Castilla-La Mancha;2021;106.581
TOTAL;Castilla-La Mancha;2020;125.215
TOTAL;Castilla-La Mancha;2019;128.569
TOTAL;Castilla-La Mancha;2018;132.033
TOTAL;Castilla-La Mancha;2017;130.708
TOTAL;Castilla-La Mancha;2016;124.354
TOTAL;Castilla-La Mancha;2015;128.884
TOTAL;Castilla-La Mancha;2014;130.939
TOTAL;Castilla-La Mancha;2013;129.290
TOTAL;Castilla-La Mancha;2012;131.991
TOTAL;Castilla-La Mancha;2011;143.636
TOTAL;Castilla-La Mancha;2010;151.304
TOTAL;Castilla-La Mancha;2009;152.181
TOTAL;Castilla-La Mancha;2008;150.501
TOTAL;Castilla-La Mancha;2007;145.742
TOTAL;Castilla-La Mancha;2006;137.677
TOTAL;Castilla-La Mancha;2005;137.915
TOTAL;Cataluña;2024;712.523
TOTAL;Cataluña;2023;701.409
TOTAL;Cataluña;2022;668.760
TOTAL;Cataluña;2021;616.788
TOTAL;Cataluña;2020;639.790
TOTAL;Cataluña;2019;651.691
TOTAL;Cataluña;2018;643.460
TOTAL;Cataluña;2017;627.332
TOTAL;Cataluña;2016;615.322
TOTAL;Cataluña;2015;597.973
TOTAL;Cataluña;2014;561.601
TOTAL;Cataluña;2013;558.667
TOTAL;Cataluña;2012;596.272
TOTAL;Cataluña;2011;606.300
TOTAL;Cataluña;2010;599.618
TOTAL;Cataluña;2009;568.760
TOTAL;Cataluña;2008;568.734
TOTAL;Cataluña;2007;562.098
TOTAL;Cataluña;2006;558.874
TOTAL;Cataluña;2005;547.904
TOTAL;Comunitat Valenciana;2024;417.145
TOTAL;Comunitat Valenciana;2023;409.561
TOTAL;Comunitat Valenciana;2022;390.958
TOTAL;Comunitat Valenciana;2021;350.856
TOTAL;Comunitat Valenciana;2020;344.437
TOTAL;Comunitat Valenciana;2019;371.591
TOTAL;Comunitat Valenciana;2018;401.209
TOTAL;Comunitat Valenciana;2017;395.973
TOTAL;Comunitat Valenciana;2016;382.684
TOTAL;Comunitat Valenciana;2015;363.154
TOTAL;Comunitat Valenciana;2014;347.140
TOTAL;Comunitat Valenciana;2013;341.744
TOTAL;Comunitat Valenciana;2012;342.850
TOTAL;Comunitat Valenciana;2011;352.838
TOTAL;Comunitat Valenciana;2010;352.142
