Federación;Clubs deportivos federados;periodo;Total
TOTAL;Nº de clubs;2024;78.690
TOTAL;Nº de clubs;2023;77.144
TOTAL;Nº de clubs;2022;76.502
TOTAL;Nº de clubs;2021;76.214
TOTAL;Nº de clubs;2020;74.459
TOTAL;Nº de clubs;2019;75.455
TOTAL;Nº de clubs;2018;78.691
TOTAL;Nº de clubs;2017;67.030
TOTAL;Nº de clubs;2016;66.004
TOTAL;Nº de clubs;2015;65.711
TOTAL;Nº de clubs;2014;65.005
TOTAL;Nº de clubs;2013;62.363
TOTAL;Nº de clubs;2012;62.346
TOTAL;Nº de clubs;2011;60.262
TOTAL;Nº de clubs;2010;59.531
TOTAL;Nº de clubs;2009;58.342
TOTAL;Nº de clubs;2008;57.752
TOTAL;Nº de clubs;2007;57.231
TOTAL;Nº medio de licencias;2024;54,8
TOTAL;Nº medio de licencias;2023;56,1
TOTAL;Nº medio de licencias;2022;53,8
TOTAL;Nº medio de licencias;2021;47,6
TOTAL;Nº medio de licencias;2020;51,4
TOTAL;Nº medio de licencias;2019;52,1
TOTAL;Nº medio de licencias;2018;49,1
TOTAL;Nº medio de licencias;2017;56,1
TOTAL;Nº medio de licencias;2016;54,3
TOTAL;Nº medio de licencias;2015;53,3
TOTAL;Nº medio de licencias;2014;52,2
TOTAL;Nº medio de licencias;2013;54,4
TOTAL;Nº medio de licencias;2012;56,1
TOTAL;Nº medio de licencias;2011;58,9
TOTAL;Nº medio de licencias;2010;59,1
TOTAL;Nº medio de licencias;2009;59,5
TOTAL;Nº medio de licencias;2008;58,8
TOTAL;Nº medio de licencias;2007;58,1
Actividades Subacuáticas;Nº de clubs;2024;945
Actividades Subacuáticas;Nº de clubs;2023;897
Actividades Subacuáticas;Nº de clubs;2022;895
Actividades Subacuáticas;Nº de clubs;2021;908
Actividades Subacuáticas;Nº de clubs;2020;909
Actividades Subacuáticas;Nº de clubs;2019;964
Actividades Subacuáticas;Nº de clubs;2018;988
Actividades Subacuáticas;Nº de clubs;2017;988
Actividades Subacuáticas;Nº de clubs;2016;989
Actividades Subacuáticas;Nº de clubs;2015;990
Actividades Subacuáticas;Nº de clubs;2014;996
Actividades Subacuáticas;Nº de clubs;2013;991
Actividades Subacuáticas;Nº de clubs;2012;1.180
Actividades Subacuáticas;Nº de clubs;2011;1.101
Actividades Subacuáticas;Nº de clubs;2010;1.101
Actividades Subacuáticas;Nº de clubs;2009;1.101
Actividades Subacuáticas;Nº de clubs;2008;1.101
Actividades Subacuáticas;Nº de clubs;2007;1.471
Actividades Subacuáticas;Nº medio de licencias;2024;34,1
Actividades Subacuáticas;Nº medio de licencias;2023;35,5
Actividades Subacuáticas;Nº medio de licencias;2022;36,1
Actividades Subacuáticas;Nº medio de licencias;2021;35,2
Actividades Subacuáticas;Nº medio de licencias;2020;33,5
Actividades Subacuáticas;Nº medio de licencias;2019;28,5
Actividades Subacuáticas;Nº medio de licencias;2018;28,2
Actividades Subacuáticas;Nº medio de licencias;2017;26,9
Actividades Subacuáticas;Nº medio de licencias;2016;26,4
Actividades Subacuáticas;Nº medio de licencias;2015;28,2
Actividades Subacuáticas;Nº medio de licencias;2014;30,4
Actividades Subacuáticas;Nº medio de licencias;2013;32,0
Actividades Subacuáticas;Nº medio de licencias;2012;28,4
Actividades Subacuáticas;Nº medio de licencias;2011;33,6
Actividades Subacuáticas;Nº medio de licencias;2010;34,5
Actividades Subacuáticas;Nº medio de licencias;2009;35,0
Actividades Subacuáticas;Nº medio de licencias;2008;35,4
Actividades Subacuáticas;Nº medio de licencias;2007;28,7
Aeronáutica;Nº de clubs;2024;622
Aeronáutica;Nº de clubs;2023;615
Aeronáutica;Nº de clubs;2022;608
Aeronáutica;Nº de clubs;2021;580
Aeronáutica;Nº de clubs;2020;553
Aeronáutica;Nº de clubs;2019;513
Aeronáutica;Nº de clubs;2018;512
Aeronáutica;Nº de clubs;2017;511
Aeronáutica;Nº de clubs;2016;511
Aeronáutica;Nº de clubs;2015;511
Aeronáutica;Nº de clubs;2014;490
Aeronáutica;Nº de clubs;2013;474
Aeronáutica;Nº de clubs;2012;480
Aeronáutica;Nº de clubs;2011;465
Aeronáutica;Nº de clubs;2010;404
Aeronáutica;Nº de clubs;2009;396
Aeronáutica;Nº de clubs;2008;390
Aeronáutica;Nº de clubs;2007;372
Aeronáutica;Nº medio de licencias;2024;19,4
Aeronáutica;Nº medio de licencias;2023;20,1
Aeronáutica;Nº medio de licencias;2022;20,3
Aeronáutica;Nº medio de licencias;2021;19,2
Aeronáutica;Nº medio de licencias;2020;20,0
Aeronáutica;Nº medio de licencias;2019;24,9
Aeronáutica;Nº medio de licencias;2018;18,7
Aeronáutica;Nº medio de licencias;2017;16,1
Aeronáutica;Nº medio de licencias;2016;15,8
Aeronáutica;Nº medio de licencias;2015;17,6
Aeronáutica;Nº medio de licencias;2014;20,5
Aeronáutica;Nº medio de licencias;2013;9,1
Aeronáutica;Nº medio de licencias;2012;14,0
Aeronáutica;Nº medio de licencias;2011;22,3
Aeronáutica;Nº medio de licencias;2010;32,2
Aeronáutica;Nº medio de licencias;2009;28,7
Aeronáutica;Nº medio de licencias;2008;27,2
Aeronáutica;Nº medio de licencias;2007;22,6
Ajedrez;Nº de clubs;2024;1.003
Ajedrez;Nº de clubs;2023;1.032
Ajedrez;Nº de clubs;2022;939
Ajedrez;Nº de clubs;2021;866
Ajedrez;Nº de clubs;2020;964
Ajedrez;Nº de clubs;2019;993
Ajedrez;Nº de clubs;2018;958
Ajedrez;Nº de clubs;2017;950
Ajedrez;Nº de clubs;2016;932
Ajedrez;Nº de clubs;2015;1.022
Ajedrez;Nº de clubs;2014;892
Ajedrez;Nº de clubs;2013;911
Ajedrez;Nº de clubs;2012;936
Ajedrez;Nº de clubs;2011;974
Ajedrez;Nº de clubs;2010;883
Ajedrez;Nº de clubs;2009;963
Ajedrez;Nº de clubs;2008;977
Ajedrez;Nº de clubs;2007;995
Ajedrez;Nº medio de licencias;2024;34,7
Ajedrez;Nº medio de licencias;2023;30,0
Ajedrez;Nº medio de licencias;2022;31,3
Ajedrez;Nº medio de licencias;2021;25,9
Ajedrez;Nº medio de licencias;2020;29,1
Ajedrez;Nº medio de licencias;2019;30,0
Ajedrez;Nº medio de licencias;2018;29,6
Ajedrez;Nº medio de licencias;2017;29,2
Ajedrez;Nº medio de licencias;2016;28,5
Ajedrez;Nº medio de licencias;2015;24,4
Ajedrez;Nº medio de licencias;2014;27,1
Ajedrez;Nº medio de licencias;2013;24,3
Ajedrez;Nº medio de licencias;2012;24,6
Ajedrez;Nº medio de licencias;2011;23,7
Ajedrez;Nº medio de licencias;2010;25,6
Ajedrez;Nº medio de licencias;2009;22,9
Ajedrez;Nº medio de licencias;2008;22,7
Ajedrez;Nº medio de licencias;2007;23,0
Atletismo;Nº de clubs;2024;1.330
Atletismo;Nº de clubs;2023;1.323
Atletismo;Nº de clubs;2022;1.326
Atletismo;Nº de clubs;2021;1.273
Atletismo;Nº de clubs;2020;1.411
Atletismo;Nº de clubs;2019;1.287
Atletismo;Nº de clubs;2018;1.538
Atletismo;Nº de clubs;2017;1.623
Atletismo;Nº de clubs;2016;1.528
Atletismo;Nº de clubs;2015;1.351
Atletismo;Nº de clubs;2014;1.359
Atletismo;Nº de clubs;2013;1.203
Atletismo;Nº de clubs;2012;1.152
Atletismo;Nº de clubs;2011;1.055
Atletismo;Nº de clubs;2010;732
Atletismo;Nº de clubs;2009;742
Atletismo;Nº de clubs;2008;734
Atletismo;Nº de clubs;2007;720
Atletismo;Nº medio de licencias;2024;67,3
Atletismo;Nº medio de licencias;2023;66,2
Atletismo;Nº medio de licencias;2022;69,7
Atletismo;Nº medio de licencias;2021;67,2
Atletismo;Nº medio de licencias;2020;50,1
Atletismo;Nº medio de licencias;2019;60,7
Atletismo;Nº medio de licencias;2018;55,5
Atletismo;Nº medio de licencias;2017;50,3
Atletismo;Nº medio de licencias;2016;48,5
Atletismo;Nº medio de licencias;2015;52,5
Atletismo;Nº medio de licencias;2014;48,0
Atletismo;Nº medio de licencias;2013;51,8
Atletismo;Nº medio de licencias;2012;69,7
Atletismo;Nº medio de licencias;2011;68,2
Atletismo;Nº medio de licencias;2010;103,2
Atletismo;Nº medio de licencias;2009;107,6
Atletismo;Nº medio de licencias;2008;106,2
Atletismo;Nº medio de licencias;2007;115,9
Automovilismo;Nº de clubs;2024;392
Automovilismo;Nº de clubs;2023;343
Automovilismo;Nº de clubs;2022;493
Automovilismo;Nº de clubs;2021;436
Automovilismo;Nº de clubs;2020;447
Automovilismo;Nº de clubs;2019;591
Automovilismo;Nº de clubs;2018;593
Automovilismo;Nº de clubs;2017;432
Automovilismo;Nº de clubs;2016;485
Automovilismo;Nº de clubs;2015;482
Automovilismo;Nº de clubs;2014;267
Automovilismo;Nº de clubs;2013;263
Automovilismo;Nº de clubs;2012;282
Automovilismo;Nº de clubs;2011;330
Automovilismo;Nº de clubs;2010;352
Automovilismo;Nº de clubs;2009;351
Automovilismo;Nº de clubs;2008;322
Automovilismo;Nº de clubs;2007;378
Automovilismo;Nº medio de licencias;2024;52,1
Automovilismo;Nº medio de licencias;2023;49,1
Automovilismo;Nº medio de licencias;2022;47,8
Automovilismo;Nº medio de licencias;2021;49,5
Automovilismo;Nº medio de licencias;2020;36,7
Automovilismo;Nº medio de licencias;2019;44,3
Automovilismo;Nº medio de licencias;2018;44,4
Automovilismo;Nº medio de licencias;2017;47,0
Automovilismo;Nº medio de licencias;2016;40,3
Automovilismo;Nº medio de licencias;2015;31,3
Automovilismo;Nº medio de licencias;2014;53,0
Automovilismo;Nº medio de licencias;2013;51,4
Automovilismo;Nº medio de licencias;2012;53,1
Automovilismo;Nº medio de licencias;2011;54,4
Automovilismo;Nº medio de licencias;2010;53,5
Automovilismo;Nº medio de licencias;2009;53,9
Automovilismo;Nº medio de licencias;2008;62,0
Automovilismo;Nº medio de licencias;2007;52,0
Bádminton;Nº de clubs;2024;307
Bádminton;Nº de clubs;2023;306
Bádminton;Nº de clubs;2022;301
Bádminton;Nº de clubs;2021;295
Bádminton;Nº de clubs;2020;294
Bádminton;Nº de clubs;2019;293
Bádminton;Nº de clubs;2018;268
Bádminton;Nº de clubs;2017;260
Bádminton;Nº de clubs;2016;258
Bádminton;Nº de clubs;2015;245
Bádminton;Nº de clubs;2014;236
Bádminton;Nº de clubs;2013;241
Bádminton;Nº de clubs;2012;250
Bádminton;Nº de clubs;2011;250
Bádminton;Nº de clubs;2010;245
Bádminton;Nº de clubs;2009;241
Bádminton;Nº de clubs;2008;237
Bádminton;Nº de clubs;2007;229
Bádminton;Nº medio de licencias;2024;31,9
Bádminton;Nº medio de licencias;2023;31,7
Bádminton;Nº medio de licencias;2022;32,3
Bádminton;Nº medio de licencias;2021;32,5
Bádminton;Nº medio de licencias;2020;32,5
Bádminton;Nº medio de licencias;2019;32,3
Bádminton;Nº medio de licencias;2018;31,2
Bádminton;Nº medio de licencias;2017;30,0
Bádminton;Nº medio de licencias;2016;29,3
Bádminton;Nº medio de licencias;2015;29,8
Bádminton;Nº medio de licencias;2014;29,6
Bádminton;Nº medio de licencias;2013;28,2
Bádminton;Nº medio de licencias;2012;27,1
Bádminton;Nº medio de licencias;2011;28,0
Bádminton;Nº medio de licencias;2010;27,9
Bádminton;Nº medio de licencias;2009;28,3
Bádminton;Nº medio de licencias;2008;28,2
Bádminton;Nº medio de licencias;2007;26,2
Baile Deportivo;Nº de clubs;2024;196
Baile Deportivo;Nº de clubs;2023;187
Baile Deportivo;Nº de clubs;2022;162
Baile Deportivo;Nº de clubs;2021;149
Baile Deportivo;Nº de clubs;2020;147
Baile Deportivo;Nº de clubs;2019;193
Baile Deportivo;Nº de clubs;2018;169
Baile Deportivo;Nº de clubs;2017;162
Baile Deportivo;Nº de clubs;2016;154
Baile Deportivo;Nº de clubs;2015;147
Baile Deportivo;Nº de clubs;2014;132
Baile Deportivo;Nº de clubs;2013;117
Baile Deportivo;Nº de clubs;2012;102
Baile Deportivo;Nº de clubs;2011;99
Baile Deportivo;Nº de clubs;2010;66
Baile Deportivo;Nº de clubs;2009;63
Baile Deportivo;Nº de clubs;2008;..
Baile Deportivo;Nº de clubs;2007;..
Baile Deportivo;Nº medio de licencias;2024;28,8
Baile Deportivo;Nº medio de licencias;2023;26,1
Baile Deportivo;Nº medio de licencias;2022;25,0
Baile Deportivo;Nº medio de licencias;2021;35,3
Baile Deportivo;Nº medio de licencias;2020;28,5
Baile Deportivo;Nº medio de licencias;2019;28,2
Baile Deportivo;Nº medio de licencias;2018;29,2
Baile Deportivo;Nº medio de licencias;2017;29,1
Baile Deportivo;Nº medio de licencias;2016;32,5
Baile Deportivo;Nº medio de licencias;2015;23,7
Baile Deportivo;Nº medio de licencias;2014;16,3
Baile Deportivo;Nº medio de licencias;2013;19,2
Baile Deportivo;Nº medio de licencias;2012;25,1
Baile Deportivo;Nº medio de licencias;2011;26,2
Baile Deportivo;Nº medio de licencias;2010;34,0
Baile Deportivo;Nº medio de licencias;2009;53,8
Baile Deportivo;Nº medio de licencias;2008;..
Baile Deportivo;Nº medio de licencias;2007;..
Baloncesto;Nº de clubs;2024;3.074
Baloncesto;Nº de clubs;2023;3.069
Baloncesto;Nº de clubs;2022;3.109
Baloncesto;Nº de clubs;2021;2.616
Baloncesto;Nº de clubs;2020;3.361
Baloncesto;Nº de clubs;2019;3.594
Baloncesto;Nº de clubs;2018;3.619
Baloncesto;Nº de clubs;2017;3.473
Baloncesto;Nº de clubs;2016;3.488
Baloncesto;Nº de clubs;2015;3.542
Baloncesto;Nº de clubs;2014;3.843
Baloncesto;Nº de clubs;2013;3.968
Baloncesto;Nº de clubs;2012;4.053
Baloncesto;Nº de clubs;2011;4.288
Baloncesto;Nº de clubs;2010;4.298
Baloncesto;Nº de clubs;2009;4.444
Baloncesto;Nº de clubs;2008;4.592
Baloncesto;Nº de clubs;2007;4.486
Baloncesto;Nº medio de licencias;2024;143,3
Baloncesto;Nº medio de licencias;2023;134,2
Baloncesto;Nº medio de licencias;2022;121,3
Baloncesto;Nº medio de licencias;2021;104,1
Baloncesto;Nº medio de licencias;2020;112,0
Baloncesto;Nº medio de licencias;2019;107,3
Baloncesto;Nº medio de licencias;2018;106,4
Baloncesto;Nº medio de licencias;2017;102,0
