Federación;Deportistas;Sexo;periodo;Total
TOTAL;Valores absolutos;TOTAL;2024;6.082
TOTAL;Valores absolutos;TOTAL;2023;5.781
TOTAL;Valores absolutos;TOTAL;2022;6.101
TOTAL;Valores absolutos;TOTAL;2021;5.494
TOTAL;Valores absolutos;TOTAL;2020;5.483
TOTAL;Valores absolutos;TOTAL;2019;5.337
TOTAL;Valores absolutos;TOTAL;2018;4.962
TOTAL;Valores absolutos;TOTAL;2017;4.660
TOTAL;Valores absolutos;TOTAL;2016;4.553
TOTAL;Valores absolutos;TOTAL;2015;3.893
TOTAL;Valores absolutos;TOTAL;2014;3.986
TOTAL;Valores absolutos;TOTAL;2013;4.696
TOTAL;Valores absolutos;TOTAL;2012;4.257
TOTAL;Valores absolutos;TOTAL;2011;3.735
TOTAL;Valores absolutos;TOTAL;2010;3.212
TOTAL;Valores absolutos;TOTAL;2009;3.474
TOTAL;Valores absolutos;TOTAL;2008;3.377
TOTAL;Valores absolutos;TOTAL;2007;2.943
TOTAL;Valores absolutos;TOTAL;2006;1.088
TOTAL;Valores absolutos;TOTAL;2005;1.188
TOTAL;Valores absolutos;Hombres;2024;3.590
TOTAL;Valores absolutos;Hombres;2023;3.482
TOTAL;Valores absolutos;Hombres;2022;3.708
TOTAL;Valores absolutos;Hombres;2021;3.382
TOTAL;Valores absolutos;Hombres;2020;3.404
TOTAL;Valores absolutos;Hombres;2019;3.336
TOTAL;Valores absolutos;Hombres;2018;3.114
TOTAL;Valores absolutos;Hombres;2017;2.962
TOTAL;Valores absolutos;Hombres;2016;2.939
TOTAL;Valores absolutos;Hombres;2015;2.545
TOTAL;Valores absolutos;Hombres;2014;2.629
TOTAL;Valores absolutos;Hombres;2013;3.110
TOTAL;Valores absolutos;Hombres;2012;2.830
TOTAL;Valores absolutos;Hombres;2011;2.501
TOTAL;Valores absolutos;Hombres;2010;2.122
TOTAL;Valores absolutos;Hombres;2009;2.364
TOTAL;Valores absolutos;Hombres;2008;2.299
TOTAL;Valores absolutos;Hombres;2007;2.013
TOTAL;Valores absolutos;Hombres;2006;723
TOTAL;Valores absolutos;Hombres;2005;777
TOTAL;Valores absolutos;Mujeres;2024;2.492
TOTAL;Valores absolutos;Mujeres;2023;2.299
TOTAL;Valores absolutos;Mujeres;2022;2.393
TOTAL;Valores absolutos;Mujeres;2021;2.112
