Federación;Competiciones;periodo;Total
TOTAL;TOTAL;2024;6.875
TOTAL;TOTAL;2023;6.769
TOTAL;TOTAL;2022;7.032
TOTAL;TOTAL;2021;6.807
TOTAL;TOTAL;2020;4.110
TOTAL;TOTAL;2019;6.978
TOTAL;TOTAL;2018;6.110
TOTAL;TOTAL;2017;5.801
TOTAL;TOTAL;2016;5.128
TOTAL;TOTAL;2015;4.713
TOTAL;TOTAL;2014;4.522
TOTAL;TOTAL;2013;4.523
TOTAL;TOTAL;2012;4.528
TOTAL;TOTAL;2011;4.451
TOTAL;TOTAL;2010;4.261
TOTAL;TOTAL;2009;5.265
TOTAL;TOTAL;2008;4.008
TOTAL;TOTAL;2007;5.632
TOTAL;TOTAL;2006;5.295
TOTAL;TOTAL;2005;5.123
TOTAL;Competiciones estatales: Total;2024;3.779
TOTAL;Competiciones estatales: Total;2023;3.623
TOTAL;Competiciones estatales: Total;2022;4.103
TOTAL;Competiciones estatales: Total;2021;4.452
TOTAL;Competiciones estatales: Total;2020;3.130
TOTAL;Competiciones estatales: Total;2019;3.517
TOTAL;Competiciones estatales: Total;2018;2.999
TOTAL;Competiciones estatales: Total;2017;2.877
TOTAL;Competiciones estatales: Total;2016;2.668
TOTAL;Competiciones estatales: Total;2015;2.502
TOTAL;Competiciones estatales: Total;2014;2.529
TOTAL;Competiciones estatales: Total;2013;2.560
TOTAL;Competiciones estatales: Total;2012;2.623
TOTAL;Competiciones estatales: Total;2011;2.390
TOTAL;Competiciones estatales: Total;2010;2.370
TOTAL;Competiciones estatales: Total;2009;3.345
TOTAL;Competiciones estatales: Total;2008;2.135
TOTAL;Competiciones estatales: Total;2007;3.275
TOTAL;Competiciones estatales: Total;2006;3.137
TOTAL;Competiciones estatales: Total;2005;3.015
TOTAL;Competiciones estatales: Ligas;2024;234
TOTAL;Competiciones estatales: Ligas;2023;221
TOTAL;Competiciones estatales: Ligas;2022;217
TOTAL;Competiciones estatales: Ligas;2021;194
TOTAL;Competiciones estatales: Ligas;2020;152
TOTAL;Competiciones estatales: Ligas;2019;222
TOTAL;Competiciones estatales: Ligas;2018;242
TOTAL;Competiciones estatales: Ligas;2017;250
TOTAL;Competiciones estatales: Ligas;2016;281
TOTAL;Competiciones estatales: Ligas;2015;190
TOTAL;Competiciones estatales: Ligas;2014;196
TOTAL;Competiciones estatales: Ligas;2013;237
TOTAL;Competiciones estatales: Ligas;2012;261
TOTAL;Competiciones estatales: Ligas;2011;255
TOTAL;Competiciones estatales: Ligas;2010;279
TOTAL;Competiciones estatales: Ligas;2009;407
TOTAL;Competiciones estatales: Ligas;2008;224
TOTAL;Competiciones estatales: Ligas;2007;254
TOTAL;Competiciones estatales: Ligas;2006;234
TOTAL;Competiciones estatales: Ligas;2005;281
TOTAL;Competiciones estatales: Campeonatos de España;2024;1.769
TOTAL;Competiciones estatales: Campeonatos de España;2023;1.715
TOTAL;Competiciones estatales: Campeonatos de España;2022;1.558
TOTAL;Competiciones estatales: Campeonatos de España;2021;1.363
TOTAL;Competiciones estatales: Campeonatos de España;2020;799
TOTAL;Competiciones estatales: Campeonatos de España;2019;1.347
TOTAL;Competiciones estatales: Campeonatos de España;2018;1.246
TOTAL;Competiciones estatales: Campeonatos de España;2017;1.199
TOTAL;Competiciones estatales: Campeonatos de España;2016;1.182
TOTAL;Competiciones estatales: Campeonatos de España;2015;1.170
TOTAL;Competiciones estatales: Campeonatos de España;2014;1.114
TOTAL;Competiciones estatales: Campeonatos de España;2013;1.053
TOTAL;Competiciones estatales: Campeonatos de España;2012;1.117
TOTAL;Competiciones estatales: Campeonatos de España;2011;1.092
TOTAL;Competiciones estatales: Campeonatos de España;2010;1.115
TOTAL;Competiciones estatales: Campeonatos de España;2009;992
TOTAL;Competiciones estatales: Campeonatos de España;2008;907
TOTAL;Competiciones estatales: Campeonatos de España;2007;1.059
TOTAL;Competiciones estatales: Campeonatos de España;2006;1.087
TOTAL;Competiciones estatales: Campeonatos de España;2005;1.016
TOTAL;Competiciones estatales: Otros;2024;1.776
TOTAL;Competiciones estatales: Otros;2023;1.687
TOTAL;Competiciones estatales: Otros;2022;2.328
TOTAL;Competiciones estatales: Otros;2021;2.895
TOTAL;Competiciones estatales: Otros;2020;2.179
TOTAL;Competiciones estatales: Otros;2019;1.948
TOTAL;Competiciones estatales: Otros;2018;1.511
TOTAL;Competiciones estatales: Otros;2017;1.428
TOTAL;Competiciones estatales: Otros;2016;1.205
TOTAL;Competiciones estatales: Otros;2015;1.142
TOTAL;Competiciones estatales: Otros;2014;1.219
TOTAL;Competiciones estatales: Otros;2013;1.270
TOTAL;Competiciones estatales: Otros;2012;1.245
TOTAL;Competiciones estatales: Otros;2011;1.043
TOTAL;Competiciones estatales: Otros;2010;976
TOTAL;Competiciones estatales: Otros;2009;1.946
TOTAL;Competiciones estatales: Otros;2008;1.004
TOTAL;Competiciones estatales: Otros;2007;1.962
TOTAL;Competiciones estatales: Otros;2006;1.816
TOTAL;Competiciones estatales: Otros;2005;1.718
TOTAL;Competiciones internacionales: Total;2024;3.096
TOTAL;Competiciones internacionales: Total;2023;3.146
TOTAL;Competiciones internacionales: Total;2022;2.929
TOTAL;Competiciones internacionales: Total;2021;2.355
TOTAL;Competiciones internacionales: Total;2020;980
TOTAL;Competiciones internacionales: Total;2019;3.461
TOTAL;Competiciones internacionales: Total;2018;3.111
TOTAL;Competiciones internacionales: Total;2017;2.924
TOTAL;Competiciones internacionales: Total;2016;2.460
TOTAL;Competiciones internacionales: Total;2015;2.211
TOTAL;Competiciones internacionales: Total;2014;1.993
TOTAL;Competiciones internacionales: Total;2013;1.963
TOTAL;Competiciones internacionales: Total;2012;1.905
TOTAL;Competiciones internacionales: Total;2011;2.061
TOTAL;Competiciones internacionales: Total;2010;1.891
TOTAL;Competiciones internacionales: Total;2009;1.920
TOTAL;Competiciones internacionales: Total;2008;1.873
TOTAL;Competiciones internacionales: Total;2007;2.357
TOTAL;Competiciones internacionales: Total;2006;2.158
TOTAL;Competiciones internacionales: Total;2005;2.108
TOTAL;Competiciones internacionales: Campeonatos del mundo;2024;489
TOTAL;Competiciones internacionales: Campeonatos del mundo;2023;491
TOTAL;Competiciones internacionales: Campeonatos del mundo;2022;480
TOTAL;Competiciones internacionales: Campeonatos del mundo;2021;330
