Federación;Indicador;Medallas;periodo;Total
TOTAL;TOTAL;TOTAL;2024;919
TOTAL;TOTAL;TOTAL;2023;1.122
TOTAL;TOTAL;TOTAL;2022;625
TOTAL;TOTAL;TOTAL;2021;1.032
TOTAL;TOTAL;TOTAL;2020;144
TOTAL;TOTAL;TOTAL;2019;963
TOTAL;TOTAL;TOTAL;2018;821
TOTAL;TOTAL;TOTAL;2017;804
TOTAL;TOTAL;TOTAL;2016;763
TOTAL;TOTAL;TOTAL;2015;639
TOTAL;TOTAL;TOTAL;2014;586
TOTAL;TOTAL;TOTAL;2013;576
TOTAL;TOTAL;TOTAL;2012;577
TOTAL;TOTAL;TOTAL;2011;601
TOTAL;TOTAL;TOTAL;2010;533
TOTAL;TOTAL;TOTAL;2009;556
TOTAL;TOTAL;TOTAL;2008;524
TOTAL;TOTAL;TOTAL;2007;512
TOTAL;TOTAL;TOTAL;2006;511
TOTAL;TOTAL;TOTAL;2005;463
TOTAL;TOTAL;Oro;2024;293
TOTAL;TOTAL;Oro;2023;330
TOTAL;TOTAL;Oro;2022;187
TOTAL;TOTAL;Oro;2021;321
TOTAL;TOTAL;Oro;2020;48
TOTAL;TOTAL;Oro;2019;279
TOTAL;TOTAL;Oro;2018;266
TOTAL;TOTAL;Oro;2017;236
TOTAL;TOTAL;Oro;2016;261
TOTAL;TOTAL;Oro;2015;182
TOTAL;TOTAL;Oro;2014;178
TOTAL;TOTAL;Oro;2013;157
TOTAL;TOTAL;Oro;2012;193
TOTAL;TOTAL;Oro;2011;181
TOTAL;TOTAL;Oro;2010;184
TOTAL;TOTAL;Oro;2009;173
TOTAL;TOTAL;Oro;2008;176
TOTAL;TOTAL;Oro;2007;174
TOTAL;TOTAL;Oro;2006;166
TOTAL;TOTAL;Oro;2005;129
TOTAL;TOTAL;Plata;2024;296
TOTAL;TOTAL;Plata;2023;394
TOTAL;TOTAL;Plata;2022;224
TOTAL;TOTAL;Plata;2021;351
TOTAL;TOTAL;Plata;2020;42
TOTAL;TOTAL;Plata;2019;315
TOTAL;TOTAL;Plata;2018;242
TOTAL;TOTAL;Plata;2017;270
TOTAL;TOTAL;Plata;2016;253
TOTAL;TOTAL;Plata;2015;203
TOTAL;TOTAL;Plata;2014;195
TOTAL;TOTAL;Plata;2013;177
TOTAL;TOTAL;Plata;2012;192
TOTAL;TOTAL;Plata;2011;205
TOTAL;TOTAL;Plata;2010;169
TOTAL;TOTAL;Plata;2009;180
TOTAL;TOTAL;Plata;2008;152
TOTAL;TOTAL;Plata;2007;184
TOTAL;TOTAL;Plata;2006;149
TOTAL;TOTAL;Plata;2005;153
TOTAL;TOTAL;Bronce;2024;330
TOTAL;TOTAL;Bronce;2023;398
TOTAL;TOTAL;Bronce;2022;214
TOTAL;TOTAL;Bronce;2021;360
