Federación;Categoría;Sexo;periodo;Total
TOTAL;TOTAL;TOTAL;2024;637
TOTAL;TOTAL;TOTAL;2023;534
TOTAL;TOTAL;TOTAL;2022;594
TOTAL;TOTAL;TOTAL;2021;456
TOTAL;TOTAL;TOTAL;2020;321
TOTAL;TOTAL;TOTAL;2019;557
TOTAL;TOTAL;TOTAL;2018;473
TOTAL;TOTAL;TOTAL;2017;396
TOTAL;TOTAL;TOTAL;2016;472
TOTAL;TOTAL;TOTAL;2015;544
TOTAL;TOTAL;TOTAL;2014;443
TOTAL;TOTAL;TOTAL;2013;344
TOTAL;TOTAL;TOTAL;2012;356
TOTAL;TOTAL;TOTAL;2011;379
TOTAL;TOTAL;TOTAL;2010;404
TOTAL;TOTAL;TOTAL;2009;781
TOTAL;TOTAL;TOTAL;2008;656
TOTAL;TOTAL;TOTAL;2007;504
TOTAL;TOTAL;TOTAL;2006;353
TOTAL;TOTAL;TOTAL;2005;432
TOTAL;TOTAL;Hombres;2024;340
TOTAL;TOTAL;Hombres;2023;299
TOTAL;TOTAL;Hombres;2022;293
TOTAL;TOTAL;Hombres;2021;214
TOTAL;TOTAL;Hombres;2020;172
TOTAL;TOTAL;Hombres;2019;309
TOTAL;TOTAL;Hombres;2018;231
TOTAL;TOTAL;Hombres;2017;181
TOTAL;TOTAL;Hombres;2016;281
TOTAL;TOTAL;Hombres;2015;300
TOTAL;TOTAL;Hombres;2014;247
TOTAL;TOTAL;Hombres;2013;192
TOTAL;TOTAL;Hombres;2012;227
TOTAL;TOTAL;Hombres;2011;189
TOTAL;TOTAL;Hombres;2010;225
TOTAL;TOTAL;Hombres;2009;440
TOTAL;TOTAL;Hombres;2008;300
TOTAL;TOTAL;Hombres;2007;281
TOTAL;TOTAL;Hombres;2006;207
TOTAL;TOTAL;Hombres;2005;262
TOTAL;TOTAL;Mujeres;2024;297
TOTAL;TOTAL;Mujeres;2023;235
TOTAL;TOTAL;Mujeres;2022;301
TOTAL;TOTAL;Mujeres;2021;242
TOTAL;TOTAL;Mujeres;2020;149
TOTAL;TOTAL;Mujeres;2019;248
TOTAL;TOTAL;Mujeres;2018;242
TOTAL;TOTAL;Mujeres;2017;215
TOTAL;TOTAL;Mujeres;2016;191
TOTAL;TOTAL;Mujeres;2015;244
TOTAL;TOTAL;Mujeres;2014;196
TOTAL;TOTAL;Mujeres;2013;152
TOTAL;TOTAL;Mujeres;2012;129
TOTAL;TOTAL;Mujeres;2011;190
TOTAL;TOTAL;Mujeres;2010;179
TOTAL;TOTAL;Mujeres;2009;341
TOTAL;TOTAL;Mujeres;2008;356
TOTAL;TOTAL;Mujeres;2007;223
TOTAL;TOTAL;Mujeres;2006;146
TOTAL;TOTAL;Mujeres;2005;170
TOTAL;Categoría Absoluta;TOTAL;2024;339
TOTAL;Categoría Absoluta;TOTAL;2023;345
TOTAL;Categoría Absoluta;TOTAL;2022;366
TOTAL;Categoría Absoluta;TOTAL;2021;295
TOTAL;Categoría Absoluta;TOTAL;2020;147
TOTAL;Categoría Absoluta;TOTAL;2019;328
TOTAL;Categoría Absoluta;TOTAL;2018;318
TOTAL;Categoría Absoluta;TOTAL;2017;234
TOTAL;Categoría Absoluta;TOTAL;2016;217
TOTAL;Categoría Absoluta;TOTAL;2015;257
TOTAL;Categoría Absoluta;TOTAL;2014;244
TOTAL;Categoría Absoluta;TOTAL;2013;173
TOTAL;Categoría Absoluta;TOTAL;2012;189
TOTAL;Categoría Absoluta;TOTAL;2011;145
TOTAL;Categoría Absoluta;TOTAL;2010;168
TOTAL;Categoría Absoluta;TOTAL;2009;369
TOTAL;Categoría Absoluta;TOTAL;2008;300
TOTAL;Categoría Absoluta;TOTAL;2007;278
TOTAL;Categoría Absoluta;TOTAL;2006;166
TOTAL;Categoría Absoluta;TOTAL;2005;205
TOTAL;Categoría Absoluta;Hombres;2024;173
TOTAL;Categoría Absoluta;Hombres;2023;217
TOTAL;Categoría Absoluta;Hombres;2022;196
TOTAL;Categoría Absoluta;Hombres;2021;147
TOTAL;Categoría Absoluta;Hombres;2020;84
TOTAL;Categoría Absoluta;Hombres;2019;190
TOTAL;Categoría Absoluta;Hombres;2018;163
TOTAL;Categoría Absoluta;Hombres;2017;114
TOTAL;Categoría Absoluta;Hombres;2016;139
TOTAL;Categoría Absoluta;Hombres;2015;146
TOTAL;Categoría Absoluta;Hombres;2014;135
TOTAL;Categoría Absoluta;Hombres;2013;88
TOTAL;Categoría Absoluta;Hombres;2012;118
TOTAL;Categoría Absoluta;Hombres;2011;73
TOTAL;Categoría Absoluta;Hombres;2010;86
TOTAL;Categoría Absoluta;Hombres;2009;228
TOTAL;Categoría Absoluta;Hombres;2008;169
TOTAL;Categoría Absoluta;Hombres;2007;168
TOTAL;Categoría Absoluta;Hombres;2006;95
TOTAL;Categoría Absoluta;Hombres;2005;128
TOTAL;Categoría Absoluta;Mujeres;2024;166
TOTAL;Categoría Absoluta;Mujeres;2023;128
TOTAL;Categoría Absoluta;Mujeres;2022;170
TOTAL;Categoría Absoluta;Mujeres;2021;148
TOTAL;Categoría Absoluta;Mujeres;2020;63
TOTAL;Categoría Absoluta;Mujeres;2019;138
TOTAL;Categoría Absoluta;Mujeres;2018;155
TOTAL;Categoría Absoluta;Mujeres;2017;120
TOTAL;Categoría Absoluta;Mujeres;2016;78
TOTAL;Categoría Absoluta;Mujeres;2015;111
TOTAL;Categoría Absoluta;Mujeres;2014;109
TOTAL;Categoría Absoluta;Mujeres;2013;85
TOTAL;Categoría Absoluta;Mujeres;2012;71
TOTAL;Categoría Absoluta;Mujeres;2011;72
TOTAL;Categoría Absoluta;Mujeres;2010;82
