Indicador;Actividad económica;periodo;Total
Valores absolutos;TOTAL;2024;43.829,00
Valores absolutos;TOTAL;2023;41.180,00
Valores absolutos;TOTAL;2022;43.549,00
Valores absolutos;TOTAL;2021;40.882,00
Valores absolutos;TOTAL;2020;41.034,00
Valores absolutos;TOTAL;2019;39.419,00
Valores absolutos;TOTAL;2018;34.529,00
Valores absolutos;TOTAL;2017;34.203,00
Valores absolutos;TOTAL;2016;33.071,00
Valores absolutos;TOTAL;2015;31.139,00
Valores absolutos;TOTAL;2014;28.735,00
Valores absolutos;TOTAL;2013;26.697,00
Valores absolutos;TOTAL;2012;26.011,00
Valores absolutos;TOTAL;2011;24.655,00
Valores absolutos;TOTAL;2010;24.222,00
Valores absolutos;TOTAL;2009;22.991,00
Valores absolutos;TOTAL;2008;22.912,00
Valores absolutos;931 Actividades deportivas;2024;35.159,00
Valores absolutos;931 Actividades deportivas;2023;32.640,00
Valores absolutos;931 Actividades deportivas;2022;34.636,00
Valores absolutos;931 Actividades deportivas;2021;32.467,00
Valores absolutos;931 Actividades deportivas;2020;32.273,00
Valores absolutos;931 Actividades deportivas;2019;30.731,00
Valores absolutos;931 Actividades deportivas;2018;28.278,00
Valores absolutos;931 Actividades deportivas;2017;27.676,00
Valores absolutos;931 Actividades deportivas;2016;26.197,00
Valores absolutos;931 Actividades deportivas;2015;24.003,00
Valores absolutos;931 Actividades deportivas;2014;21.506,00
Valores absolutos;931 Actividades deportivas;2013;19.270,00
Valores absolutos;931 Actividades deportivas;2012;18.167,00
Valores absolutos;931 Actividades deportivas;2011;16.827,00
Valores absolutos;931 Actividades deportivas;2010;16.291,00
Valores absolutos;931 Actividades deportivas;2009;15.240,00
Valores absolutos;931 Actividades deportivas;2008;14.962,00
Valores absolutos;323 Fabricación de artículos de deporte;2024;284,00
Valores absolutos;323 Fabricación de artículos de deporte;2023;281,00
Valores absolutos;323 Fabricación de artículos de deporte;2022;302,00
Valores absolutos;323 Fabricación de artículos de deporte;2021;292,00
Valores absolutos;323 Fabricación de artículos de deporte;2020;272,00
Valores absolutos;323 Fabricación de artículos de deporte;2019;274,00
Valores absolutos;323 Fabricación de artículos de deporte;2018;261,00
Valores absolutos;323 Fabricación de artículos de deporte;2017;217,00
Valores absolutos;323 Fabricación de artículos de deporte;2016;208,00
Valores absolutos;323 Fabricación de artículos de deporte;2015;204,00
Valores absolutos;323 Fabricación de artículos de deporte;2014;177,00
Valores absolutos;323 Fabricación de artículos de deporte;2013;174,00
Valores absolutos;323 Fabricación de artículos de deporte;2012;175,00
Valores absolutos;323 Fabricación de artículos de deporte;2011;175,00
Valores absolutos;323 Fabricación de artículos de deporte;2010;188,00
Valores absolutos;323 Fabricación de artículos de deporte;2009;193,00
Valores absolutos;323 Fabricación de artículos de deporte;2008;197,00
Valores absolutos;4764 Comercio al por menor de art. deportivos;2024;4.372,00
Valores absolutos;4764 Comercio al por menor de art. deportivos;2023;4.506,00
Valores absolutos;4764 Comercio al por menor de art. deportivos;2022;5.110,00
Valores absolutos;4764 Comercio al por menor de art. deportivos;2021;5.135,00
Valores absolutos;4764 Comercio al por menor de art. deportivos;2020;5.416,00
Valores absolutos;4764 Comercio al por menor de art. deportivos;2019;5.788,00
Valores absolutos;4764 Comercio al por menor de art. deportivos;2018;5.990,00
Valores absolutos;4764 Comercio al por menor de art. deportivos;2017;6.310,00
Valores absolutos;4764 Comercio al por menor de art. deportivos;2016;6.666,00
Valores absolutos;4764 Comercio al por menor de art. deportivos;2015;6.932,00
Valores absolutos;4764 Comercio al por menor de art. deportivos;2014;7.052,00
Valores absolutos;4764 Comercio al por menor de art. deportivos;2013;7.253,00
Valores absolutos;4764 Comercio al por menor de art. deportivos;2012;7.669,00
Valores absolutos;4764 Comercio al por menor de art. deportivos;2011;7.653,00
Valores absolutos;4764 Comercio al por menor de art. deportivos;2010;7.743,00
Valores absolutos;4764 Comercio al por menor de art. deportivos;2009;7.558,00
Valores absolutos;4764 Comercio al por menor de art. deportivos;2008;7.753,00
Valores absolutos;8551 Educación deportiva y recreativa;2024;4.014,00
Valores absolutos;8551 Educación deportiva y recreativa;2023;3.753,00
Valores absolutos;8551 Educación deportiva y recreativa;2022;3.501,00
Valores absolutos;8551 Educación deportiva y recreativa;2021;2.988,00
Valores absolutos;8551 Educación deportiva y recreativa;2020;3.073,00
Valores absolutos;8551 Educación deportiva y recreativa;2019;2.626,00
Valores absolutos;8551 Educación deportiva y recreativa;2018;..
Valores absolutos;8551 Educación deportiva y recreativa;2017;..
Valores absolutos;8551 Educación deportiva y recreativa;2016;..
Valores absolutos;8551 Educación deportiva y recreativa;2015;..
Valores absolutos;8551 Educación deportiva y recreativa;2014;..
Valores absolutos;8551 Educación deportiva y recreativa;2013;..
Valores absolutos;8551 Educación deportiva y recreativa;2012;..
Valores absolutos;8551 Educación deportiva y recreativa;2011;..
Valores absolutos;8551 Educación deportiva y recreativa;2010;..
Valores absolutos;8551 Educación deportiva y recreativa;2009;..
Valores absolutos;8551 Educación deportiva y recreativa;2008;..
Porcentaje;TOTAL;2024;100,00
Porcentaje;TOTAL;2023;100,00
Porcentaje;TOTAL;2022;100,00
Porcentaje;TOTAL;2021;100,00
Porcentaje;TOTAL;2020;100,00
Porcentaje;TOTAL;2019;100,00
Porcentaje;TOTAL;2018;100,00
Porcentaje;TOTAL;2017;100,00
Porcentaje;TOTAL;2016;100,00
Porcentaje;TOTAL;2015;100,00
Porcentaje;TOTAL;2014;100,00
Porcentaje;TOTAL;2013;100,00
Porcentaje;TOTAL;2012;100,00
Porcentaje;TOTAL;2011;100,00
Porcentaje;TOTAL;2010;100,00
Porcentaje;TOTAL;2009;100,00
Porcentaje;TOTAL;2008;100,00
Porcentaje;931 Actividades deportivas;2024;80,20
Porcentaje;931 Actividades deportivas;2023;79,30
Porcentaje;931 Actividades deportivas;2022;79,50
Porcentaje;931 Actividades deportivas;2021;79,40
Porcentaje;931 Actividades deportivas;2020;78,60
Porcentaje;931 Actividades deportivas;2019;78,00
Porcentaje;931 Actividades deportivas;2018;81,90
Porcentaje;931 Actividades deportivas;2017;80,90
Porcentaje;931 Actividades deportivas;2016;79,20
Porcentaje;931 Actividades deportivas;2015;77,10
Porcentaje;931 Actividades deportivas;2014;74,80
Porcentaje;931 Actividades deportivas;2013;72,20
Porcentaje;931 Actividades deportivas;2012;69,80
Porcentaje;931 Actividades deportivas;2011;68,20
Porcentaje;931 Actividades deportivas;2010;67,30
Porcentaje;931 Actividades deportivas;2009;66,30
Porcentaje;931 Actividades deportivas;2008;65,30
Porcentaje;323 Fabricación de artículos de deporte;2024;0,60
Porcentaje;323 Fabricación de artículos de deporte;2023;0,70
Porcentaje;323 Fabricación de artículos de deporte;2022;0,70
Porcentaje;323 Fabricación de artículos de deporte;2021;0,70
Porcentaje;323 Fabricación de artículos de deporte;2020;0,70
Porcentaje;323 Fabricación de artículos de deporte;2019;0,70
Porcentaje;323 Fabricación de artículos de deporte;2018;0,80
Porcentaje;323 Fabricación de artículos de deporte;2017;0,60
Porcentaje;323 Fabricación de artículos de deporte;2016;0,60
Porcentaje;323 Fabricación de artículos de deporte;2015;0,70
Porcentaje;323 Fabricación de artículos de deporte;2014;0,60
Porcentaje;323 Fabricación de artículos de deporte;2013;0,70
Porcentaje;323 Fabricación de artículos de deporte;2012;0,70
Porcentaje;323 Fabricación de artículos de deporte;2011;0,70
Porcentaje;323 Fabricación de artículos de deporte;2010;0,80
Porcentaje;323 Fabricación de artículos de deporte;2009;0,80
Porcentaje;323 Fabricación de artículos de deporte;2008;0,90
Porcentaje;4764 Comercio al por menor de art. deportivos;2024;10,00
Porcentaje;4764 Comercio al por menor de art. deportivos;2023;10,90
Porcentaje;4764 Comercio al por menor de art. deportivos;2022;11,70
Porcentaje;4764 Comercio al por menor de art. deportivos;2021;12,60
Porcentaje;4764 Comercio al por menor de art. deportivos;2020;13,20
Porcentaje;4764 Comercio al por menor de art. deportivos;2019;14,70
Porcentaje;4764 Comercio al por menor de art. deportivos;2018;17,30
Porcentaje;4764 Comercio al por menor de art. deportivos;2017;18,40
Porcentaje;4764 Comercio al por menor de art. deportivos;2016;20,20
Porcentaje;4764 Comercio al por menor de art. deportivos;2015;22,30
Porcentaje;4764 Comercio al por menor de art. deportivos;2014;24,50
Porcentaje;4764 Comercio al por menor de art. deportivos;2013;27,20
Porcentaje;4764 Comercio al por menor de art. deportivos;2012;29,50
Porcentaje;4764 Comercio al por menor de art. deportivos;2011;31,00
Porcentaje;4764 Comercio al por menor de art. deportivos;2010;32,00
Porcentaje;4764 Comercio al por menor de art. deportivos;2009;32,90
Porcentaje;4764 Comercio al por menor de art. deportivos;2008;33,80
Porcentaje;8551 Educación deportiva y recreativa;2024;9,20
Porcentaje;8551 Educación deportiva y recreativa;2023;9,10
Porcentaje;8551 Educación deportiva y recreativa;2022;8,00
Porcentaje;8551 Educación deportiva y recreativa;2021;7,30
Porcentaje;8551 Educación deportiva y recreativa;2020;7,50
Porcentaje;8551 Educación deportiva y recreativa;2019;6,70
Porcentaje;8551 Educación deportiva y recreativa;2018;..
Porcentaje;8551 Educación deportiva y recreativa;2017;..
Porcentaje;8551 Educación deportiva y recreativa;2016;..
Porcentaje;8551 Educación deportiva y recreativa;2015;..
Porcentaje;8551 Educación deportiva y recreativa;2014;..
Porcentaje;8551 Educación deportiva y recreativa;2013;..
Porcentaje;8551 Educación deportiva y recreativa;2012;..
Porcentaje;8551 Educación deportiva y recreativa;2011;..
Porcentaje;8551 Educación deportiva y recreativa;2010;..
Porcentaje;8551 Educación deportiva y recreativa;2009;..
Porcentaje;8551 Educación deportiva y recreativa;2008;..
En % total de empresas;TOTAL;2024;1,30
En % total de empresas;TOTAL;2023;1,30
En % total de empresas;TOTAL;2022;1,30
En % total de empresas;TOTAL;2021;1,20
En % total de empresas;TOTAL;2020;1,20
En % total de empresas;TOTAL;2019;1,20
En % total de empresas;TOTAL;2018;1,03
En % total de empresas;TOTAL;2017;1,00
En % total de empresas;TOTAL;2016;1,02
En % total de empresas;TOTAL;2015;1,00
En % total de empresas;TOTAL;2014;0,92
En % total de empresas;TOTAL;2013;0,85
En % total de empresas;TOTAL;2012;0,81
En % total de empresas;TOTAL;2011;0,76
En % total de empresas;TOTAL;2010;0,74
En % total de empresas;TOTAL;2009;0,69
En % total de empresas;TOTAL;2008;0,67
En % total de empresas;931 Actividades deportivas;2024;1,10
En % total de empresas;931 Actividades deportivas;2023;1,00
En % total de empresas;931 Actividades deportivas;2022;1,01
En % total de empresas;931 Actividades deportivas;2021;0,96
En % total de empresas;931 Actividades deportivas;2020;0,95
En % total de empresas;931 Actividades deportivas;2019;0,91
En % total de empresas;931 Actividades deportivas;2018;0,85
En % total de empresas;931 Actividades deportivas;2017;0,84
En % total de empresas;931 Actividades deportivas;2016;0,81
En % total de empresas;931 Actividades deportivas;2015;0,75
En % total de empresas;931 Actividades deportivas;2014;0,69
En % total de empresas;931 Actividades deportivas;2013;0,61
En % total de empresas;931 Actividades deportivas;2012;0,57
En % total de empresas;931 Actividades deportivas;2011;0,52
En % total de empresas;931 Actividades deportivas;2010;0,49
En % total de empresas;931 Actividades deportivas;2009;0,45
En % total de empresas;931 Actividades deportivas;2008;0,44
En % total de empresas;323 Fabricación de artículos de deporte;2024;0,00
En % total de empresas;323 Fabricación de artículos de deporte;2023;0,00
En % total de empresas;323 Fabricación de artículos de deporte;2022;0,01
En % total de empresas;323 Fabricación de artículos de deporte;2021;0,01
En % total de empresas;323 Fabricación de artículos de deporte;2020;0,01
En % total de empresas;323 Fabricación de artículos de deporte;2019;0,01
En % total de empresas;323 Fabricación de artículos de deporte;2018;0,01
En % total de empresas;323 Fabricación de artículos de deporte;2017;0,01
En % total de empresas;323 Fabricación de artículos de deporte;2016;0,01
En % total de empresas;323 Fabricación de artículos de deporte;2015;0,01
En % total de empresas;323 Fabricación de artículos de deporte;2014;0,01
En % total de empresas;323 Fabricación de artículos de deporte;2013;0,01
En % total de empresas;323 Fabricación de artículos de deporte;2012;0,01
