Indicador;Número de asalariados;periodo;Total
Valores absolutos;TOTAL;2024;43.829,0
Valores absolutos;TOTAL;2023;41.180,0
Valores absolutos;TOTAL;2022;43.549,0
Valores absolutos;TOTAL;2021;40.882,0
Valores absolutos;TOTAL;2020;41.034,0
Valores absolutos;TOTAL;2019;39.419,0
Valores absolutos;TOTAL;2018;34.529,0
Valores absolutos;TOTAL;2017;34.203,0
Valores absolutos;TOTAL;2016;33.071,0
Valores absolutos;TOTAL;2015;31.139,0
Valores absolutos;TOTAL;2014;28.735,0
Valores absolutos;TOTAL;2013;26.697,0
Valores absolutos;TOTAL;2012;26.011,0
Valores absolutos;TOTAL;2011;24.655,0
Valores absolutos;TOTAL;2010;24.222,0
Valores absolutos;TOTAL;2009;22.991,0
Valores absolutos;TOTAL;2008;22.912,0
Valores absolutos;Sin asalariados;2024;16.390,0
Valores absolutos;Sin asalariados;2023;15.568,0
Valores absolutos;Sin asalariados;2022;18.729,0
Valores absolutos;Sin asalariados;2021;17.149,0
Valores absolutos;Sin asalariados;2020;17.107,0
Valores absolutos;Sin asalariados;2019;16.167,0
Valores absolutos;Sin asalariados;2018;14.869,0
Valores absolutos;Sin asalariados;2017;14.527,0
Valores absolutos;Sin asalariados;2016;13.954,0
Valores absolutos;Sin asalariados;2015;13.492,0
Valores absolutos;Sin asalariados;2014;12.387,0
Valores absolutos;Sin asalariados;2013;11.517,0
Valores absolutos;Sin asalariados;2012;12.082,0
Valores absolutos;Sin asalariados;2011;11.521,0
Valores absolutos;Sin asalariados;2010;10.889,0
Valores absolutos;Sin asalariados;2009;9.441,0
Valores absolutos;Sin asalariados;2008;9.171,0
Valores absolutos;De 1 a 5 asalariados;2024;20.892,0
Valores absolutos;De 1 a 5 asalariados;2023;19.476,0
Valores absolutos;De 1 a 5 asalariados;2022;18.908,0
Valores absolutos;De 1 a 5 asalariados;2021;18.375,0
Valores absolutos;De 1 a 5 asalariados;2020;17.936,0
Valores absolutos;De 1 a 5 asalariados;2019;17.490,0
Valores absolutos;De 1 a 5 asalariados;2018;14.676,0
Valores absolutos;De 1 a 5 asalariados;2017;14.716,0
Valores absolutos;De 1 a 5 asalariados;2016;14.256,0
Valores absolutos;De 1 a 5 asalariados;2015;13.272,0
Valores absolutos;De 1 a 5 asalariados;2014;12.343,0
Valores absolutos;De 1 a 5 asalariados;2013;11.360,0
Valores absolutos;De 1 a 5 asalariados;2012;10.237,0
Valores absolutos;De 1 a 5 asalariados;2011;9.612,0
Valores absolutos;De 1 a 5 asalariados;2010;9.965,0
