Indicador;Condición jurídica;periodo;Total
Valores absolutos;TOTAL;2024;43.829,0
Valores absolutos;TOTAL;2023;41.180,0
Valores absolutos;TOTAL;2022;43.549,0
Valores absolutos;TOTAL;2021;40.882,0
Valores absolutos;TOTAL;2020;41.034,0
Valores absolutos;TOTAL;2019;39.419,0
Valores absolutos;TOTAL;2018;34.529,0
Valores absolutos;TOTAL;2017;34.203,0
Valores absolutos;TOTAL;2016;33.071,0
Valores absolutos;TOTAL;2015;31.139,0
Valores absolutos;TOTAL;2014;28.735,0
Valores absolutos;TOTAL;2013;26.697,0
Valores absolutos;TOTAL;2012;26.011,0
Valores absolutos;TOTAL;2011;24.655,0
Valores absolutos;TOTAL;2010;24.222,0
Valores absolutos;TOTAL;2009;22.991,0
Valores absolutos;TOTAL;2008;22.912,0
Valores absolutos;Personas físicas;2024;17.199,0
Valores absolutos;Personas físicas;2023;15.923,0
Valores absolutos;Personas físicas;2022;15.125,0
Valores absolutos;Personas físicas;2021;14.010,0
Valores absolutos;Personas físicas;2020;14.019,0
Valores absolutos;Personas físicas;2019;12.990,0
Valores absolutos;Personas físicas;2018;10.563,0
Valores absolutos;Personas físicas;2017;10.401,0
Valores absolutos;Personas físicas;2016;9.729,0
Valores absolutos;Personas físicas;2015;9.017,0
Valores absolutos;Personas físicas;2014;8.403,0
Valores absolutos;Personas físicas;2013;8.021,0
Valores absolutos;Personas físicas;2012;8.572,0
Valores absolutos;Personas físicas;2011;8.162,0
Valores absolutos;Personas físicas;2010;8.175,0
Valores absolutos;Personas físicas;2009;7.747,0
Valores absolutos;Personas físicas;2008;7.579,0
Valores absolutos;Sociedades anónimas o de responsabilidad limitadas;2024;14.613,0
Valores absolutos;Sociedades anónimas o de responsabilidad limitadas;2023;13.780,0
Valores absolutos;Sociedades anónimas o de responsabilidad limitadas;2022;14.357,0
Valores absolutos;Sociedades anónimas o de responsabilidad limitadas;2021;13.771,0
Valores absolutos;Sociedades anónimas o de responsabilidad limitadas;2020;13.926,0
Valores absolutos;Sociedades anónimas o de responsabilidad limitadas;2019;14.018,0
Valores absolutos;Sociedades anónimas o de responsabilidad limitadas;2018;13.029,0
Valores absolutos;Sociedades anónimas o de responsabilidad limitadas;2017;13.229,0
Valores absolutos;Sociedades anónimas o de responsabilidad limitadas;2016;13.177,0
Valores absolutos;Sociedades anónimas o de responsabilidad limitadas;2015;12.735,0
Valores absolutos;Sociedades anónimas o de responsabilidad limitadas;2014;11.975,0
Valores absolutos;Sociedades anónimas o de responsabilidad limitadas;2013;11.215,0
