Indicador;Comunidad autónoma;periodo;Total
Valores absolutos;Total;2024;43.829,0
Valores absolutos;Total;2023;41.180,0
Valores absolutos;Total;2022;43.549,0
Valores absolutos;Total;2021;40.882,0
Valores absolutos;Total;2020;41.034,0
Valores absolutos;Total;2019;39.419,0
Valores absolutos;Total;2018;34.529,0
Valores absolutos;Total;2017;34.203,0
Valores absolutos;Total;2016;33.071,0
Valores absolutos;Total;2015;31.139,0
Valores absolutos;Total;2014;28.735,0
Valores absolutos;Total;2013;26.697,0
Valores absolutos;Total;2012;26.011,0
Valores absolutos;Total;2011;24.655,0
Valores absolutos;Total;2010;24.222,0
Valores absolutos;Total;2009;22.991,0
Valores absolutos;Total;2008;22.912,0
Valores absolutos;Andalucía;2024;6.774,0
Valores absolutos;Andalucía;2023;6.227,0
Valores absolutos;Andalucía;2022;6.507,0
Valores absolutos;Andalucía;2021;6.009,0
Valores absolutos;Andalucía;2020;6.024,0
Valores absolutos;Andalucía;2019;5.758,0
Valores absolutos;Andalucía;2018;5.077,0
Valores absolutos;Andalucía;2017;5.066,0
Valores absolutos;Andalucía;2016;4.941,0
Valores absolutos;Andalucía;2015;4.726,0
Valores absolutos;Andalucía;2014;4.404,0
Valores absolutos;Andalucía;2013;3.989,0
Valores absolutos;Andalucía;2012;3.965,0
Valores absolutos;Andalucía;2011;3.780,0
Valores absolutos;Andalucía;2010;3.739,0
Valores absolutos;Andalucía;2009;3.455,0
Valores absolutos;Andalucía;2008;3.429,0
Valores absolutos;Aragón;2024;1.162,0
Valores absolutos;Aragón;2023;1.078,0
Valores absolutos;Aragón;2022;1.213,0
Valores absolutos;Aragón;2021;1.131,0
Valores absolutos;Aragón;2020;1.162,0
Valores absolutos;Aragón;2019;1.087,0
Valores absolutos;Aragón;2018;936,0
Valores absolutos;Aragón;2017;898,0
Valores absolutos;Aragón;2016;872,0
Valores absolutos;Aragón;2015;804,0
Valores absolutos;Aragón;2014;722,0
Valores absolutos;Aragón;2013;635,0
Valores absolutos;Aragón;2012;610,0
Valores absolutos;Aragón;2011;573,0
Valores absolutos;Aragón;2010;551,0
Valores absolutos;Aragón;2009;583,0
Valores absolutos;Aragón;2008;599,0
Valores absolutos;Asturias, Principado de;2024;963,0
Valores absolutos;Asturias, Principado de;2023;914,0
Valores absolutos;Asturias, Principado de;2022;948,0
Valores absolutos;Asturias, Principado de;2021;881,0
Valores absolutos;Asturias, Principado de;2020;911,0
Valores absolutos;Asturias, Principado de;2019;891,0
Valores absolutos;Asturias, Principado de;2018;756,0
