Número de asalariados;Indicador;Actividad económica;periodo;Total
TOTAL;valores absolutos;TOTAL;2024;43.829,0
TOTAL;valores absolutos;TOTAL;2023;41.180,0
TOTAL;valores absolutos;TOTAL;2022;43.549,0
TOTAL;valores absolutos;TOTAL;2021;40.882,0
TOTAL;valores absolutos;TOTAL;2020;41.034,0
TOTAL;valores absolutos;TOTAL;2019;39.419,0
TOTAL;valores absolutos;TOTAL;2018;34.529,0
TOTAL;valores absolutos;TOTAL;2017;34.203,0
TOTAL;valores absolutos;TOTAL;2016;33.071,0
TOTAL;valores absolutos;TOTAL;2015;31.139,0
TOTAL;valores absolutos;TOTAL;2014;28.735,0
TOTAL;valores absolutos;TOTAL;2013;26.697,0
TOTAL;valores absolutos;TOTAL;2012;26.011,0
TOTAL;valores absolutos;TOTAL;2011;24.655,0
TOTAL;valores absolutos;TOTAL;2010;24.222,0
TOTAL;valores absolutos;TOTAL;2009;22.991,0
TOTAL;valores absolutos;TOTAL;2008;22.912,0
TOTAL;valores absolutos;931 Actividades deportivas;2024;35.159,0
TOTAL;valores absolutos;931 Actividades deportivas;2023;32.640,0
TOTAL;valores absolutos;931 Actividades deportivas;2022;34.636,0
TOTAL;valores absolutos;931 Actividades deportivas;2021;32.467,0
TOTAL;valores absolutos;931 Actividades deportivas;2020;32.273,0
TOTAL;valores absolutos;931 Actividades deportivas;2019;30.731,0
TOTAL;valores absolutos;931 Actividades deportivas;2018;28.278,0
TOTAL;valores absolutos;931 Actividades deportivas;2017;27.676,0
TOTAL;valores absolutos;931 Actividades deportivas;2016;26.197,0
TOTAL;valores absolutos;931 Actividades deportivas;2015;24.003,0
TOTAL;valores absolutos;931 Actividades deportivas;2014;21.506,0
TOTAL;valores absolutos;931 Actividades deportivas;2013;19.270,0
TOTAL;valores absolutos;931 Actividades deportivas;2012;18.167,0
TOTAL;valores absolutos;931 Actividades deportivas;2011;16.827,0
TOTAL;valores absolutos;931 Actividades deportivas;2010;16.291,0
TOTAL;valores absolutos;931 Actividades deportivas;2009;15.240,0
TOTAL;valores absolutos;931 Actividades deportivas;2008;14.962,0
TOTAL;valores absolutos;323 Fabricación de artículos de deporte;2024;284,0
TOTAL;valores absolutos;323 Fabricación de artículos de deporte;2023;281,0
TOTAL;valores absolutos;323 Fabricación de artículos de deporte;2022;302,0
TOTAL;valores absolutos;323 Fabricación de artículos de deporte;2021;292,0
TOTAL;valores absolutos;323 Fabricación de artículos de deporte;2020;272,0
TOTAL;valores absolutos;323 Fabricación de artículos de deporte;2019;274,0
TOTAL;valores absolutos;323 Fabricación de artículos de deporte;2018;261,0
TOTAL;valores absolutos;323 Fabricación de artículos de deporte;2017;217,0
TOTAL;valores absolutos;323 Fabricación de artículos de deporte;2016;208,0
TOTAL;valores absolutos;323 Fabricación de artículos de deporte;2015;204,0
TOTAL;valores absolutos;323 Fabricación de artículos de deporte;2014;177,0
TOTAL;valores absolutos;323 Fabricación de artículos de deporte;2013;174,0
TOTAL;valores absolutos;323 Fabricación de artículos de deporte;2012;175,0
TOTAL;valores absolutos;323 Fabricación de artículos de deporte;2011;175,0
TOTAL;valores absolutos;323 Fabricación de artículos de deporte;2010;188,0
TOTAL;valores absolutos;323 Fabricación de artículos de deporte;2009;193,0
TOTAL;valores absolutos;323 Fabricación de artículos de deporte;2008;197,0
TOTAL;valores absolutos;4764 Comercio al por menor de art. deportivos;2024;4.372,0
TOTAL;valores absolutos;4764 Comercio al por menor de art. deportivos;2023;4.506,0
TOTAL;valores absolutos;4764 Comercio al por menor de art. deportivos;2022;5.110,0
TOTAL;valores absolutos;4764 Comercio al por menor de art. deportivos;2021;5.135,0
TOTAL;valores absolutos;4764 Comercio al por menor de art. deportivos;2020;5.416,0
TOTAL;valores absolutos;4764 Comercio al por menor de art. deportivos;2019;5.788,0
TOTAL;valores absolutos;4764 Comercio al por menor de art. deportivos;2018;5.990,0
TOTAL;valores absolutos;4764 Comercio al por menor de art. deportivos;2017;6.310,0
TOTAL;valores absolutos;4764 Comercio al por menor de art. deportivos;2016;6.666,0
TOTAL;valores absolutos;4764 Comercio al por menor de art. deportivos;2015;6.932,0
TOTAL;valores absolutos;4764 Comercio al por menor de art. deportivos;2014;7.052,0
TOTAL;valores absolutos;4764 Comercio al por menor de art. deportivos;2013;7.253,0
TOTAL;valores absolutos;4764 Comercio al por menor de art. deportivos;2012;7.669,0
TOTAL;valores absolutos;4764 Comercio al por menor de art. deportivos;2011;7.653,0
TOTAL;valores absolutos;4764 Comercio al por menor de art. deportivos;2010;7.743,0
TOTAL;valores absolutos;4764 Comercio al por menor de art. deportivos;2009;7.558,0
TOTAL;valores absolutos;4764 Comercio al por menor de art. deportivos;2008;7.753,0
TOTAL;valores absolutos;8551 Educación deportiva y recreativa;2024;4.014,0
TOTAL;valores absolutos;8551 Educación deportiva y recreativa;2023;3.753,0
TOTAL;valores absolutos;8551 Educación deportiva y recreativa;2022;3.501,0
TOTAL;valores absolutos;8551 Educación deportiva y recreativa;2021;2.988,0
TOTAL;valores absolutos;8551 Educación deportiva y recreativa;2020;3.073,0
TOTAL;valores absolutos;8551 Educación deportiva y recreativa;2019;2.626,0
TOTAL;valores absolutos;8551 Educación deportiva y recreativa;2018;..
TOTAL;valores absolutos;8551 Educación deportiva y recreativa;2017;..
TOTAL;valores absolutos;8551 Educación deportiva y recreativa;2016;..
TOTAL;valores absolutos;8551 Educación deportiva y recreativa;2015;..
TOTAL;valores absolutos;8551 Educación deportiva y recreativa;2014;..
TOTAL;valores absolutos;8551 Educación deportiva y recreativa;2013;..
TOTAL;valores absolutos;8551 Educación deportiva y recreativa;2012;..
TOTAL;valores absolutos;8551 Educación deportiva y recreativa;2011;..
TOTAL;valores absolutos;8551 Educación deportiva y recreativa;2010;..
TOTAL;valores absolutos;8551 Educación deportiva y recreativa;2009;..
TOTAL;valores absolutos;8551 Educación deportiva y recreativa;2008;..
