Actividad económica principal;Indicador;periodo;Total
323 Fabricación de artículos de deporte;Número de empresas;2023;311
323 Fabricación de artículos de deporte;Número de empresas;2022;311
323 Fabricación de artículos de deporte;Número de empresas;2021;309
323 Fabricación de artículos de deporte;Número de empresas;2020;264
323 Fabricación de artículos de deporte;Número de empresas;2019;266
323 Fabricación de artículos de deporte;Número de empresas;2018;274
323 Fabricación de artículos de deporte;Número de empresas;2017;244
323 Fabricación de artículos de deporte;Número de empresas;2016;193
323 Fabricación de artículos de deporte;Cifra de negocio (Miles de euros);2023;445.443
323 Fabricación de artículos de deporte;Cifra de negocio (Miles de euros);2022;444.229
323 Fabricación de artículos de deporte;Cifra de negocio (Miles de euros);2021;455.550
323 Fabricación de artículos de deporte;Cifra de negocio (Miles de euros);2020;334.340
323 Fabricación de artículos de deporte;Cifra de negocio (Miles de euros);2019;275.628
323 Fabricación de artículos de deporte;Cifra de negocio (Miles de euros);2018;261.879
323 Fabricación de artículos de deporte;Cifra de negocio (Miles de euros);2017;255.645
323 Fabricación de artículos de deporte;Cifra de negocio (Miles de euros);2016;221.934
323 Fabricación de artículos de deporte;Valor de la producción (Miles de euros);2023;433.757
323 Fabricación de artículos de deporte;Valor de la producción (Miles de euros);2022;434.130
323 Fabricación de artículos de deporte;Valor de la producción (Miles de euros);2021;453.468
323 Fabricación de artículos de deporte;Valor de la producción (Miles de euros);2020;330.077
323 Fabricación de artículos de deporte;Valor de la producción (Miles de euros);2019;265.127
323 Fabricación de artículos de deporte;Valor de la producción (Miles de euros);2018;253.095
323 Fabricación de artículos de deporte;Valor de la producción (Miles de euros);2017;255.641
323 Fabricación de artículos de deporte;Valor de la producción (Miles de euros);2016;215.447
323 Fabricación de artículos de deporte;Valor añadido a coste de los factores (Miles de euros);2023;113.912
323 Fabricación de artículos de deporte;Valor añadido a coste de los factores (Miles de euros);2022;115.650
323 Fabricación de artículos de deporte;Valor añadido a coste de los factores (Miles de euros);2021;119.515
323 Fabricación de artículos de deporte;Valor añadido a coste de los factores (Miles de euros);2020;90.692
323 Fabricación de artículos de deporte;Valor añadido a coste de los factores (Miles de euros);2019;74.821
323 Fabricación de artículos de deporte;Valor añadido a coste de los factores (Miles de euros);2018;70.234
323 Fabricación de artículos de deporte;Valor añadido a coste de los factores (Miles de euros);2017;65.310
323 Fabricación de artículos de deporte;Valor añadido a coste de los factores (Miles de euros);2016;59.457
323 Fabricación de artículos de deporte;Inversión en activos materiales (Miles de euros);2023;83.508
323 Fabricación de artículos de deporte;Inversión en activos materiales (Miles de euros);2022;9.467
323 Fabricación de artículos de deporte;Inversión en activos materiales (Miles de euros);2021;7.748
323 Fabricación de artículos de deporte;Inversión en activos materiales (Miles de euros);2020;8.302
323 Fabricación de artículos de deporte;Inversión en activos materiales (Miles de euros);2019;5.483
323 Fabricación de artículos de deporte;Inversión en activos materiales (Miles de euros);2018;7.173
323 Fabricación de artículos de deporte;Inversión en activos materiales (Miles de euros);2017;10.674
323 Fabricación de artículos de deporte;Inversión en activos materiales (Miles de euros);2016;9.463
323 Fabricación de artículos de deporte;Gastos de personal (Miles de euros);2023;9.808
323 Fabricación de artículos de deporte;Gastos de personal (Miles de euros);2022;74.752
323 Fabricación de artículos de deporte;Gastos de personal (Miles de euros);2021;67.488
323 Fabricación de artículos de deporte;Gastos de personal (Miles de euros);2020;57.993
323 Fabricación de artículos de deporte;Gastos de personal (Miles de euros);2019;52.745
323 Fabricación de artículos de deporte;Gastos de personal (Miles de euros);2018;50.234
323 Fabricación de artículos de deporte;Gastos de personal (Miles de euros);2017;47.066
323 Fabricación de artículos de deporte;Gastos de personal (Miles de euros);2016;44.417
323 Fabricación de artículos de deporte;Personal ocupado (Media anual);2023;2.386
323 Fabricación de artículos de deporte;Personal ocupado (Media anual);2022;2.290
323 Fabricación de artículos de deporte;Personal ocupado (Media anual);2021;2.235
323 Fabricación de artículos de deporte;Personal ocupado (Media anual);2020;1.932
323 Fabricación de artículos de deporte;Personal ocupado (Media anual);2019;1.843
323 Fabricación de artículos de deporte;Personal ocupado (Media anual);2018;1.722
323 Fabricación de artículos de deporte;Personal ocupado (Media anual);2017;1.661
323 Fabricación de artículos de deporte;Personal ocupado (Media anual);2016;1.645
931 Actividades deportivas;Número de empresas;2023;33.911
931 Actividades deportivas;Número de empresas;2022;31.985
931 Actividades deportivas;Número de empresas;2021;29.384
931 Actividades deportivas;Número de empresas;2020;29.940
931 Actividades deportivas;Número de empresas;2019;27.355
931 Actividades deportivas;Número de empresas;2018;30.512
931 Actividades deportivas;Número de empresas;2017;28.040
931 Actividades deportivas;Número de empresas;2016;27.623
931 Actividades deportivas;Cifra de negocio (Miles de euros);2023;13.357.989
931 Actividades deportivas;Cifra de negocio (Miles de euros);2022;12.000.342
931 Actividades deportivas;Cifra de negocio (Miles de euros);2021;10.542.945
931 Actividades deportivas;Cifra de negocio (Miles de euros);2020;9.521.234
931 Actividades deportivas;Cifra de negocio (Miles de euros);2019;11.171.037
931 Actividades deportivas;Cifra de negocio (Miles de euros);2018;10.538.042
931 Actividades deportivas;Cifra de negocio (Miles de euros);2017;9.659.866
931 Actividades deportivas;Cifra de negocio (Miles de euros);2016;8.494.051
931 Actividades deportivas;Valor de la producción (Miles de euros);2023;11.826.407
931 Actividades deportivas;Valor de la producción (Miles de euros);2022;12.166.968
931 Actividades deportivas;Valor de la producción (Miles de euros);2021;9.070.448
931 Actividades deportivas;Valor de la producción (Miles de euros);2020;7.800.131
931 Actividades deportivas;Valor de la producción (Miles de euros);2019;9.160.745
931 Actividades deportivas;Valor de la producción (Miles de euros);2018;8.614.622
931 Actividades deportivas;Valor de la producción (Miles de euros);2017;7.773.279
931 Actividades deportivas;Valor de la producción (Miles de euros);2016;7.049.191
931 Actividades deportivas;Valor añadido a coste de los factores (Miles de euros);2023;6.937.498
931 Actividades deportivas;Valor añadido a coste de los factores (Miles de euros);2022;6.445.603
931 Actividades deportivas;Valor añadido a coste de los factores (Miles de euros);2021;5.945.196
931 Actividades deportivas;Valor añadido a coste de los factores (Miles de euros);2020;5.366.092
931 Actividades deportivas;Valor añadido a coste de los factores (Miles de euros);2019;6.475.770
931 Actividades deportivas;Valor añadido a coste de los factores (Miles de euros);2018;5.715.791
931 Actividades deportivas;Valor añadido a coste de los factores (Miles de euros);2017;5.342.552
931 Actividades deportivas;Valor añadido a coste de los factores (Miles de euros);2016;4.881.767
931 Actividades deportivas;Inversión en activos materiales (Miles de euros);2023;5.367.399
931 Actividades deportivas;Inversión en activos materiales (Miles de euros);2022;1.106.607
931 Actividades deportivas;Inversión en activos materiales (Miles de euros);2021;875.523
931 Actividades deportivas;Inversión en activos materiales (Miles de euros);2020;678.978
