Indicador;Actividad económica principal;periodo;Total
Número de empresas;3230 Fabricación de artículos de deporte;2023;311
Número de empresas;3230 Fabricación de artículos de deporte;2022;311
Número de empresas;3230 Fabricación de artículos de deporte;2021;309
Número de empresas;3230 Fabricación de artículos de deporte;2020;264
Número de empresas;3230 Fabricación de artículos de deporte;2019;266
Número de empresas;3230 Fabricación de artículos de deporte;2018;274
Número de empresas;3230 Fabricación de artículos de deporte;2017;244
Número de empresas;3230 Fabricación de artículos de deporte;2016;193
Número de empresas;4764 Comercio al por menor de artículos deportivos;2023;445.443
Número de empresas;4764 Comercio al por menor de artículos deportivos;2022;444.229
Número de empresas;4764 Comercio al por menor de artículos deportivos;2021;455.550
Número de empresas;4764 Comercio al por menor de artículos deportivos;2020;334.340
Número de empresas;4764 Comercio al por menor de artículos deportivos;2019;275.628
Número de empresas;4764 Comercio al por menor de artículos deportivos;2018;261.879
Número de empresas;4764 Comercio al por menor de artículos deportivos;2017;255.645
Número de empresas;4764 Comercio al por menor de artículos deportivos;2016;221.934
Número de empresas;9311 Gestión de instalaciones deportivas;2023;433.757
Número de empresas;9311 Gestión de instalaciones deportivas;2022;434.130
Número de empresas;9311 Gestión de instalaciones deportivas;2021;453.468
Número de empresas;9311 Gestión de instalaciones deportivas;2020;330.077
Número de empresas;9311 Gestión de instalaciones deportivas;2019;265.127
Número de empresas;9311 Gestión de instalaciones deportivas;2018;253.095
Número de empresas;9311 Gestión de instalaciones deportivas;2017;255.641
Número de empresas;9311 Gestión de instalaciones deportivas;2016;215.447
Número de empresas;9312 Actividades de los clubes deportivos;2023;113.912
Número de empresas;9312 Actividades de los clubes deportivos;2022;115.650
Número de empresas;9312 Actividades de los clubes deportivos;2021;119.515
Número de empresas;9312 Actividades de los clubes deportivos;2020;90.692
Número de empresas;9312 Actividades de los clubes deportivos;2019;74.821
Número de empresas;9312 Actividades de los clubes deportivos;2018;70.234
Número de empresas;9312 Actividades de los clubes deportivos;2017;65.310
