Indicador;Actividades vinculadas al deporte;periodo;Total
Volumen de negocio;323 Fabricación de artículos de deporte;2015;227.567
Volumen de negocio;323 Fabricación de artículos de deporte;2014;218.622
Volumen de negocio;323 Fabricación de artículos de deporte;2013;209.887
Volumen de negocio;931 Actividades deportivas;2015;221.618
Volumen de negocio;931 Actividades deportivas;2014;186.766
Volumen de negocio;931 Actividades deportivas;2013;189.118
Valor de la producción;323 Fabricación de artículos de deporte;2015;61.032
Valor de la producción;323 Fabricación de artículos de deporte;2014;66.112
Valor de la producción;323 Fabricación de artículos de deporte;2013;65.158
Valor de la producción;931 Actividades deportivas;2015;43.699
Valor de la producción;931 Actividades deportivas;2014;42.337
Valor de la producción;931 Actividades deportivas;2013;39.450
Valor añadido bruto a precios de mercado;323 Fabricación de artículos de deporte;2015;7.108
Valor añadido bruto a precios de mercado;323 Fabricación de artículos de deporte;2014;4.964
Valor añadido bruto a precios de mercado;323 Fabricación de artículos de deporte;2013;4.537
Valor añadido bruto a precios de mercado;931 Actividades deportivas;2015;..
Valor añadido bruto a precios de mercado;931 Actividades deportivas;2014;7.012.599
Valor añadido bruto a precios de mercado;931 Actividades deportivas;2013;5.889.825
Gastos de personal;323 Fabricación de artículos de deporte;2015;..
Gastos de personal;323 Fabricación de artículos de deporte;2014;6.789.510
Gastos de personal;323 Fabricación de artículos de deporte;2013;5.850.151
Gastos de personal;931 Actividades deportivas;2015;..
Gastos de personal;931 Actividades deportivas;2014;4.047.478
Gastos de personal;931 Actividades deportivas;2013;3.559.428
Inversión en activos materiales;323 Fabricación de artículos de deporte;2015;..
Inversión en activos materiales;323 Fabricación de artículos de deporte;2014;3.220.815
Inversión en activos materiales;323 Fabricación de artículos de deporte;2013;3.052.397
Inversión en activos materiales;931 Actividades deportivas;2015;..
Inversión en activos materiales;931 Actividades deportivas;2014;497.855
Inversión en activos materiales;931 Actividades deportivas;2013;408.322
