Indicador;Tipo de bienes y servicios;periodo;Total
TOTAL (Millones de euros);TOTAL;2023;6.326,0
TOTAL (Millones de euros);TOTAL;2022;6.133,1
TOTAL (Millones de euros);TOTAL;2021;4.395,8
TOTAL (Millones de euros);TOTAL;2020;3.432,8
TOTAL (Millones de euros);TOTAL;2019;5.804,4
TOTAL (Millones de euros);TOTAL;2018;5.526,7
TOTAL (Millones de euros);TOTAL;2017;5.686,5
TOTAL (Millones de euros);TOTAL;2016;4.924,9
TOTAL (Millones de euros);TOTAL;2015;4.443,2
TOTAL (Millones de euros);TOTAL;2014;4.211,4
TOTAL (Millones de euros);TOTAL;2013;4.570,4
TOTAL (Millones de euros);TOTAL;2012;4.468,8
TOTAL (Millones de euros);TOTAL;2011;4.778,8
TOTAL (Millones de euros);TOTAL;2010;4.693,2
TOTAL (Millones de euros);TOTAL;2009;4.555,1
TOTAL (Millones de euros);TOTAL;2008;4.865,9
TOTAL (Millones de euros);TOTAL;2007;4.715,1
TOTAL (Millones de euros);TOTAL;2006;4.134,4
TOTAL (Millones de euros);1. Servicios recreativos y deportivos;2023;4.864,9
TOTAL (Millones de euros);1. Servicios recreativos y deportivos;2022;4.682,1
TOTAL (Millones de euros);1. Servicios recreativos y deportivos;2021;3.005,4
TOTAL (Millones de euros);1. Servicios recreativos y deportivos;2020;2.214,2
TOTAL (Millones de euros);1. Servicios recreativos y deportivos;2019;4.502,7
TOTAL (Millones de euros);1. Servicios recreativos y deportivos;2018;4.248,7
TOTAL (Millones de euros);1. Servicios recreativos y deportivos;2017;4.505,2
TOTAL (Millones de euros);1. Servicios recreativos y deportivos;2016;3.845,3
TOTAL (Millones de euros);1. Servicios recreativos y deportivos;2015;3.312,3
TOTAL (Millones de euros);1. Servicios recreativos y deportivos;2014;3.152,2
TOTAL (Millones de euros);1. Servicios recreativos y deportivos;2013;3.543,1
TOTAL (Millones de euros);1. Servicios recreativos y deportivos;2012;3.163,8
TOTAL (Millones de euros);1. Servicios recreativos y deportivos;2011;3.437,8
TOTAL (Millones de euros);1. Servicios recreativos y deportivos;2010;3.233,3
TOTAL (Millones de euros);1. Servicios recreativos y deportivos;2009;3.216,4
TOTAL (Millones de euros);1. Servicios recreativos y deportivos;2008;3.611,1
TOTAL (Millones de euros);1. Servicios recreativos y deportivos;2007;3.205,9
TOTAL (Millones de euros);1. Servicios recreativos y deportivos;2006;2.937,8
TOTAL (Millones de euros);1.1. Asistencia a eventos;2023;934,9
TOTAL (Millones de euros);1.1. Asistencia a eventos;2022;731,5
TOTAL (Millones de euros);1.1. Asistencia a eventos;2021;307,6
TOTAL (Millones de euros);1.1. Asistencia a eventos;2020;215,5
TOTAL (Millones de euros);1.1. Asistencia a eventos;2019;565,4
TOTAL (Millones de euros);1.1. Asistencia a eventos;2018;664,2
TOTAL (Millones de euros);1.1. Asistencia a eventos;2017;675,2
TOTAL (Millones de euros);1.1. Asistencia a eventos;2016;860,1
TOTAL (Millones de euros);1.1. Asistencia a eventos;2015;728,7
TOTAL (Millones de euros);1.1. Asistencia a eventos;2014;693,5
TOTAL (Millones de euros);1.1. Asistencia a eventos;2013;779,5
TOTAL (Millones de euros);1.1. Asistencia a eventos;2012;696,0
TOTAL (Millones de euros);1.1. Asistencia a eventos;2011;756,3
TOTAL (Millones de euros);1.1. Asistencia a eventos;2010;711,3
TOTAL (Millones de euros);1.1. Asistencia a eventos;2009;707,6
TOTAL (Millones de euros);1.1. Asistencia a eventos;2008;794,4
TOTAL (Millones de euros);1.1. Asistencia a eventos;2007;705,3
TOTAL (Millones de euros);1.1. Asistencia a eventos;2006;646,3
TOTAL (Millones de euros);1.2. Participación;2023;3.930,1
TOTAL (Millones de euros);1.2. Participación;2022;3.950,6
TOTAL (Millones de euros);1.2. Participación;2021;2.697,8
TOTAL (Millones de euros);1.2. Participación;2020;1.998,6
TOTAL (Millones de euros);1.2. Participación;2019;3.937,3
TOTAL (Millones de euros);1.2. Participación;2018;3.584,5
TOTAL (Millones de euros);1.2. Participación;2017;3.830,1
TOTAL (Millones de euros);1.2. Participación;2016;2.985,2
TOTAL (Millones de euros);1.2. Participación;2015;2.583,6
TOTAL (Millones de euros);1.2. Participación;2014;2.458,8
TOTAL (Millones de euros);1.2. Participación;2013;2.763,6
TOTAL (Millones de euros);1.2. Participación;2012;2.467,7
TOTAL (Millones de euros);1.2. Participación;2011;2.681,5
TOTAL (Millones de euros);1.2. Participación;2010;2.521,9
TOTAL (Millones de euros);1.2. Participación;2009;2.508,8
TOTAL (Millones de euros);1.2. Participación;2008;2.816,7
TOTAL (Millones de euros);1.2. Participación;2007;2.500,6
TOTAL (Millones de euros);1.2. Participación;2006;2.291,5
