Indicador;Comunidad autónoma;periodo;Total
TOTAL (Millones de euros);TOTAL;2023;6.326,0
TOTAL (Millones de euros);TOTAL;2022;6.133,1
TOTAL (Millones de euros);TOTAL;2021;4.395,8
TOTAL (Millones de euros);TOTAL;2020;3.432,8
TOTAL (Millones de euros);TOTAL;2019;5.804,4
TOTAL (Millones de euros);TOTAL;2018;5.526,7
TOTAL (Millones de euros);TOTAL;2017;5.686,5
TOTAL (Millones de euros);TOTAL;2016;4.924,9
TOTAL (Millones de euros);TOTAL;2015;4.443,2
TOTAL (Millones de euros);TOTAL;2014;4.211,4
TOTAL (Millones de euros);TOTAL;2013;4.570,4
TOTAL (Millones de euros);TOTAL;2012;4.468,8
TOTAL (Millones de euros);TOTAL;2011;4.778,8
TOTAL (Millones de euros);TOTAL;2010;4.693,2
TOTAL (Millones de euros);TOTAL;2009;4.555,1
TOTAL (Millones de euros);TOTAL;2008;4.865,9
TOTAL (Millones de euros);TOTAL;2007;4.715,1
TOTAL (Millones de euros);TOTAL;2006;4.134,4
TOTAL (Millones de euros);Andalucía;2023;1.126,0
TOTAL (Millones de euros);Andalucía;2022;1.229,3
TOTAL (Millones de euros);Andalucía;2021;723,8
TOTAL (Millones de euros);Andalucía;2020;494,3
TOTAL (Millones de euros);Andalucía;2019;747,7
TOTAL (Millones de euros);Andalucía;2018;908,9
TOTAL (Millones de euros);Andalucía;2017;884,0
TOTAL (Millones de euros);Andalucía;2016;913,4
TOTAL (Millones de euros);Andalucía;2015;729,5
TOTAL (Millones de euros);Andalucía;2014;687,4
TOTAL (Millones de euros);Andalucía;2013;781,9
TOTAL (Millones de euros);Andalucía;2012;716,6
TOTAL (Millones de euros);Andalucía;2011;865,8
TOTAL (Millones de euros);Andalucía;2010;905,9
TOTAL (Millones de euros);Andalucía;2009;914,4
TOTAL (Millones de euros);Andalucía;2008;1.224,8
TOTAL (Millones de euros);Andalucía;2007;870,9
TOTAL (Millones de euros);Andalucía;2006;853,0
TOTAL (Millones de euros);Aragón;2023;246,1
TOTAL (Millones de euros);Aragón;2022;203,2
TOTAL (Millones de euros);Aragón;2021;109,8
TOTAL (Millones de euros);Aragón;2020;159,2
TOTAL (Millones de euros);Aragón;2019;284,5
TOTAL (Millones de euros);Aragón;2018;197,7
TOTAL (Millones de euros);Aragón;2017;161,3
TOTAL (Millones de euros);Aragón;2016;174,4
TOTAL (Millones de euros);Aragón;2015;169,8
TOTAL (Millones de euros);Aragón;2014;174,0
TOTAL (Millones de euros);Aragón;2013;143,6
TOTAL (Millones de euros);Aragón;2012;108,7
TOTAL (Millones de euros);Aragón;2011;124,4
TOTAL (Millones de euros);Aragón;2010;117,9
TOTAL (Millones de euros);Aragón;2009;117,5
TOTAL (Millones de euros);Aragón;2008;129,7
TOTAL (Millones de euros);Aragón;2007;154,3
TOTAL (Millones de euros);Aragón;2006;120,3
TOTAL (Millones de euros);Asturias (Principado de);2023;99,8
TOTAL (Millones de euros);Asturias (Principado de);2022;82,1
TOTAL (Millones de euros);Asturias (Principado de);2021;48,1
TOTAL (Millones de euros);Asturias (Principado de);2020;59,8
TOTAL (Millones de euros);Asturias (Principado de);2019;82,5
TOTAL (Millones de euros);Asturias (Principado de);2018;120,0
TOTAL (Millones de euros);Asturias (Principado de);2017;133,9
TOTAL (Millones de euros);Asturias (Principado de);2016;120,7
TOTAL (Millones de euros);Asturias (Principado de);2015;104,2
TOTAL (Millones de euros);Asturias (Principado de);2014;92,6
TOTAL (Millones de euros);Asturias (Principado de);2013;98,3
TOTAL (Millones de euros);Asturias (Principado de);2012;109,1
TOTAL (Millones de euros);Asturias (Principado de);2011;95,9
TOTAL (Millones de euros);Asturias (Principado de);2010;124,9
TOTAL (Millones de euros);Asturias (Principado de);2009;131,7
TOTAL (Millones de euros);Asturias (Principado de);2008;106,6
TOTAL (Millones de euros);Asturias (Principado de);2007;83,3
TOTAL (Millones de euros);Asturias (Principado de);2006;112,8
TOTAL (Millones de euros);Balears (Illes);2023;158,2
TOTAL (Millones de euros);Balears (Illes);2022;168,0
TOTAL (Millones de euros);Balears (Illes);2021;118,9
TOTAL (Millones de euros);Balears (Illes);2020;140,5
TOTAL (Millones de euros);Balears (Illes);2019;147,0
TOTAL (Millones de euros);Balears (Illes);2018;157,3
TOTAL (Millones de euros);Balears (Illes);2017;198,5
TOTAL (Millones de euros);Balears (Illes);2016;129,8
TOTAL (Millones de euros);Balears (Illes);2015;133,5
TOTAL (Millones de euros);Balears (Illes);2014;136,0
TOTAL (Millones de euros);Balears (Illes);2013;167,8
TOTAL (Millones de euros);Balears (Illes);2012;112,4
TOTAL (Millones de euros);Balears (Illes);2011;134,4
