Indicador;Tamaño de municipio;periodo;Total
TOTAL (Millones de euros);TOTAL;2023;6.326,0
TOTAL (Millones de euros);TOTAL;2022;6.133,1
TOTAL (Millones de euros);TOTAL;2021;4.395,8
TOTAL (Millones de euros);TOTAL;2020;3.432,8
TOTAL (Millones de euros);TOTAL;2019;5.804,4
TOTAL (Millones de euros);TOTAL;2018;5.526,7
TOTAL (Millones de euros);TOTAL;2017;5.686,5
TOTAL (Millones de euros);TOTAL;2016;4.924,9
TOTAL (Millones de euros);TOTAL;2015;4.443,2
TOTAL (Millones de euros);TOTAL;2014;4.211,4
TOTAL (Millones de euros);TOTAL;2013;4.570,4
TOTAL (Millones de euros);TOTAL;2012;4.468,8
TOTAL (Millones de euros);TOTAL;2011;4.778,8
TOTAL (Millones de euros);TOTAL;2010;4.693,2
TOTAL (Millones de euros);TOTAL;2009;4.555,1
TOTAL (Millones de euros);TOTAL;2008;4.865,9
TOTAL (Millones de euros);TOTAL;2007;4.715,1
TOTAL (Millones de euros);TOTAL;2006;4.134,4
TOTAL (Millones de euros);100.000 o más habitantes;2023;2.648,7
TOTAL (Millones de euros);100.000 o más habitantes;2022;2.579,0
TOTAL (Millones de euros);100.000 o más habitantes;2021;1.794,1
TOTAL (Millones de euros);100.000 o más habitantes;2020;1.546,1
TOTAL (Millones de euros);100.000 o más habitantes;2019;2.626,3
TOTAL (Millones de euros);100.000 o más habitantes;2018;2.409,2
TOTAL (Millones de euros);100.000 o más habitantes;2017;2.331,2
TOTAL (Millones de euros);100.000 o más habitantes;2016;2.096,1
TOTAL (Millones de euros);100.000 o más habitantes;2015;1.846,9
TOTAL (Millones de euros);100.000 o más habitantes;2014;1.810,2
TOTAL (Millones de euros);100.000 o más habitantes;2013;2.080,7
TOTAL (Millones de euros);100.000 o más habitantes;2012;1.916,2
TOTAL (Millones de euros);100.000 o más habitantes;2011;2.106,6
TOTAL (Millones de euros);100.000 o más habitantes;2010;2.149,8
TOTAL (Millones de euros);100.000 o más habitantes;2009;1.984,1
TOTAL (Millones de euros);100.000 o más habitantes;2008;1.958,8
TOTAL (Millones de euros);100.000 o más habitantes;2007;2.033,6
TOTAL (Millones de euros);100.000 o más habitantes;2006;1.908,2
TOTAL (Millones de euros);De 50.000 a 99.999 habitantes;2023;931,7
TOTAL (Millones de euros);De 50.000 a 99.999 habitantes;2022;868,3
TOTAL (Millones de euros);De 50.000 a 99.999 habitantes;2021;773,4
TOTAL (Millones de euros);De 50.000 a 99.999 habitantes;2020;361,9
TOTAL (Millones de euros);De 50.000 a 99.999 habitantes;2019;781,6
TOTAL (Millones de euros);De 50.000 a 99.999 habitantes;2018;722,1
TOTAL (Millones de euros);De 50.000 a 99.999 habitantes;2017;876,5
TOTAL (Millones de euros);De 50.000 a 99.999 habitantes;2016;661,1
TOTAL (Millones de euros);De 50.000 a 99.999 habitantes;2015;733,3
TOTAL (Millones de euros);De 50.000 a 99.999 habitantes;2014;702,9
TOTAL (Millones de euros);De 50.000 a 99.999 habitantes;2013;661,2
TOTAL (Millones de euros);De 50.000 a 99.999 habitantes;2012;655,7
TOTAL (Millones de euros);De 50.000 a 99.999 habitantes;2011;704,2
TOTAL (Millones de euros);De 50.000 a 99.999 habitantes;2010;671,6
TOTAL (Millones de euros);De 50.000 a 99.999 habitantes;2009;621,4
TOTAL (Millones de euros);De 50.000 a 99.999 habitantes;2008;546,3
TOTAL (Millones de euros);De 50.000 a 99.999 habitantes;2007;541,3
TOTAL (Millones de euros);De 50.000 a 99.999 habitantes;2006;483,4
TOTAL (Millones de euros);De 20.000 a 49.999 habitantes;2023;1.009,6
TOTAL (Millones de euros);De 20.000 a 49.999 habitantes;2022;978,7
TOTAL (Millones de euros);De 20.000 a 49.999 habitantes;2021;688,8
TOTAL (Millones de euros);De 20.000 a 49.999 habitantes;2020;543,4
TOTAL (Millones de euros);De 20.000 a 49.999 habitantes;2019;823,0
TOTAL (Millones de euros);De 20.000 a 49.999 habitantes;2018;898,2
TOTAL (Millones de euros);De 20.000 a 49.999 habitantes;2017;918,9
TOTAL (Millones de euros);De 20.000 a 49.999 habitantes;2016;649,3
TOTAL (Millones de euros);De 20.000 a 49.999 habitantes;2015;672,9
TOTAL (Millones de euros);De 20.000 a 49.999 habitantes;2014;644,5
TOTAL (Millones de euros);De 20.000 a 49.999 habitantes;2013;669,2
TOTAL (Millones de euros);De 20.000 a 49.999 habitantes;2012;760,4
TOTAL (Millones de euros);De 20.000 a 49.999 habitantes;2011;747,9
TOTAL (Millones de euros);De 20.000 a 49.999 habitantes;2010;697,6
TOTAL (Millones de euros);De 20.000 a 49.999 habitantes;2009;727,7
