Indicador;Sexo, edad, nivel estudios, sit. labora, estado civil, tipo de hogar;periodo;Total
TOTAL (Millones de euros);TOTAL;2023;6.326,0
TOTAL (Millones de euros);TOTAL;2022;6.133,1
TOTAL (Millones de euros);TOTAL;2021;4.395,8
TOTAL (Millones de euros);TOTAL;2020;3.432,8
TOTAL (Millones de euros);TOTAL;2019;5.804,4
TOTAL (Millones de euros);TOTAL;2018;5.526,7
TOTAL (Millones de euros);TOTAL;2017;5.686,5
TOTAL (Millones de euros);TOTAL;2016;4.924,9
TOTAL (Millones de euros);TOTAL;2015;4.443,2
TOTAL (Millones de euros);TOTAL;2014;4.211,4
TOTAL (Millones de euros);TOTAL;2013;4.570,4
TOTAL (Millones de euros);TOTAL;2012;4.468,8
TOTAL (Millones de euros);TOTAL;2011;4.778,8
TOTAL (Millones de euros);TOTAL;2010;4.693,2
TOTAL (Millones de euros);TOTAL;2009;4.555,1
TOTAL (Millones de euros);TOTAL;2008;4.865,9
TOTAL (Millones de euros);TOTAL;2007;4.715,1
TOTAL (Millones de euros);TOTAL;2006;4.134,4
TOTAL (Millones de euros);Sexo:Hombres;2023;4.269,3
TOTAL (Millones de euros);Sexo:Hombres;2022;4.347,4
TOTAL (Millones de euros);Sexo:Hombres;2021;3.055,7
TOTAL (Millones de euros);Sexo:Hombres;2020;2.436,2
TOTAL (Millones de euros);Sexo:Hombres;2019;4.095,3
TOTAL (Millones de euros);Sexo:Hombres;2018;4.085,5
TOTAL (Millones de euros);Sexo:Hombres;2017;4.083,8
TOTAL (Millones de euros);Sexo:Hombres;2016;3.546,7
TOTAL (Millones de euros);Sexo:Hombres;2015;3.348,0
TOTAL (Millones de euros);Sexo:Hombres;2014;3.044,4
TOTAL (Millones de euros);Sexo:Hombres;2013;3.479,9
TOTAL (Millones de euros);Sexo:Hombres;2012;3.330,1
TOTAL (Millones de euros);Sexo:Hombres;2011;3.749,5
TOTAL (Millones de euros);Sexo:Hombres;2010;3.574,1
TOTAL (Millones de euros);Sexo:Hombres;2009;3.627,5
TOTAL (Millones de euros);Sexo:Hombres;2008;4.030,4
TOTAL (Millones de euros);Sexo:Hombres;2007;3.918,1
TOTAL (Millones de euros);Sexo:Hombres;2006;3.476,9
TOTAL (Millones de euros);Sexo:Mujeres;2023;2.056,7
TOTAL (Millones de euros);Sexo:Mujeres;2022;1.785,7
TOTAL (Millones de euros);Sexo:Mujeres;2021;1.340,1
TOTAL (Millones de euros);Sexo:Mujeres;2020;996,6
TOTAL (Millones de euros);Sexo:Mujeres;2019;1.709,0
TOTAL (Millones de euros);Sexo:Mujeres;2018;1.441,2
TOTAL (Millones de euros);Sexo:Mujeres;2017;1.602,7
TOTAL (Millones de euros);Sexo:Mujeres;2016;1.378,2
TOTAL (Millones de euros);Sexo:Mujeres;2015;1.095,2
TOTAL (Millones de euros);Sexo:Mujeres;2014;1.167,0
TOTAL (Millones de euros);Sexo:Mujeres;2013;1.090,5
TOTAL (Millones de euros);Sexo:Mujeres;2012;1.138,8
TOTAL (Millones de euros);Sexo:Mujeres;2011;1.029,3
TOTAL (Millones de euros);Sexo:Mujeres;2010;1.119,2
TOTAL (Millones de euros);Sexo:Mujeres;2009;927,5
TOTAL (Millones de euros);Sexo:Mujeres;2008;835,6
TOTAL (Millones de euros);Sexo:Mujeres;2007;797,0
TOTAL (Millones de euros);Sexo:Mujeres;2006;657,5
TOTAL (Millones de euros);Grupos de edad: De 16 a 29 años;2023;245,7
TOTAL (Millones de euros);Grupos de edad: De 16 a 29 años;2022;204,3
TOTAL (Millones de euros);Grupos de edad: De 16 a 29 años;2021;123,3
TOTAL (Millones de euros);Grupos de edad: De 16 a 29 años;2020;158,0
TOTAL (Millones de euros);Grupos de edad: De 16 a 29 años;2019;216,4
TOTAL (Millones de euros);Grupos de edad: De 16 a 29 años;2018;205,1
TOTAL (Millones de euros);Grupos de edad: De 16 a 29 años;2017;216,5
TOTAL (Millones de euros);Grupos de edad: De 16 a 29 años;2016;151,1
TOTAL (Millones de euros);Grupos de edad: De 16 a 29 años;2015;167,3
TOTAL (Millones de euros);Grupos de edad: De 16 a 29 años;2014;203,0
TOTAL (Millones de euros);Grupos de edad: De 16 a 29 años;2013;266,2
TOTAL (Millones de euros);Grupos de edad: De 16 a 29 años;2012;197,5
TOTAL (Millones de euros);Grupos de edad: De 16 a 29 años;2011;284,2
TOTAL (Millones de euros);Grupos de edad: De 16 a 29 años;2010;236,7
TOTAL (Millones de euros);Grupos de edad: De 16 a 29 años;2009;276,9
TOTAL (Millones de euros);Grupos de edad: De 16 a 29 años;2008;255,6
TOTAL (Millones de euros);Grupos de edad: De 16 a 29 años;2007;230,7
