Indicador;Intervalos de ingresos mensuales del hogar;periodo;Total
TOTAL (Millones de euros);TOTAL;2023;6.326,0
TOTAL (Millones de euros);TOTAL;2022;6.133,1
TOTAL (Millones de euros);TOTAL;2021;4.395,8
TOTAL (Millones de euros);TOTAL;2020;3.432,8
TOTAL (Millones de euros);TOTAL;2019;5.804,4
TOTAL (Millones de euros);TOTAL;2018;5.526,7
TOTAL (Millones de euros);TOTAL;2017;5.686,5
TOTAL (Millones de euros);TOTAL;2016;4.924,9
TOTAL (Millones de euros);TOTAL;2015;4.443,2
TOTAL (Millones de euros);TOTAL;2014;4.211,4
TOTAL (Millones de euros);TOTAL;2013;4.570,4
TOTAL (Millones de euros);TOTAL;2012;4.468,8
TOTAL (Millones de euros);TOTAL;2011;4.778,8
TOTAL (Millones de euros);TOTAL;2010;4.693,2
TOTAL (Millones de euros);TOTAL;2009;4.555,1
TOTAL (Millones de euros);TOTAL;2008;4.865,9
TOTAL (Millones de euros);TOTAL;2007;4.715,1
TOTAL (Millones de euros);TOTAL;2006;4.134,4
TOTAL (Millones de euros);Menos de 1.000 euros;2023;103,8
TOTAL (Millones de euros);Menos de 1.000 euros;2022;132,1
TOTAL (Millones de euros);Menos de 1.000 euros;2021;139,9
TOTAL (Millones de euros);Menos de 1.000 euros;2020;116,4
TOTAL (Millones de euros);Menos de 1.000 euros;2019;207,4
TOTAL (Millones de euros);Menos de 1.000 euros;2018;253,1
TOTAL (Millones de euros);Menos de 1.000 euros;2017;214,9
TOTAL (Millones de euros);Menos de 1.000 euros;2016;340,9
TOTAL (Millones de euros);Menos de 1.000 euros;2015;297,4
TOTAL (Millones de euros);Menos de 1.000 euros;2014;326,4
TOTAL (Millones de euros);Menos de 1.000 euros;2013;338,7
TOTAL (Millones de euros);Menos de 1.000 euros;2012;315,7
TOTAL (Millones de euros);Menos de 1.000 euros;2011;277,2
TOTAL (Millones de euros);Menos de 1.000 euros;2010;258,3
TOTAL (Millones de euros);Menos de 1.000 euros;2009;209,8
TOTAL (Millones de euros);Menos de 1.000 euros;2008;173,7
TOTAL (Millones de euros);Menos de 1.000 euros;2007;174,4
TOTAL (Millones de euros);Menos de 1.000 euros;2006;221,3
TOTAL (Millones de euros);Entre 1.000 y 1.499 euros;2023;450,4
TOTAL (Millones de euros);Entre 1.000 y 1.499 euros;2022;324,4
TOTAL (Millones de euros);Entre 1.000 y 1.499 euros;2021;321,9
TOTAL (Millones de euros);Entre 1.000 y 1.499 euros;2020;317,3
TOTAL (Millones de euros);Entre 1.000 y 1.499 euros;2019;571,6
TOTAL (Millones de euros);Entre 1.000 y 1.499 euros;2018;438,1
TOTAL (Millones de euros);Entre 1.000 y 1.499 euros;2017;570,3
TOTAL (Millones de euros);Entre 1.000 y 1.499 euros;2016;595,9
TOTAL (Millones de euros);Entre 1.000 y 1.499 euros;2015;492,6
TOTAL (Millones de euros);Entre 1.000 y 1.499 euros;2014;571,7
TOTAL (Millones de euros);Entre 1.000 y 1.499 euros;2013;643,8
TOTAL (Millones de euros);Entre 1.000 y 1.499 euros;2012;509,9
TOTAL (Millones de euros);Entre 1.000 y 1.499 euros;2011;593,3
TOTAL (Millones de euros);Entre 1.000 y 1.499 euros;2010;488,5
TOTAL (Millones de euros);Entre 1.000 y 1.499 euros;2009;494,4
TOTAL (Millones de euros);Entre 1.000 y 1.499 euros;2008;449,6
TOTAL (Millones de euros);Entre 1.000 y 1.499 euros;2007;547,2
TOTAL (Millones de euros);Entre 1.000 y 1.499 euros;2006;498,8
TOTAL (Millones de euros);Entre 1.500 y 1.999 euros;2023;564,8
TOTAL (Millones de euros);Entre 1.500 y 1.999 euros;2022;666,3
TOTAL (Millones de euros);Entre 1.500 y 1.999 euros;2021;452,6
TOTAL (Millones de euros);Entre 1.500 y 1.999 euros;2020;332,6
TOTAL (Millones de euros);Entre 1.500 y 1.999 euros;2019;670,7
TOTAL (Millones de euros);Entre 1.500 y 1.999 euros;2018;677,8
TOTAL (Millones de euros);Entre 1.500 y 1.999 euros;2017;786,2
TOTAL (Millones de euros);Entre 1.500 y 1.999 euros;2016;800,2
TOTAL (Millones de euros);Entre 1.500 y 1.999 euros;2015;732,9
TOTAL (Millones de euros);Entre 1.500 y 1.999 euros;2014;761,3
TOTAL (Millones de euros);Entre 1.500 y 1.999 euros;2013;736,7
TOTAL (Millones de euros);Entre 1.500 y 1.999 euros;2012;717,3
TOTAL (Millones de euros);Entre 1.500 y 1.999 euros;2011;670,0
TOTAL (Millones de euros);Entre 1.500 y 1.999 euros;2010;765,5
TOTAL (Millones de euros);Entre 1.500 y 1.999 euros;2009;577,1
