Tipo de administración pública;Indicador;periodo;Total
Administración General del Estado;TOTAL (Miles de euros);2023;278.078
Administración General del Estado;TOTAL (Miles de euros);2022;292.188
Administración General del Estado;TOTAL (Miles de euros);2021;235.424
Administración General del Estado;TOTAL (Miles de euros);2020;181.828
Administración General del Estado;TOTAL (Miles de euros);2019;178.109
Administración General del Estado;TOTAL (Miles de euros);2018;174.817
Administración General del Estado;TOTAL (Miles de euros);2017;143.326
Administración General del Estado;TOTAL (Miles de euros);2016;143.587
Administración General del Estado;TOTAL (Miles de euros);2015;138.791
Administración General del Estado;TOTAL (Miles de euros);2014;127.994
Administración General del Estado;TOTAL (Miles de euros);2013;152.123
Administración General del Estado;TOTAL (Miles de euros);2012;171.339
Administración General del Estado;TOTAL (Miles de euros);2011;151.972
Administración General del Estado;TOTAL (Miles de euros);2010;170.230
Administración General del Estado;En % del gasto liquidado total;2023;0,07
Administración General del Estado;En % del gasto liquidado total;2022;0,05
Administración General del Estado;En % del gasto liquidado total;2021;0,06
Administración General del Estado;En % del gasto liquidado total;2020;0,05
Administración General del Estado;En % del gasto liquidado total;2019;0,07
Administración General del Estado;En % del gasto liquidado total;2018;0,06
Administración General del Estado;En % del gasto liquidado total;2017;0,05
Administración General del Estado;En % del gasto liquidado total;2016;0,05
Administración General del Estado;En % del gasto liquidado total;2015;0,05
Administración General del Estado;En % del gasto liquidado total;2014;0,05
Administración General del Estado;En % del gasto liquidado total;2013;0,05
Administración General del Estado;En % del gasto liquidado total;2012;0,06
Administración General del Estado;En % del gasto liquidado total;2011;0,07
Administración General del Estado;En % del gasto liquidado total;2010;0,07
Administración General del Estado;En % del P.I.B.;2023;0,02
Administración General del Estado;En % del P.I.B.;2022;0,02
Administración General del Estado;En % del P.I.B.;2021;0,02
Administración General del Estado;En % del P.I.B.;2020;0,02
Administración General del Estado;En % del P.I.B.;2019;0,01
Administración General del Estado;En % del P.I.B.;2018;0,01
Administración General del Estado;En % del P.I.B.;2017;0,01
Administración General del Estado;En % del P.I.B.;2016;0,01
Administración General del Estado;En % del P.I.B.;2015;0,01
Administración General del Estado;En % del P.I.B.;2014;0,01
Administración General del Estado;En % del P.I.B.;2013;0,01
Administración General del Estado;En % del P.I.B.;2012;0,02
Administración General del Estado;En % del P.I.B.;2011;0,01
Administración General del Estado;En % del P.I.B.;2010;0,02
Administración General del Estado;Valores medios por habitante (Euros);2023;5,8
Administración General del Estado;Valores medios por habitante (Euros);2022;6,2
Administración General del Estado;Valores medios por habitante (Euros);2021;5,0
Administración General del Estado;Valores medios por habitante (Euros);2020;3,8
Administración General del Estado;Valores medios por habitante (Euros);2019;3,8
Administración General del Estado;Valores medios por habitante (Euros);2018;3,7
Administración General del Estado;Valores medios por habitante (Euros);2017;3,1
Administración General del Estado;Valores medios por habitante (Euros);2016;3,1
Administración General del Estado;Valores medios por habitante (Euros);2015;3,0
Administración General del Estado;Valores medios por habitante (Euros);2014;2,8
Administración General del Estado;Valores medios por habitante (Euros);2013;3,3
Administración General del Estado;Valores medios por habitante (Euros);2012;3,7
Administración General del Estado;Valores medios por habitante (Euros);2011;3,3
Administración General del Estado;Valores medios por habitante (Euros);2010;3,7
Administración Autonómica;TOTAL (Miles de euros);2023;492.205
Administración Autonómica;TOTAL (Miles de euros);2022;436.202
Administración Autonómica;TOTAL (Miles de euros);2021;435.017
Administración Autonómica;TOTAL (Miles de euros);2020;370.228
Administración Autonómica;TOTAL (Miles de euros);2019;352.522
Administración Autonómica;TOTAL (Miles de euros);2018;347.676
Administración Autonómica;TOTAL (Miles de euros);2017;342.584
Administración Autonómica;TOTAL (Miles de euros);2016;303.420
Administración Autonómica;TOTAL (Miles de euros);2015;299.232
Administración Autonómica;TOTAL (Miles de euros);2014;308.993
Administración Autonómica;TOTAL (Miles de euros);2013;336.558
Administración Autonómica;TOTAL (Miles de euros);2012;362.341
Administración Autonómica;TOTAL (Miles de euros);2011;579.246
Administración Autonómica;TOTAL (Miles de euros);2010;558.684
Administración Autonómica;En % del gasto liquidado total;2023;0,18
Administración Autonómica;En % del gasto liquidado total;2022;0,17
Administración Autonómica;En % del gasto liquidado total;2021;0,17
Administración Autonómica;En % del gasto liquidado total;2020;0,15
Administración Autonómica;En % del gasto liquidado total;2019;0,17
Administración Autonómica;En % del gasto liquidado total;2018;0,17
Administración Autonómica;En % del gasto liquidado total;2017;0,18
Administración Autonómica;En % del gasto liquidado total;2016;0,17
Administración Autonómica;En % del gasto liquidado total;2015;0,16
Administración Autonómica;En % del gasto liquidado total;2014;0,17
Administración Autonómica;En % del gasto liquidado total;2013;0,19
Administración Autonómica;En % del gasto liquidado total;2012;0,20
Administración Autonómica;En % del gasto liquidado total;2011;0,33
Administración Autonómica;En % del gasto liquidado total;2010;0,31
Administración Autonómica;En % del P.I.B.;2023;0,03
Administración Autonómica;En % del P.I.B.;2022;0,03
Administración Autonómica;En % del P.I.B.;2021;0,04
Administración Autonómica;En % del P.I.B.;2020;0,03
Administración Autonómica;En % del P.I.B.;2019;0,03
Administración Autonómica;En % del P.I.B.;2018;0,03
Administración Autonómica;En % del P.I.B.;2017;0,03
Administración Autonómica;En % del P.I.B.;2016;0,03
Administración Autonómica;En % del P.I.B.;2015;0,03
Administración Autonómica;En % del P.I.B.;2014;0,03
Administración Autonómica;En % del P.I.B.;2013;0,03
Administración Autonómica;En % del P.I.B.;2012;0,03
Administración Autonómica;En % del P.I.B.;2011;0,05
Administración Autonómica;En % del P.I.B.;2010;0,05
Administración Autonómica;Valores medios por habitante (Euros);2023;10,2
Administración Autonómica;Valores medios por habitante (Euros);2022;9,2
Administración Autonómica;Valores medios por habitante (Euros);2021;9,2
Administración Autonómica;Valores medios por habitante (Euros);2020;7,8
Administración Autonómica;Valores medios por habitante (Euros);2019;7,5
Administración Autonómica;Valores medios por habitante (Euros);2018;7,4
Administración Autonómica;Valores medios por habitante (Euros);2017;7,4
Administración Autonómica;Valores medios por habitante (Euros);2016;6,5
Administración Autonómica;Valores medios por habitante (Euros);2015;6,4
Administración Autonómica;Valores medios por habitante (Euros);2014;6,6
Administración Autonómica;Valores medios por habitante (Euros);2013;7,2
Administración Autonómica;Valores medios por habitante (Euros);2012;7,7
Administración Autonómica;Valores medios por habitante (Euros);2011;12,4
Administración Autonómica;Valores medios por habitante (Euros);2010;12,0
Administración Local: Total;TOTAL (Miles de euros);2023;3.314.891
Administración Local: Total;TOTAL (Miles de euros);2022;2.988.033
Administración Local: Total;TOTAL (Miles de euros);2021;2.529.598
Administración Local: Total;TOTAL (Miles de euros);2020;2.268.558
Administración Local: Total;TOTAL (Miles de euros);2019;2.523.821
Administración Local: Total;TOTAL (Miles de euros);2018;2.340.017
Administración Local: Total;TOTAL (Miles de euros);2017;2.150.485
Administración Local: Total;TOTAL (Miles de euros);2016;2.075.014
Administración Local: Total;TOTAL (Miles de euros);2015;2.115.192
Administración Local: Total;TOTAL (Miles de euros);2014;1.963.878
Administración Local: Total;TOTAL (Miles de euros);2013;1.902.621
Administración Local: Total;TOTAL (Miles de euros);2012;2.046.966
Administración Local: Total;TOTAL (Miles de euros);2011;2.501.451
Administración Local: Total;TOTAL (Miles de euros);2010;3.057.293
Administración Local: Total;En % del gasto liquidado total;2023;3,58
Administración Local: Total;En % del gasto liquidado total;2022;3,49
Administración Local: Total;En % del gasto liquidado total;2021;3,19
Administración Local: Total;En % del gasto liquidado total;2020;3,13
Administración Local: Total;En % del gasto liquidado total;2019;3,30
Administración Local: Total;En % del gasto liquidado total;2018;3,23
Administración Local: Total;En % del gasto liquidado total;2017;3,08
Administración Local: Total;En % del gasto liquidado total;2016;3,09
Administración Local: Total;En % del gasto liquidado total;2015;3,11
Administración Local: Total;En % del gasto liquidado total;2014;2,87
Administración Local: Total;En % del gasto liquidado total;2013;3,01
Administración Local: Total;En % del gasto liquidado total;2012;3,14
Administración Local: Total;En % del gasto liquidado total;2011;3,59
Administración Local: Total;En % del gasto liquidado total;2010;4,00
Administración Local: Total;En % del P.I.B.;2023;0,22
Administración Local: Total;En % del P.I.B.;2022;0,22
Administración Local: Total;En % del P.I.B.;2021;0,21
Administración Local: Total;En % del P.I.B.;2020;0,20
Administración Local: Total;En % del P.I.B.;2019;0,20
Administración Local: Total;En % del P.I.B.;2018;0,19
Administración Local: Total;En % del P.I.B.;2017;0,19
Administración Local: Total;En % del P.I.B.;2016;0,19
Administración Local: Total;En % del P.I.B.;2015;0,20
Administración Local: Total;En % del P.I.B.;2014;0,19
Administración Local: Total;En % del P.I.B.;2013;0,19
Administración Local: Total;En % del P.I.B.;2012;0,20
Administración Local: Total;En % del P.I.B.;2011;0,23
Administración Local: Total;En % del P.I.B.;2010;0,28
Administración Local: Total;Valores medios por habitante (Euros);2023;68,9
Administración Local: Total;Valores medios por habitante (Euros);2022;62,9
Administración Local: Total;Valores medios por habitante (Euros);2021;53,4
Administración Local: Total;Valores medios por habitante (Euros);2020;47,9
Administración Local: Total;Valores medios por habitante (Euros);2019;53,8
Administración Local: Total;Valores medios por habitante (Euros);2018;50,1
Administración Local: Total;Valores medios por habitante (Euros);2017;46,2
