Destino del gasto;Indicador;Naturaleza económica del gasto;periodo;Total
TOTAL;Valores absolutos (Miles de euros);TOTAL;2023;278.078
TOTAL;Valores absolutos (Miles de euros);TOTAL;2022;292.188
TOTAL;Valores absolutos (Miles de euros);TOTAL;2021;235.424
TOTAL;Valores absolutos (Miles de euros);TOTAL;2020;181.828
TOTAL;Valores absolutos (Miles de euros);TOTAL;2019;178.109
TOTAL;Valores absolutos (Miles de euros);TOTAL;2018;174.817
TOTAL;Valores absolutos (Miles de euros);TOTAL;2017;143.326
TOTAL;Valores absolutos (Miles de euros);TOTAL;2016;143.587
TOTAL;Valores absolutos (Miles de euros);TOTAL;2015;138.791
TOTAL;Valores absolutos (Miles de euros);TOTAL;2014;127.994
TOTAL;Valores absolutos (Miles de euros);TOTAL;2013;152.123
TOTAL;Valores absolutos (Miles de euros);TOTAL;2012;171.339
TOTAL;Valores absolutos (Miles de euros);TOTAL;2011;151.972
TOTAL;Valores absolutos (Miles de euros);TOTAL;2010;170.230
TOTAL;Valores absolutos (Miles de euros);1. GASTOS CORRIENTES;2023;226.586
TOTAL;Valores absolutos (Miles de euros);1. GASTOS CORRIENTES;2022;207.368
TOTAL;Valores absolutos (Miles de euros);1. GASTOS CORRIENTES;2021;175.037
TOTAL;Valores absolutos (Miles de euros);1. GASTOS CORRIENTES;2020;176.680
TOTAL;Valores absolutos (Miles de euros);1. GASTOS CORRIENTES;2019;169.618
TOTAL;Valores absolutos (Miles de euros);1. GASTOS CORRIENTES;2018;151.559
TOTAL;Valores absolutos (Miles de euros);1. GASTOS CORRIENTES;2017;134.427
TOTAL;Valores absolutos (Miles de euros);1. GASTOS CORRIENTES;2016;138.368
TOTAL;Valores absolutos (Miles de euros);1. GASTOS CORRIENTES;2015;129.900
TOTAL;Valores absolutos (Miles de euros);1. GASTOS CORRIENTES;2014;122.870
TOTAL;Valores absolutos (Miles de euros);1. GASTOS CORRIENTES;2013;140.395
TOTAL;Valores absolutos (Miles de euros);1. GASTOS CORRIENTES;2012;152.879
TOTAL;Valores absolutos (Miles de euros);1. GASTOS CORRIENTES;2011;119.843
TOTAL;Valores absolutos (Miles de euros);1. GASTOS CORRIENTES;2010;129.558
TOTAL;Valores absolutos (Miles de euros);1.1. Gastos de personal;2023;11.905
TOTAL;Valores absolutos (Miles de euros);1.1. Gastos de personal;2022;13.036
TOTAL;Valores absolutos (Miles de euros);1.1. Gastos de personal;2021;12.888
TOTAL;Valores absolutos (Miles de euros);1.1. Gastos de personal;2020;12.726
TOTAL;Valores absolutos (Miles de euros);1.1. Gastos de personal;2019;13.068
TOTAL;Valores absolutos (Miles de euros);1.1. Gastos de personal;2018;13.159
TOTAL;Valores absolutos (Miles de euros);1.1. Gastos de personal;2017;13.004
TOTAL;Valores absolutos (Miles de euros);1.1. Gastos de personal;2016;13.408
TOTAL;Valores absolutos (Miles de euros);1.1. Gastos de personal;2015;13.605
TOTAL;Valores absolutos (Miles de euros);1.1. Gastos de personal;2014;13.619
TOTAL;Valores absolutos (Miles de euros);1.1. Gastos de personal;2013;13.913
TOTAL;Valores absolutos (Miles de euros);1.1. Gastos de personal;2012;13.561
TOTAL;Valores absolutos (Miles de euros);1.1. Gastos de personal;2011;14.753
TOTAL;Valores absolutos (Miles de euros);1.1. Gastos de personal;2010;15.400
TOTAL;Valores absolutos (Miles de euros);1.2. Gastos corrientes en bienes y servicios;2023;26.083
TOTAL;Valores absolutos (Miles de euros);1.2. Gastos corrientes en bienes y servicios;2022;18.307
TOTAL;Valores absolutos (Miles de euros);1.2. Gastos corrientes en bienes y servicios;2021;14.154
TOTAL;Valores absolutos (Miles de euros);1.2. Gastos corrientes en bienes y servicios;2020;14.514
TOTAL;Valores absolutos (Miles de euros);1.2. Gastos corrientes en bienes y servicios;2019;14.984
TOTAL;Valores absolutos (Miles de euros);1.2. Gastos corrientes en bienes y servicios;2018;15.415
TOTAL;Valores absolutos (Miles de euros);1.2. Gastos corrientes en bienes y servicios;2017;15.585
TOTAL;Valores absolutos (Miles de euros);1.2. Gastos corrientes en bienes y servicios;2016;14.499
TOTAL;Valores absolutos (Miles de euros);1.2. Gastos corrientes en bienes y servicios;2015;13.857
TOTAL;Valores absolutos (Miles de euros);1.2. Gastos corrientes en bienes y servicios;2014;14.390
TOTAL;Valores absolutos (Miles de euros);1.2. Gastos corrientes en bienes y servicios;2013;13.576
TOTAL;Valores absolutos (Miles de euros);1.2. Gastos corrientes en bienes y servicios;2012;15.938
TOTAL;Valores absolutos (Miles de euros);1.2. Gastos corrientes en bienes y servicios;2011;19.612
TOTAL;Valores absolutos (Miles de euros);1.2. Gastos corrientes en bienes y servicios;2010;20.454
TOTAL;Valores absolutos (Miles de euros);1.3. Gastos financieros;2023;0
TOTAL;Valores absolutos (Miles de euros);1.3. Gastos financieros;2022;1
TOTAL;Valores absolutos (Miles de euros);1.3. Gastos financieros;2021;5
TOTAL;Valores absolutos (Miles de euros);1.3. Gastos financieros;2020;0
TOTAL;Valores absolutos (Miles de euros);1.3. Gastos financieros;2019;0
TOTAL;Valores absolutos (Miles de euros);1.3. Gastos financieros;2018;7
TOTAL;Valores absolutos (Miles de euros);1.3. Gastos financieros;2017;0
TOTAL;Valores absolutos (Miles de euros);1.3. Gastos financieros;2016;0
TOTAL;Valores absolutos (Miles de euros);1.3. Gastos financieros;2015;8
TOTAL;Valores absolutos (Miles de euros);1.3. Gastos financieros;2014;10
TOTAL;Valores absolutos (Miles de euros);1.3. Gastos financieros;2013;1
TOTAL;Valores absolutos (Miles de euros);1.3. Gastos financieros;2012;0
TOTAL;Valores absolutos (Miles de euros);1.3. Gastos financieros;2011;0
TOTAL;Valores absolutos (Miles de euros);1.3. Gastos financieros;2010;0
TOTAL;Valores absolutos (Miles de euros);1.4. Transferencias corrientes;2023;188.598
TOTAL;Valores absolutos (Miles de euros);1.4. Transferencias corrientes;2022;176.024
TOTAL;Valores absolutos (Miles de euros);1.4. Transferencias corrientes;2021;147.990
TOTAL;Valores absolutos (Miles de euros);1.4. Transferencias corrientes;2020;149.440
TOTAL;Valores absolutos (Miles de euros);1.4. Transferencias corrientes;2019;141.566
TOTAL;Valores absolutos (Miles de euros);1.4. Transferencias corrientes;2018;122.978
TOTAL;Valores absolutos (Miles de euros);1.4. Transferencias corrientes;2017;105.838
