Organismos;Indicador;Naturaleza económica del gasto;periodo;Total
TOTAL;Valores absolutos;TOTAL (Miles de euros);2023;278.078,0
TOTAL;Valores absolutos;TOTAL (Miles de euros);2022;292.188,0
TOTAL;Valores absolutos;TOTAL (Miles de euros);2021;235.424,0
TOTAL;Valores absolutos;TOTAL (Miles de euros);2020;181.828,0
TOTAL;Valores absolutos;TOTAL (Miles de euros);2019;178.109,0
TOTAL;Valores absolutos;TOTAL (Miles de euros);2018;174.817,0
TOTAL;Valores absolutos;GASTOS CORRIENTES;2023;226.586,0
TOTAL;Valores absolutos;GASTOS CORRIENTES;2022;207.368,0
TOTAL;Valores absolutos;GASTOS CORRIENTES;2021;175.037,0
TOTAL;Valores absolutos;GASTOS CORRIENTES;2020;176.680,0
TOTAL;Valores absolutos;GASTOS CORRIENTES;2019;169.618,0
TOTAL;Valores absolutos;GASTOS CORRIENTES;2018;151.559,0
TOTAL;Valores absolutos;Gastos de personal;2023;11.905,0
TOTAL;Valores absolutos;Gastos de personal;2022;13.036,0
TOTAL;Valores absolutos;Gastos de personal;2021;12.888,0
TOTAL;Valores absolutos;Gastos de personal;2020;12.726,0
TOTAL;Valores absolutos;Gastos de personal;2019;13.068,0
TOTAL;Valores absolutos;Gastos de personal;2018;13.159,0
TOTAL;Valores absolutos;Gastos corrientes en bienes y servicios;2023;26.083,0
TOTAL;Valores absolutos;Gastos corrientes en bienes y servicios;2022;18.307,0
TOTAL;Valores absolutos;Gastos corrientes en bienes y servicios;2021;14.154,0
TOTAL;Valores absolutos;Gastos corrientes en bienes y servicios;2020;14.514,0
TOTAL;Valores absolutos;Gastos corrientes en bienes y servicios;2019;14.984,0
TOTAL;Valores absolutos;Gastos corrientes en bienes y servicios;2018;15.415,0
TOTAL;Valores absolutos;Gastos financieros;2023;0,0
TOTAL;Valores absolutos;Gastos financieros;2022;1,0
TOTAL;Valores absolutos;Gastos financieros;2021;5,0
TOTAL;Valores absolutos;Gastos financieros;2020;0,0
TOTAL;Valores absolutos;Gastos financieros;2019;0,0
TOTAL;Valores absolutos;Gastos financieros;2018;7,0
TOTAL;Valores absolutos;Transferencias corrientes;2023;188.598,0
TOTAL;Valores absolutos;Transferencias corrientes;2022;176.024,0
