Naturaleza económica del Gasto;periodo;Total
TOTAL;2023;492.205
TOTAL;2022;436.202
TOTAL;2021;435.017
TOTAL;2020;370.228
TOTAL;2019;352.522
TOTAL;2018;347.676
TOTAL;2017;342.584
TOTAL;2016;303.420
TOTAL;2015;299.232
TOTAL;2014;308.993
TOTAL;2013;336.558
TOTAL;2012;362.341
TOTAL;2011;579.246
C.I Gastos de personal;2023;83.626
C.I Gastos de personal;2022;79.437
C.I Gastos de personal;2021;72.099
C.I Gastos de personal;2020;70.584
C.I Gastos de personal;2019;70.432
C.I Gastos de personal;2018;69.129
C.I Gastos de personal;2017;53.196
C.I Gastos de personal;2016;67.168
C.I Gastos de personal;2015;68.060
C.I Gastos de personal;2014;67.171
C.I Gastos de personal;2013;68.285
C.I Gastos de personal;2012;66.013
C.I Gastos de personal;2011;70.945
C.II Gastos corrientes en bienes y servicios;2023;74.766
C.II Gastos corrientes en bienes y servicios;2022;68.427
C.II Gastos corrientes en bienes y servicios;2021;57.626
C.II Gastos corrientes en bienes y servicios;2020;51.132
C.II Gastos corrientes en bienes y servicios;2019;54.401
C.II Gastos corrientes en bienes y servicios;2018;55.045
C.II Gastos corrientes en bienes y servicios;2017;42.456
C.II Gastos corrientes en bienes y servicios;2016;48.272
C.II Gastos corrientes en bienes y servicios;2015;47.385
C.II Gastos corrientes en bienes y servicios;2014;49.173
C.II Gastos corrientes en bienes y servicios;2013;51.893
C.II Gastos corrientes en bienes y servicios;2012;52.962
C.II Gastos corrientes en bienes y servicios;2011;53.826
C.III Gastos financieros;2023;385
C.III Gastos financieros;2022;470
C.III Gastos financieros;2021;92
C.III Gastos financieros;2020;106
C.III Gastos financieros;2019;681
C.III Gastos financieros;2018;515
C.III Gastos financieros;2017;2.308
C.III Gastos financieros;2016;271
C.III Gastos financieros;2015;60
C.III Gastos financieros;2014;105
C.III Gastos financieros;2013;15
C.III Gastos financieros;2012;5
C.III Gastos financieros;2011;49
C.IV Transferencias corrientes;2023;214.530
C.IV Transferencias corrientes;2022;188.410
C.IV Transferencias corrientes;2021;190.865
C.IV Transferencias corrientes;2020;166.600
C.IV Transferencias corrientes;2019;140.069
C.IV Transferencias corrientes;2018;126.902
C.IV Transferencias corrientes;2017;131.147
C.IV Transferencias corrientes;2016;109.473
C.IV Transferencias corrientes;2015;109.006
C.IV Transferencias corrientes;2014;103.593
C.IV Transferencias corrientes;2013;105.772
C.IV Transferencias corrientes;2012;117.307
C.IV Transferencias corrientes;2011;168.923
C.VI Inversiones reales;2023;43.910
C.VI Inversiones reales;2022;47.737
C.VI Inversiones reales;2021;33.068
C.VI Inversiones reales;2020;30.943
C.VI Inversiones reales;2019;21.483
C.VI Inversiones reales;2018;26.204
C.VI Inversiones reales;2017;20.595
C.VI Inversiones reales;2016;23.102
C.VI Inversiones reales;2015;20.826
C.VI Inversiones reales;2014;24.782
C.VI Inversiones reales;2013;22.877
C.VI Inversiones reales;2012;30.987
C.VI Inversiones reales;2011;74.389
C.VII Transferencias de capital;2023;58.692
C.VII Transferencias de capital;2022;50.659
C.VII Transferencias de capital;2021;67.366
C.VII Transferencias de capital;2020;39.969
C.VII Transferencias de capital;2019;64.044
C.VII Transferencias de capital;2018;65.900
C.VII Transferencias de capital;2017;75.107
C.VII Transferencias de capital;2016;49.299
C.VII Transferencias de capital;2015;46.257
C.VII Transferencias de capital;2014;49.698
C.VII Transferencias de capital;2013;69.217
C.VII Transferencias de capital;2012;57.518
C.VII Transferencias de capital;2011;193.907
C.VIII y C.IX Activos y pasivos financieros;2023;16.295
C.VIII y C.IX Activos y pasivos financieros;2022;1.061
C.VIII y C.IX Activos y pasivos financieros;2021;13.901
C.VIII y C.IX Activos y pasivos financieros;2020;10.895
C.VIII y C.IX Activos y pasivos financieros;2019;1.412
C.VIII y C.IX Activos y pasivos financieros;2018;3.981
C.VIII y C.IX Activos y pasivos financieros;2017;17.775
C.VIII y C.IX Activos y pasivos financieros;2016;5.834
C.VIII y C.IX Activos y pasivos financieros;2015;7.638
C.VIII y C.IX Activos y pasivos financieros;2014;14.471
C.VIII y C.IX Activos y pasivos financieros;2013;18.500
C.VIII y C.IX Activos y pasivos financieros;2012;37.548
C.VIII y C.IX Activos y pasivos financieros;2011;17.207
