Comunidad autónoma;periodo;Total
TOTAL;2023;492.205
TOTAL;2022;436.202
TOTAL;2021;435.017
TOTAL;2020;370.228
TOTAL;2019;352.522
TOTAL;2018;347.676
TOTAL;2017;342.584
TOTAL;2016;303.420
TOTAL;2015;299.232
TOTAL;2014;308.993
TOTAL;2013;336.558
TOTAL;2012;362.341
Andalucía;2023;52.309
Andalucía;2022;46.213
Andalucía;2021;81.593
Andalucía;2020;47.291
Andalucía;2019;38.425
Andalucía;2018;36.802
Andalucía;2017;39.957
Andalucía;2016;31.839
Andalucía;2015;34.932
Andalucía;2014;30.024
Andalucía;2013;43.950
Andalucía;2012;35.306
Aragón;2023;9.207
Aragón;2022;7.097
Aragón;2021;7.325
Aragón;2020;6.579
Aragón;2019;9.849
Aragón;2018;10.226
Aragón;2017;8.535
Aragón;2016;5.089
Aragón;2015;6.443
Aragón;2014;6.424
Aragón;2013;7.132
Aragón;2012;10.335
Asturias, Principado de;2023;14.314
Asturias, Principado de;2022;23.009
Asturias, Principado de;2021;15.034
Asturias, Principado de;2020;12.088
Asturias, Principado de;2019;11.964
Asturias, Principado de;2018;11.529
Asturias, Principado de;2017;11.475
Asturias, Principado de;2016;11.246
Asturias, Principado de;2015;11.441
Asturias, Principado de;2014;13.385
Asturias, Principado de;2013;11.906
Asturias, Principado de;2012;13.623
Balears, Illes;2023;22.570
Balears, Illes;2022;23.135
Balears, Illes;2021;18.113
Balears, Illes;2020;16.466
Balears, Illes;2019;19.966
Balears, Illes;2018;24.971
Balears, Illes;2017;26.912
Balears, Illes;2016;20.122
Balears, Illes;2015;19.126
Balears, Illes;2014;18.366
Balears, Illes;2013;17.813
Balears, Illes;2012;17.146
Canarias;2023;24.951
Canarias;2022;19.332
Canarias;2021;12.098
Canarias;2020;11.923
Canarias;2019;13.566
Canarias;2018;12.125
Canarias;2017;8.799
Canarias;2016;7.123
Canarias;2015;5.126
Canarias;2014;4.191
Canarias;2013;9.991
Canarias;2012;8.094
Cantabria;2023;8.492
Cantabria;2022;8.311
Cantabria;2021;6.972
Cantabria;2020;6.789
Cantabria;2019;7.931
Cantabria;2018;7.546
Cantabria;2017;7.627
Cantabria;2016;6.612
Cantabria;2015;6.257
Cantabria;2014;4.599
Cantabria;2013;6.933
Cantabria;2012;10.681
Castilla y León;2023;16.673
Castilla y León;2022;16.471
Castilla y León;2021;14.721
Castilla y León;2020;12.397
Castilla y León;2019;14.665
Castilla y León;2018;14.407
Castilla y León;2017;14.066
Castilla y León;2016;13.059
Castilla y León;2015;12.362
Castilla y León;2014;12.092
Castilla y León;2013;12.196
Castilla y León;2012;14.502
Castilla-La Mancha;2023;14.078
Castilla-La Mancha;2022;11.942
Castilla-La Mancha;2021;12.421
Castilla-La Mancha;2020;8.631
Castilla-La Mancha;2019;6.617
Castilla-La Mancha;2018;7.326
Castilla-La Mancha;2017;7.392
Castilla-La Mancha;2016;5.352
Castilla-La Mancha;2015;6.974
Castilla-La Mancha;2014;6.307
Castilla-La Mancha;2013;6.159
Castilla-La Mancha;2012;5.294
Cataluña;2023;93.902
Cataluña;2022;84.444
Cataluña;2021;83.185
Cataluña;2020;80.552
Cataluña;2019;65.526
Cataluña;2018;64.317
Cataluña;2017;59.761
Cataluña;2016;67.636
Cataluña;2015;56.157
Cataluña;2014;53.624
Cataluña;2013;61.214
Cataluña;2012;64.083
Comunitat Valenciana;2023;42.402
Comunitat Valenciana;2022;32.553
Comunitat Valenciana;2021;31.167
Comunitat Valenciana;2020;35.577
Comunitat Valenciana;2019;24.000
Comunitat Valenciana;2018;21.747
Comunitat Valenciana;2017;34.640
Comunitat Valenciana;2016;17.931
Comunitat Valenciana;2015;26.243
Comunitat Valenciana;2014;33.456
Comunitat Valenciana;2013;9.051
Comunitat Valenciana;2012;28.112
Extremadura;2023;22.325
