Valores absolutos y porcentaje;Tipo de entidad;Naturaleza económica del gasto;periodo;Total
Valores absolutos;ENTIDADES LOCALES;TOTAL (Miles de euros);2023;3.314.891
Valores absolutos;ENTIDADES LOCALES;TOTAL (Miles de euros);2022;2.988.033
Valores absolutos;ENTIDADES LOCALES;TOTAL (Miles de euros);2021;2.529.598
Valores absolutos;ENTIDADES LOCALES;TOTAL (Miles de euros);2020;2.268.558
Valores absolutos;ENTIDADES LOCALES;TOTAL (Miles de euros);2019;2.523.821
Valores absolutos;ENTIDADES LOCALES;TOTAL (Miles de euros);2018;2.340.017
Valores absolutos;ENTIDADES LOCALES;TOTAL (Miles de euros);2017;2.150.485
Valores absolutos;ENTIDADES LOCALES;TOTAL (Miles de euros);2016;2.075.014
Valores absolutos;ENTIDADES LOCALES;TOTAL (Miles de euros);2015;2.115.192
Valores absolutos;ENTIDADES LOCALES;TOTAL (Miles de euros);2014;1.963.878
Valores absolutos;ENTIDADES LOCALES;TOTAL (Miles de euros);2013;1.902.621
Valores absolutos;ENTIDADES LOCALES;TOTAL (Miles de euros);2012;2.046.966
Valores absolutos;ENTIDADES LOCALES;TOTAL (Miles de euros);2011;2.501.451
Valores absolutos;ENTIDADES LOCALES;TOTAL (Miles de euros);2010;3.057.293
Valores absolutos;ENTIDADES LOCALES;GASTOS CORRIENTES;2023;2.476.192
Valores absolutos;ENTIDADES LOCALES;GASTOS CORRIENTES;2022;2.267.410
Valores absolutos;ENTIDADES LOCALES;GASTOS CORRIENTES;2021;1.978.655
Valores absolutos;ENTIDADES LOCALES;GASTOS CORRIENTES;2020;1.804.171
Valores absolutos;ENTIDADES LOCALES;GASTOS CORRIENTES;2019;1.963.945
Valores absolutos;ENTIDADES LOCALES;GASTOS CORRIENTES;2018;1.894.039
Valores absolutos;ENTIDADES LOCALES;GASTOS CORRIENTES;2017;1.809.757
Valores absolutos;ENTIDADES LOCALES;GASTOS CORRIENTES;2016;1.767.506
Valores absolutos;ENTIDADES LOCALES;GASTOS CORRIENTES;2015;1.727.053
Valores absolutos;ENTIDADES LOCALES;GASTOS CORRIENTES;2014;..
Valores absolutos;ENTIDADES LOCALES;GASTOS CORRIENTES;2013;..
Valores absolutos;ENTIDADES LOCALES;GASTOS CORRIENTES;2012;1.653.432
Valores absolutos;ENTIDADES LOCALES;GASTOS CORRIENTES;2011;1.775.833
Valores absolutos;ENTIDADES LOCALES;GASTOS CORRIENTES;2010;1.822.911
Valores absolutos;ENTIDADES LOCALES;Gastos de personal;2023;820.188
Valores absolutos;ENTIDADES LOCALES;Gastos de personal;2022;776.934
Valores absolutos;ENTIDADES LOCALES;Gastos de personal;2021;737.302
Valores absolutos;ENTIDADES LOCALES;Gastos de personal;2020;707.571
Valores absolutos;ENTIDADES LOCALES;Gastos de personal;2019;709.554
Valores absolutos;ENTIDADES LOCALES;Gastos de personal;2018;684.536
Valores absolutos;ENTIDADES LOCALES;Gastos de personal;2017;671.148
Valores absolutos;ENTIDADES LOCALES;Gastos de personal;2016;663.802
Valores absolutos;ENTIDADES LOCALES;Gastos de personal;2015;607.274
Valores absolutos;ENTIDADES LOCALES;Gastos de personal;2014;..
Valores absolutos;ENTIDADES LOCALES;Gastos de personal;2013;..
Valores absolutos;ENTIDADES LOCALES;Gastos de personal;2012;583.273
Valores absolutos;ENTIDADES LOCALES;Gastos de personal;2011;647.759
Valores absolutos;ENTIDADES LOCALES;Gastos de personal;2010;657.725
Valores absolutos;ENTIDADES LOCALES;Gastos corrientes en bienes y servicios;2023;1.204.709
Valores absolutos;ENTIDADES LOCALES;Gastos corrientes en bienes y servicios;2022;1.063.496
Valores absolutos;ENTIDADES LOCALES;Gastos corrientes en bienes y servicios;2021;860.759
Valores absolutos;ENTIDADES LOCALES;Gastos corrientes en bienes y servicios;2020;761.182
Valores absolutos;ENTIDADES LOCALES;Gastos corrientes en bienes y servicios;2019;911.264
Valores absolutos;ENTIDADES LOCALES;Gastos corrientes en bienes y servicios;2018;867.364
Valores absolutos;ENTIDADES LOCALES;Gastos corrientes en bienes y servicios;2017;827.622
Valores absolutos;ENTIDADES LOCALES;Gastos corrientes en bienes y servicios;2016;793.753
Valores absolutos;ENTIDADES LOCALES;Gastos corrientes en bienes y servicios;2015;791.977
Valores absolutos;ENTIDADES LOCALES;Gastos corrientes en bienes y servicios;2014;..
Valores absolutos;ENTIDADES LOCALES;Gastos corrientes en bienes y servicios;2013;..
Valores absolutos;ENTIDADES LOCALES;Gastos corrientes en bienes y servicios;2012;770.376
Valores absolutos;ENTIDADES LOCALES;Gastos corrientes en bienes y servicios;2011;800.360
Valores absolutos;ENTIDADES LOCALES;Gastos corrientes en bienes y servicios;2010;822.294
Valores absolutos;ENTIDADES LOCALES;Gastos financieros;2023;738
Valores absolutos;ENTIDADES LOCALES;Gastos financieros;2022;622
Valores absolutos;ENTIDADES LOCALES;Gastos financieros;2021;869
Valores absolutos;ENTIDADES LOCALES;Gastos financieros;2020;302
Valores absolutos;ENTIDADES LOCALES;Gastos financieros;2019;525
Valores absolutos;ENTIDADES LOCALES;Gastos financieros;2018;4.725
Valores absolutos;ENTIDADES LOCALES;Gastos financieros;2017;1.436
Valores absolutos;ENTIDADES LOCALES;Gastos financieros;2016;584
Valores absolutos;ENTIDADES LOCALES;Gastos financieros;2015;2.932
Valores absolutos;ENTIDADES LOCALES;Gastos financieros;2014;..
Valores absolutos;ENTIDADES LOCALES;Gastos financieros;2013;..
Valores absolutos;ENTIDADES LOCALES;Gastos financieros;2012;1.769
Valores absolutos;ENTIDADES LOCALES;Gastos financieros;2011;1.516
Valores absolutos;ENTIDADES LOCALES;Gastos financieros;2010;1.158
Valores absolutos;ENTIDADES LOCALES;Transferencias corrientes;2023;450.558
Valores absolutos;ENTIDADES LOCALES;Transferencias corrientes;2022;426.359
Valores absolutos;ENTIDADES LOCALES;Transferencias corrientes;2021;379.725
Valores absolutos;ENTIDADES LOCALES;Transferencias corrientes;2020;335.116
Valores absolutos;ENTIDADES LOCALES;Transferencias corrientes;2019;342.601
Valores absolutos;ENTIDADES LOCALES;Transferencias corrientes;2018;337.414
Valores absolutos;ENTIDADES LOCALES;Transferencias corrientes;2017;309.550
Valores absolutos;ENTIDADES LOCALES;Transferencias corrientes;2016;309.368
Valores absolutos;ENTIDADES LOCALES;Transferencias corrientes;2015;324.870
Valores absolutos;ENTIDADES LOCALES;Transferencias corrientes;2014;..
Valores absolutos;ENTIDADES LOCALES;Transferencias corrientes;2013;..
Valores absolutos;ENTIDADES LOCALES;Transferencias corrientes;2012;298.014
Valores absolutos;ENTIDADES LOCALES;Transferencias corrientes;2011;326.198
Valores absolutos;ENTIDADES LOCALES;Transferencias corrientes;2010;341.734
Valores absolutos;ENTIDADES LOCALES;GASTOS DE CAPITAL;2023;837.918
Valores absolutos;ENTIDADES LOCALES;GASTOS DE CAPITAL;2022;719.888
Valores absolutos;ENTIDADES LOCALES;GASTOS DE CAPITAL;2021;549.810
Valores absolutos;ENTIDADES LOCALES;GASTOS DE CAPITAL;2020;462.187
Valores absolutos;ENTIDADES LOCALES;GASTOS DE CAPITAL;2019;558.263
Valores absolutos;ENTIDADES LOCALES;GASTOS DE CAPITAL;2018;440.042
Valores absolutos;ENTIDADES LOCALES;GASTOS DE CAPITAL;2017;334.637
Valores absolutos;ENTIDADES LOCALES;GASTOS DE CAPITAL;2016;295.044
Valores absolutos;ENTIDADES LOCALES;GASTOS DE CAPITAL;2015;376.220
Valores absolutos;ENTIDADES LOCALES;GASTOS DE CAPITAL;2014;..
Valores absolutos;ENTIDADES LOCALES;GASTOS DE CAPITAL;2013;..
Valores absolutos;ENTIDADES LOCALES;GASTOS DE CAPITAL;2012;383.332
Valores absolutos;ENTIDADES LOCALES;GASTOS DE CAPITAL;2011;719.665
Valores absolutos;ENTIDADES LOCALES;GASTOS DE CAPITAL;2010;1.224.336
Valores absolutos;ENTIDADES LOCALES;Inversiones reales;2023;808.208
Valores absolutos;ENTIDADES LOCALES;Inversiones reales;2022;685.698
Valores absolutos;ENTIDADES LOCALES;Inversiones reales;2021;526.154
Valores absolutos;ENTIDADES LOCALES;Inversiones reales;2020;447.716
Valores absolutos;ENTIDADES LOCALES;Inversiones reales;2019;533.333
Valores absolutos;ENTIDADES LOCALES;Inversiones reales;2018;394.846
Valores absolutos;ENTIDADES LOCALES;Inversiones reales;2017;310.375
Valores absolutos;ENTIDADES LOCALES;Inversiones reales;2016;262.651
Valores absolutos;ENTIDADES LOCALES;Inversiones reales;2015;330.287
Valores absolutos;ENTIDADES LOCALES;Inversiones reales;2014;..
Valores absolutos;ENTIDADES LOCALES;Inversiones reales;2013;..
Valores absolutos;ENTIDADES LOCALES;Inversiones reales;2012;354.512
Valores absolutos;ENTIDADES LOCALES;Inversiones reales;2011;675.829
Valores absolutos;ENTIDADES LOCALES;Inversiones reales;2010;1.172.536
Valores absolutos;ENTIDADES LOCALES;Transferencias de capital;2023;29.709
Valores absolutos;ENTIDADES LOCALES;Transferencias de capital;2022;34.190
Valores absolutos;ENTIDADES LOCALES;Transferencias de capital;2021;23.657
Valores absolutos;ENTIDADES LOCALES;Transferencias de capital;2020;14.471
Valores absolutos;ENTIDADES LOCALES;Transferencias de capital;2019;24.930
Valores absolutos;ENTIDADES LOCALES;Transferencias de capital;2018;45.196
Valores absolutos;ENTIDADES LOCALES;Transferencias de capital;2017;24.262
Valores absolutos;ENTIDADES LOCALES;Transferencias de capital;2016;32.393
Valores absolutos;ENTIDADES LOCALES;Transferencias de capital;2015;45.933
Valores absolutos;ENTIDADES LOCALES;Transferencias de capital;2014;..
Valores absolutos;ENTIDADES LOCALES;Transferencias de capital;2013;..
Valores absolutos;ENTIDADES LOCALES;Transferencias de capital;2012;28.820
Valores absolutos;ENTIDADES LOCALES;Transferencias de capital;2011;43.836
Valores absolutos;ENTIDADES LOCALES;Transferencias de capital;2010;51.801
Valores absolutos;ENTIDADES LOCALES;ACTIVOS Y PASIVOS FINANCIEROS;2023;781
Valores absolutos;ENTIDADES LOCALES;ACTIVOS Y PASIVOS FINANCIEROS;2022;734
Valores absolutos;ENTIDADES LOCALES;ACTIVOS Y PASIVOS FINANCIEROS;2021;1.133
Valores absolutos;ENTIDADES LOCALES;ACTIVOS Y PASIVOS FINANCIEROS;2020;2.200
Valores absolutos;ENTIDADES LOCALES;ACTIVOS Y PASIVOS FINANCIEROS;2019;1.613
Valores absolutos;ENTIDADES LOCALES;ACTIVOS Y PASIVOS FINANCIEROS;2018;5.937
Valores absolutos;ENTIDADES LOCALES;ACTIVOS Y PASIVOS FINANCIEROS;2017;6.091
Valores absolutos;ENTIDADES LOCALES;ACTIVOS Y PASIVOS FINANCIEROS;2016;12.464
Valores absolutos;ENTIDADES LOCALES;ACTIVOS Y PASIVOS FINANCIEROS;2015;11.918
Valores absolutos;ENTIDADES LOCALES;ACTIVOS Y PASIVOS FINANCIEROS;2014;..
Valores absolutos;ENTIDADES LOCALES;ACTIVOS Y PASIVOS FINANCIEROS;2013;..
Valores absolutos;ENTIDADES LOCALES;ACTIVOS Y PASIVOS FINANCIEROS;2012;10.202
Valores absolutos;ENTIDADES LOCALES;ACTIVOS Y PASIVOS FINANCIEROS;2011;5.953
Valores absolutos;ENTIDADES LOCALES;ACTIVOS Y PASIVOS FINANCIEROS;2010;10.045
Valores absolutos;AYUNTAMIENTOS;TOTAL (Miles de euros);2023;3.064.600
Valores absolutos;AYUNTAMIENTOS;TOTAL (Miles de euros);2022;2.760.690
Valores absolutos;AYUNTAMIENTOS;TOTAL (Miles de euros);2021;2.323.902
Valores absolutos;AYUNTAMIENTOS;TOTAL (Miles de euros);2020;2.089.119
Valores absolutos;AYUNTAMIENTOS;TOTAL (Miles de euros);2019;2.336.733
Valores absolutos;AYUNTAMIENTOS;TOTAL (Miles de euros);2018;2.160.883
Valores absolutos;AYUNTAMIENTOS;TOTAL (Miles de euros);2017;1.979.130
Valores absolutos;AYUNTAMIENTOS;TOTAL (Miles de euros);2016;1.914.400
Valores absolutos;AYUNTAMIENTOS;TOTAL (Miles de euros);2015;1.913.614
Valores absolutos;AYUNTAMIENTOS;TOTAL (Miles de euros);2014;..
Valores absolutos;AYUNTAMIENTOS;TOTAL (Miles de euros);2013;..
Valores absolutos;AYUNTAMIENTOS;TOTAL (Miles de euros);2012;1.876.226
Valores absolutos;AYUNTAMIENTOS;TOTAL (Miles de euros);2011;2.305.147
