Tipo de entidad;Comunidad autónoma;periodo;Total
ENTIDADES LOCALES;TOTAL;2023;3.314.891
ENTIDADES LOCALES;TOTAL;2022;2.988.033
ENTIDADES LOCALES;TOTAL;2021;2.529.598
ENTIDADES LOCALES;TOTAL;2020;2.268.558
ENTIDADES LOCALES;TOTAL;2019;2.523.821
ENTIDADES LOCALES;TOTAL;2018;2.340.017
ENTIDADES LOCALES;TOTAL;2017;2.150.485
ENTIDADES LOCALES;TOTAL;2016;2.075.014
ENTIDADES LOCALES;TOTAL;2015;2.115.192
ENTIDADES LOCALES;TOTAL;2014;1.963.878
ENTIDADES LOCALES;TOTAL;2013;1.902.621
ENTIDADES LOCALES;TOTAL;2012;2.046.966
ENTIDADES LOCALES;TOTAL;2011;2.501.451
ENTIDADES LOCALES;TOTAL;2010;3.057.293
ENTIDADES LOCALES;SUBTOTAL (Sin País Vasco y Navarra);2023;2.985.665
ENTIDADES LOCALES;SUBTOTAL (Sin País Vasco y Navarra);2022;2.701.460
ENTIDADES LOCALES;SUBTOTAL (Sin País Vasco y Navarra);2021;2.274.515
ENTIDADES LOCALES;SUBTOTAL (Sin País Vasco y Navarra);2020;2.029.958
ENTIDADES LOCALES;SUBTOTAL (Sin País Vasco y Navarra);2019;2.274.246
ENTIDADES LOCALES;SUBTOTAL (Sin País Vasco y Navarra);2018;2.114.562
ENTIDADES LOCALES;SUBTOTAL (Sin País Vasco y Navarra);2017;1.936.617
ENTIDADES LOCALES;SUBTOTAL (Sin País Vasco y Navarra);2016;1.851.169
ENTIDADES LOCALES;SUBTOTAL (Sin País Vasco y Navarra);2015;1.889.960
ENTIDADES LOCALES;SUBTOTAL (Sin País Vasco y Navarra);2014;1.768.950
ENTIDADES LOCALES;SUBTOTAL (Sin País Vasco y Navarra);2013;1.713.773
ENTIDADES LOCALES;SUBTOTAL (Sin País Vasco y Navarra);2012;1.843.791
ENTIDADES LOCALES;SUBTOTAL (Sin País Vasco y Navarra);2011;..
ENTIDADES LOCALES;SUBTOTAL (Sin País Vasco y Navarra);2010;..
ENTIDADES LOCALES;Andalucía;2023;481.147
ENTIDADES LOCALES;Andalucía;2022;437.009
ENTIDADES LOCALES;Andalucía;2021;370.634
ENTIDADES LOCALES;Andalucía;2020;324.219
ENTIDADES LOCALES;Andalucía;2019;375.622
ENTIDADES LOCALES;Andalucía;2018;342.845
ENTIDADES LOCALES;Andalucía;2017;304.497
ENTIDADES LOCALES;Andalucía;2016;302.977
ENTIDADES LOCALES;Andalucía;2015;306.638
ENTIDADES LOCALES;Andalucía;2014;299.592
ENTIDADES LOCALES;Andalucía;2013;281.802
ENTIDADES LOCALES;Andalucía;2012;312.380
ENTIDADES LOCALES;Andalucía;2011;419.767
ENTIDADES LOCALES;Andalucía;2010;492.283
ENTIDADES LOCALES;Aragón;2023;116.167
ENTIDADES LOCALES;Aragón;2022;115.998
ENTIDADES LOCALES;Aragón;2021;98.330
ENTIDADES LOCALES;Aragón;2020;81.970
ENTIDADES LOCALES;Aragón;2019;85.641
ENTIDADES LOCALES;Aragón;2018;89.410
ENTIDADES LOCALES;Aragón;2017;78.661
ENTIDADES LOCALES;Aragón;2016;78.331
ENTIDADES LOCALES;Aragón;2015;73.320
ENTIDADES LOCALES;Aragón;2014;63.939
ENTIDADES LOCALES;Aragón;2013;66.915
ENTIDADES LOCALES;Aragón;2012;70.358
ENTIDADES LOCALES;Aragón;2011;79.020
ENTIDADES LOCALES;Aragón;2010;103.136
ENTIDADES LOCALES;Asturias, Principado de;2023;68.764
ENTIDADES LOCALES;Asturias, Principado de;2022;58.766
ENTIDADES LOCALES;Asturias, Principado de;2021;47.108
ENTIDADES LOCALES;Asturias, Principado de;2020;48.185
ENTIDADES LOCALES;Asturias, Principado de;2019;50.970
ENTIDADES LOCALES;Asturias, Principado de;2018;46.595
ENTIDADES LOCALES;Asturias, Principado de;2017;45.994
ENTIDADES LOCALES;Asturias, Principado de;2016;47.190
ENTIDADES LOCALES;Asturias, Principado de;2015;49.502
ENTIDADES LOCALES;Asturias, Principado de;2014;46.260
ENTIDADES LOCALES;Asturias, Principado de;2013;42.860
ENTIDADES LOCALES;Asturias, Principado de;2012;45.399
ENTIDADES LOCALES;Asturias, Principado de;2011;58.601
ENTIDADES LOCALES;Asturias, Principado de;2010;76.902
ENTIDADES LOCALES;Balears, Illes;2023;100.671
ENTIDADES LOCALES;Balears, Illes;2022;93.209
ENTIDADES LOCALES;Balears, Illes;2021;76.865
ENTIDADES LOCALES;Balears, Illes;2020;80.563
ENTIDADES LOCALES;Balears, Illes;2019;76.599
ENTIDADES LOCALES;Balears, Illes;2018;73.079
ENTIDADES LOCALES;Balears, Illes;2017;73.692
ENTIDADES LOCALES;Balears, Illes;2016;64.313
ENTIDADES LOCALES;Balears, Illes;2015;61.524
ENTIDADES LOCALES;Balears, Illes;2014;62.104
ENTIDADES LOCALES;Balears, Illes;2013;60.351
ENTIDADES LOCALES;Balears, Illes;2012;67.749
ENTIDADES LOCALES;Balears, Illes;2011;73.559
ENTIDADES LOCALES;Balears, Illes;2010;91.485
ENTIDADES LOCALES;Canarias;2023;199.184
ENTIDADES LOCALES;Canarias;2022;171.997
ENTIDADES LOCALES;Canarias;2021;153.434
ENTIDADES LOCALES;Canarias;2020;127.421
ENTIDADES LOCALES;Canarias;2019;133.257
ENTIDADES LOCALES;Canarias;2018;127.271
ENTIDADES LOCALES;Canarias;2017;118.350
ENTIDADES LOCALES;Canarias;2016;103.368
ENTIDADES LOCALES;Canarias;2015;123.924
ENTIDADES LOCALES;Canarias;2014;117.901
ENTIDADES LOCALES;Canarias;2013;112.404
ENTIDADES LOCALES;Canarias;2012;114.430
ENTIDADES LOCALES;Canarias;2011;122.082
ENTIDADES LOCALES;Canarias;2010;134.083
ENTIDADES LOCALES;Cantabria;2023;54.096
ENTIDADES LOCALES;Cantabria;2022;43.087
ENTIDADES LOCALES;Cantabria;2021;36.882
