Tipo de entidad;Indicador;Comunidad autónoma;periodo;Total
AYUNTAMIENTOS;Valores absolutos (Miles de euros);TOTAL;2023;3.064.600
AYUNTAMIENTOS;Valores absolutos (Miles de euros);TOTAL;2022;2.760.690
AYUNTAMIENTOS;Valores absolutos (Miles de euros);TOTAL;2021;2.323.902
AYUNTAMIENTOS;Valores absolutos (Miles de euros);TOTAL;2020;2.089.119
AYUNTAMIENTOS;Valores absolutos (Miles de euros);TOTAL;2019;2.336.733
AYUNTAMIENTOS;Valores absolutos (Miles de euros);TOTAL;2018;2.160.883
AYUNTAMIENTOS;Valores absolutos (Miles de euros);TOTAL;2017;1.979.130
AYUNTAMIENTOS;Valores absolutos (Miles de euros);TOTAL;2016;1.914.400
AYUNTAMIENTOS;Valores absolutos (Miles de euros);TOTAL;2015;1.913.614
AYUNTAMIENTOS;Valores absolutos (Miles de euros);TOTAL;2014;..
AYUNTAMIENTOS;Valores absolutos (Miles de euros);TOTAL;2013;..
AYUNTAMIENTOS;Valores absolutos (Miles de euros);TOTAL;2012;1.876.226
AYUNTAMIENTOS;Valores absolutos (Miles de euros);TOTAL;2011;2.305.147
AYUNTAMIENTOS;Valores absolutos (Miles de euros);TOTAL;2010;2.843.077
AYUNTAMIENTOS;Valores absolutos (Miles de euros);SUBTOTAL (Sin País Vasco y Navarra);2023;..
AYUNTAMIENTOS;Valores absolutos (Miles de euros);SUBTOTAL (Sin País Vasco y Navarra);2022;..
AYUNTAMIENTOS;Valores absolutos (Miles de euros);SUBTOTAL (Sin País Vasco y Navarra);2021;..
AYUNTAMIENTOS;Valores absolutos (Miles de euros);SUBTOTAL (Sin País Vasco y Navarra);2020;..
AYUNTAMIENTOS;Valores absolutos (Miles de euros);SUBTOTAL (Sin País Vasco y Navarra);2019;..
AYUNTAMIENTOS;Valores absolutos (Miles de euros);SUBTOTAL (Sin País Vasco y Navarra);2018;..
AYUNTAMIENTOS;Valores absolutos (Miles de euros);SUBTOTAL (Sin País Vasco y Navarra);2017;..
