Indicador;Comunidad autónoma;periodo;Total
TOTAL;TOTAL;2023;3.064.600
TOTAL;TOTAL;2022;2.760.690
TOTAL;TOTAL;2021;2.323.902
TOTAL;TOTAL;2020;2.089.119
TOTAL;TOTAL;2019;2.336.733
TOTAL;TOTAL;2018;2.160.883
TOTAL;TOTAL;2017;1.979.130
TOTAL;TOTAL;2016;1.914.400
TOTAL;TOTAL;2015;1.913.614
TOTAL;TOTAL;2014;..
TOTAL;TOTAL;2013;..
TOTAL;TOTAL;2012;1.876.226
TOTAL;TOTAL;2011;2.305.147
TOTAL;TOTAL;2010;2.843.077
TOTAL;SUBTOTAL (Sin País Vasco y Navarra);2023;..
TOTAL;SUBTOTAL (Sin País Vasco y Navarra);2022;..
TOTAL;SUBTOTAL (Sin País Vasco y Navarra);2021;..
TOTAL;SUBTOTAL (Sin País Vasco y Navarra);2020;..
TOTAL;SUBTOTAL (Sin País Vasco y Navarra);2019;..
TOTAL;SUBTOTAL (Sin País Vasco y Navarra);2018;..
TOTAL;SUBTOTAL (Sin País Vasco y Navarra);2017;..
TOTAL;SUBTOTAL (Sin País Vasco y Navarra);2016;..
TOTAL;SUBTOTAL (Sin País Vasco y Navarra);2015;..
TOTAL;SUBTOTAL (Sin País Vasco y Navarra);2014;1.614.971
TOTAL;SUBTOTAL (Sin País Vasco y Navarra);2013;1.569.733
TOTAL;SUBTOTAL (Sin País Vasco y Navarra);2012;..
TOTAL;SUBTOTAL (Sin País Vasco y Navarra);2011;..
TOTAL;SUBTOTAL (Sin País Vasco y Navarra);2010;..
TOTAL;Andalucía;2023;446.460
TOTAL;Andalucía;2022;402.943
TOTAL;Andalucía;2021;337.893
TOTAL;Andalucía;2020;287.707
TOTAL;Andalucía;2019;347.550
TOTAL;Andalucía;2018;321.649
TOTAL;Andalucía;2017;284.560
TOTAL;Andalucía;2016;285.483
TOTAL;Andalucía;2015;286.546
TOTAL;Andalucía;2014;279.879
TOTAL;Andalucía;2013;267.558
TOTAL;Andalucía;2012;299.736
TOTAL;Andalucía;2011;397.920
TOTAL;Andalucía;2010;458.534
TOTAL;Aragón;2023;106.552
TOTAL;Aragón;2022;104.513
TOTAL;Aragón;2021;88.196
TOTAL;Aragón;2020;75.769
TOTAL;Aragón;2019;77.021
TOTAL;Aragón;2018;79.815
TOTAL;Aragón;2017;69.252
TOTAL;Aragón;2016;69.226
TOTAL;Aragón;2015;63.667
TOTAL;Aragón;2014;54.811
TOTAL;Aragón;2013;59.588
TOTAL;Aragón;2012;64.256
TOTAL;Aragón;2011;72.170
TOTAL;Aragón;2010;95.361
TOTAL;Asturias, Principado de;2023;68.717
TOTAL;Asturias, Principado de;2022;58.724
TOTAL;Asturias, Principado de;2021;47.089
TOTAL;Asturias, Principado de;2020;48.157
TOTAL;Asturias, Principado de;2019;50.935
TOTAL;Asturias, Principado de;2018;46.558
TOTAL;Asturias, Principado de;2017;45.987
TOTAL;Asturias, Principado de;2016;47.166
TOTAL;Asturias, Principado de;2015;49.499
TOTAL;Asturias, Principado de;2014;46.257
TOTAL;Asturias, Principado de;2013;42.865
TOTAL;Asturias, Principado de;2012;45.410
TOTAL;Asturias, Principado de;2011;58.616
TOTAL;Asturias, Principado de;2010;76.905
TOTAL;Balears, Illes;2023;80.726
TOTAL;Balears, Illes;2022;76.098
TOTAL;Balears, Illes;2021;62.473
TOTAL;Balears, Illes;2020;64.673
TOTAL;Balears, Illes;2019;63.162
TOTAL;Balears, Illes;2018;61.016
TOTAL;Balears, Illes;2017;61.493
TOTAL;Balears, Illes;2016;53.869
TOTAL;Balears, Illes;2015;49.942
TOTAL;Balears, Illes;2014;51.119
TOTAL;Balears, Illes;2013;50.748
TOTAL;Balears, Illes;2012;58.048
TOTAL;Balears, Illes;2011;61.866
TOTAL;Balears, Illes;2010;77.469
TOTAL;Canarias;2023;123.613
TOTAL;Canarias;2022;104.947
TOTAL;Canarias;2021;91.600
TOTAL;Canarias;2020;83.822
TOTAL;Canarias;2019;87.167
TOTAL;Canarias;2018;79.242
TOTAL;Canarias;2017;71.875
TOTAL;Canarias;2016;65.266
TOTAL;Canarias;2015;61.689
TOTAL;Canarias;2014;57.508
TOTAL;Canarias;2013;52.992
TOTAL;Canarias;2012;62.576
TOTAL;Canarias;2011;77.939
TOTAL;Canarias;2010;87.532
TOTAL;Cantabria;2023;54.083
TOTAL;Cantabria;2022;43.065
TOTAL;Cantabria;2021;36.802
TOTAL;Cantabria;2020;31.530
TOTAL;Cantabria;2019;36.125
TOTAL;Cantabria;2018;32.427
TOTAL;Cantabria;2017;32.075
TOTAL;Cantabria;2016;31.108
TOTAL;Cantabria;2015;28.659
TOTAL;Cantabria;2014;33.488
TOTAL;Cantabria;2013;29.545
TOTAL;Cantabria;2012;29.132
TOTAL;Cantabria;2011;35.248
TOTAL;Cantabria;2010;39.044
TOTAL;Castilla y León;2023;167.136
TOTAL;Castilla y León;2022;161.723
TOTAL;Castilla y León;2021;126.461
TOTAL;Castilla y León;2020;107.287
TOTAL;Castilla y León;2019;125.694
TOTAL;Castilla y León;2018;114.264
TOTAL;Castilla y León;2017;107.385
TOTAL;Castilla y León;2016;110.446
TOTAL;Castilla y León;2015;117.105
TOTAL;Castilla y León;2014;91.918
TOTAL;Castilla y León;2013;84.396
TOTAL;Castilla y León;2012;88.888
TOTAL;Castilla y León;2011;115.458
TOTAL;Castilla y León;2010;154.276
TOTAL;Castilla-La Mancha;2023;153.954
TOTAL;Castilla-La Mancha;2022;131.632
TOTAL;Castilla-La Mancha;2021;103.762
TOTAL;Castilla-La Mancha;2020;89.762
TOTAL;Castilla-La Mancha;2019;108.569
TOTAL;Castilla-La Mancha;2018;100.914
TOTAL;Castilla-La Mancha;2017;92.226
TOTAL;Castilla-La Mancha;2016;87.941
TOTAL;Castilla-La Mancha;2015;88.138
TOTAL;Castilla-La Mancha;2014;85.364
TOTAL;Castilla-La Mancha;2013;88.743
TOTAL;Castilla-La Mancha;2012;97.275
TOTAL;Castilla-La Mancha;2011;119.555
TOTAL;Castilla-La Mancha;2010;149.130
TOTAL;Cataluña;2023;468.069
TOTAL;Cataluña;2022;411.988
TOTAL;Cataluña;2021;351.537
TOTAL;Cataluña;2020;330.266
TOTAL;Cataluña;2019;381.878
TOTAL;Cataluña;2018;378.669
TOTAL;Cataluña;2017;322.962
TOTAL;Cataluña;2016;304.122
TOTAL;Cataluña;2015;308.322
TOTAL;Cataluña;2014;285.617
TOTAL;Cataluña;2013;279.335
TOTAL;Cataluña;2012;290.256
TOTAL;Cataluña;2011;341.534
TOTAL;Cataluña;2010;433.305
TOTAL;Comunitat Valenciana;2023;320.434
TOTAL;Comunitat Valenciana;2022;272.419
TOTAL;Comunitat Valenciana;2021;222.309
TOTAL;Comunitat Valenciana;2020;202.635
TOTAL;Comunitat Valenciana;2019;223.862
TOTAL;Comunitat Valenciana;2018;189.869
TOTAL;Comunitat Valenciana;2017;181.375
TOTAL;Comunitat Valenciana;2016;175.473
TOTAL;Comunitat Valenciana;2015;183.395
TOTAL;Comunitat Valenciana;2014;160.022
TOTAL;Comunitat Valenciana;2013;149.567
TOTAL;Comunitat Valenciana;2012;169.649
TOTAL;Comunitat Valenciana;2011;232.680
TOTAL;Comunitat Valenciana;2010;296.575
TOTAL;Extremadura;2023;56.107
TOTAL;Extremadura;2022;48.333
TOTAL;Extremadura;2021;41.207
TOTAL;Extremadura;2020;35.179
TOTAL;Extremadura;2019;45.583
TOTAL;Extremadura;2018;41.620
TOTAL;Extremadura;2017;34.098
TOTAL;Extremadura;2016;31.163
TOTAL;Extremadura;2015;32.412
TOTAL;Extremadura;2014;32.067
TOTAL;Extremadura;2013;24.296
TOTAL;Extremadura;2012;32.430
TOTAL;Extremadura;2011;32.532
TOTAL;Extremadura;2010;50.405
TOTAL;Galicia;2023;152.703
TOTAL;Galicia;2022;128.296
TOTAL;Galicia;2021;108.519
TOTAL;Galicia;2020;104.331
TOTAL;Galicia;2019;122.842
TOTAL;Galicia;2018;108.982
TOTAL;Galicia;2017;98.078
TOTAL;Galicia;2016;92.704
TOTAL;Galicia;2015;95.788
TOTAL;Galicia;2014;84.596
TOTAL;Galicia;2013;90.765
TOTAL;Galicia;2012;88.120
TOTAL;Galicia;2011;107.840
TOTAL;Galicia;2010;136.851
TOTAL;Madrid, Comunidad de;2023;465.062
TOTAL;Madrid, Comunidad de;2022;464.221
TOTAL;Madrid, Comunidad de;2021;398.524
TOTAL;Madrid, Comunidad de;2020;334.156
TOTAL;Madrid, Comunidad de;2019;355.737
TOTAL;Madrid, Comunidad de;2018;331.101
