Comunidad autónoma y tamaño del municipio;Indicador;Total
TOTAL;Deporte en general;6,4
TOTAL;Practicar deporte;5,6
TOTAL;Asistir a espectáculos deportivos;4,3
TOTAL;Acceder a  espectáculos deportivos por medios audiovisuales;5,4
TOTAL;Informarse sobre el  deporte;4,9
TOTAL;Jugar videojuegos vinculados al deporte;1,6
Andalucía;Deporte en general;6,2
Andalucía;Practicar deporte;5,5
Andalucía;Asistir a espectáculos deportivos;4,2
Andalucía;Acceder a  espectáculos deportivos por medios audiovisuales;5,1
Andalucía;Informarse sobre el  deporte;4,5
Andalucía;Jugar videojuegos vinculados al deporte;1,7
Aragón;Deporte en general;6,6
Aragón;Practicar deporte;5,6
Aragón;Asistir a espectáculos deportivos;4,2
Aragón;Acceder a  espectáculos deportivos por medios audiovisuales;5,4
Aragón;Informarse sobre el  deporte;5,0
Aragón;Jugar videojuegos vinculados al deporte;1,6
Asturias (Principado de);Deporte en general;6,0
Asturias (Principado de);Practicar deporte;5,4
Asturias (Principado de);Asistir a espectáculos deportivos;4,2
Asturias (Principado de);Acceder a  espectáculos deportivos por medios audiovisuales;5,3
Asturias (Principado de);Informarse sobre el  deporte;4,9
Asturias (Principado de);Jugar videojuegos vinculados al deporte;1,3
Balears (Illes);Deporte en general;7,1
Balears (Illes);Practicar deporte;6,0
Balears (Illes);Asistir a espectáculos deportivos;4,8
Balears (Illes);Acceder a  espectáculos deportivos por medios audiovisuales;5,6
Balears (Illes);Informarse sobre el  deporte;5,0
Balears (Illes);Jugar videojuegos vinculados al deporte;2,0
Canarias;Deporte en general;6,9
Canarias;Practicar deporte;6,2
Canarias;Asistir a espectáculos deportivos;4,9
Canarias;Acceder a  espectáculos deportivos por medios audiovisuales;5,8
Canarias;Informarse sobre el  deporte;5,5
Canarias;Jugar videojuegos vinculados al deporte;1,5
Cantabria;Deporte en general;5,7
Cantabria;Practicar deporte;4,4
Cantabria;Asistir a espectáculos deportivos;3,5
Cantabria;Acceder a  espectáculos deportivos por medios audiovisuales;4,8
Cantabria;Informarse sobre el  deporte;3,9
Cantabria;Jugar videojuegos vinculados al deporte;0,9
Castilla y León;Deporte en general;6,1
Castilla y León;Practicar deporte;5,4
Castilla y León;Asistir a espectáculos deportivos;4,2
Castilla y León;Acceder a  espectáculos deportivos por medios audiovisuales;5,1
Castilla y León;Informarse sobre el  deporte;4,9
