Comunidad autónoma y tamaño del municipio;Indicador;Frecuencia;Total
TOTAL;En % de la población de cada colectivo;Total practicaron en el último año;53,5
TOTAL;En % de la población de cada colectivo;Todos los días;19,5
TOTAL;En % de la población de cada colectivo;Al menos una vez a la semana;46,2
TOTAL;En % de la población de cada colectivo;Al menos una vez al mes;51,0
TOTAL;En % de la población de cada colectivo;Al menos una vez al trimestre;52,3
TOTAL;En % de los que practican deporte de cada colectivo;Total practicaron en el último año;100,0
TOTAL;En % de los que practican deporte de cada colectivo;Todos los días;36,4
TOTAL;En % de los que practican deporte de cada colectivo;Al menos una vez a la semana;86,3
TOTAL;En % de los que practican deporte de cada colectivo;Al menos una vez al mes;95,3
TOTAL;En % de los que practican deporte de cada colectivo;Al menos una vez al trimestre;97,8
Andalucía;En % de la población de cada colectivo;Total practicaron en el último año;53,0
Andalucía;En % de la población de cada colectivo;Todos los días;22,4
Andalucía;En % de la población de cada colectivo;Al menos una vez a la semana;45,7
Andalucía;En % de la población de cada colectivo;Al menos una vez al mes;50,5
Andalucía;En % de la población de cada colectivo;Al menos una vez al trimestre;51,9
Andalucía;En % de los que practican deporte de cada colectivo;Total practicaron en el último año;100,0
Andalucía;En % de los que practican deporte de cada colectivo;Todos los días;42,2
Andalucía;En % de los que practican deporte de cada colectivo;Al menos una vez a la semana;86,2
Andalucía;En % de los que practican deporte de cada colectivo;Al menos una vez al mes;95,3
Andalucía;En % de los que practican deporte de cada colectivo;Al menos una vez al trimestre;97,8
Aragón;En % de la población de cada colectivo;Total practicaron en el último año;50,5
Aragón;En % de la población de cada colectivo;Todos los días;18,2
Aragón;En % de la población de cada colectivo;Al menos una vez a la semana;42,2
Aragón;En % de la población de cada colectivo;Al menos una vez al mes;48,1
Aragón;En % de la población de cada colectivo;Al menos una vez al trimestre;49,7
Aragón;En % de los que practican deporte de cada colectivo;Total practicaron en el último año;100,0
Aragón;En % de los que practican deporte de cada colectivo;Todos los días;36,0
Aragón;En % de los que practican deporte de cada colectivo;Al menos una vez a la semana;83,6
Aragón;En % de los que practican deporte de cada colectivo;Al menos una vez al mes;95,1
Aragón;En % de los que practican deporte de cada colectivo;Al menos una vez al trimestre;98,3
Asturias (Principado de);En % de la población de cada colectivo;Total practicaron en el último año;48,8
Asturias (Principado de);En % de la población de cada colectivo;Todos los días;17,3
Asturias (Principado de);En % de la población de cada colectivo;Al menos una vez a la semana;40,1
Asturias (Principado de);En % de la población de cada colectivo;Al menos una vez al mes;45,9
Asturias (Principado de);En % de la población de cada colectivo;Al menos una vez al trimestre;46,9
Asturias (Principado de);En % de los que practican deporte de cada colectivo;Total practicaron en el último año;100,0
Asturias (Principado de);En % de los que practican deporte de cada colectivo;Todos los días;35,4
Asturias (Principado de);En % de los que practican deporte de cada colectivo;Al menos una vez a la semana;82,2
Asturias (Principado de);En % de los que practican deporte de cada colectivo;Al menos una vez al mes;94,2
Asturias (Principado de);En % de los que practican deporte de cada colectivo;Al menos una vez al trimestre;96,1
Balears (Illes);En % de la población de cada colectivo;Total practicaron en el último año;61,0
Balears (Illes);En % de la población de cada colectivo;Todos los días;29,3
Balears (Illes);En % de la población de cada colectivo;Al menos una vez a la semana;54,2
Balears (Illes);En % de la población de cada colectivo;Al menos una vez al mes;58,0
Balears (Illes);En % de la población de cada colectivo;Al menos una vez al trimestre;59,5
Balears (Illes);En % de los que practican deporte de cada colectivo;Total practicaron en el último año;100,0
