Comunidad autónoma y tamaño del municipio;Indicador;Total
TOTAL;Total practicaron en el último año;100
TOTAL;Solo un deporte;21,0
TOTAL;Más de un deporte;79,0
TOTAL;Deportes individuales;58,0
TOTAL;Deportes colectivos;14,2
TOTAL;Ambos;27,7
TOTAL;Han participado en competiciones deportivas organizadas;18,5
TOTAL;No han participado en competiciones deportivas organizadas;81,5
Andalucía;Total practicaron en el último año;100
Andalucía;Solo un deporte;20,1
Andalucía;Más de un deporte;79,9
Andalucía;Deportes individuales;56,1
Andalucía;Deportes colectivos;16,8
Andalucía;Ambos;27,1
Andalucía;Han participado en competiciones deportivas organizadas;16,4
Andalucía;No han participado en competiciones deportivas organizadas;83,6
Aragón;Total practicaron en el último año;100
Aragón;Solo un deporte;27,1
Aragón;Más de un deporte;72,9
Aragón;Deportes individuales;63,8
Aragón;Deportes colectivos;13,7
Aragón;Ambos;22,6
Aragón;Han participado en competiciones deportivas organizadas;15,6
Aragón;No han participado en competiciones deportivas organizadas;84,4
Asturias (Principado de);Total practicaron en el último año;100
Asturias (Principado de);Solo un deporte;22,1
Asturias (Principado de);Más de un deporte;77,9
Asturias (Principado de);Deportes individuales;71,1
Asturias (Principado de);Deportes colectivos;11,2
Asturias (Principado de);Ambos;17,7
Asturias (Principado de);Han participado en competiciones deportivas organizadas;19,4
Asturias (Principado de);No han participado en competiciones deportivas organizadas;80,6
Balears (Illes);Total practicaron en el último año;100
Balears (Illes);Solo un deporte;17,8
Balears (Illes);Más de un deporte;82,2
Balears (Illes);Deportes individuales;52,4
Balears (Illes);Deportes colectivos;15,3
Balears (Illes);Ambos;32,2
Balears (Illes);Han participado en competiciones deportivas organizadas;18,9
Balears (Illes);No han participado en competiciones deportivas organizadas;81,1
Canarias;Total practicaron en el último año;100
Canarias;Solo un deporte;27,5
Canarias;Más de un deporte;72,5
Canarias;Deportes individuales;57,7
Canarias;Deportes colectivos;13,6
Canarias;Ambos;28,6
Canarias;Han participado en competiciones deportivas organizadas;19,2
Canarias;No han participado en competiciones deportivas organizadas;80,8
Cantabria;Total practicaron en el último año;100
Cantabria;Solo un deporte;37,5
Cantabria;Más de un deporte;62,5
Cantabria;Deportes individuales;66,3
Cantabria;Deportes colectivos;12,8
Cantabria;Ambos;21,0
Cantabria;Han participado en competiciones deportivas organizadas;14,7
Cantabria;No han participado en competiciones deportivas organizadas;85,3
Castilla y León;Total practicaron en el último año;100
Castilla y León;Solo un deporte;22,2
Castilla y León;Más de un deporte;77,8
