Comunidad autónoma y tamaño del municipio;Indicador;Disponen de licencia deportiva;Total
TOTAL;En la población total;TOTAL (Miles);38.934
TOTAL;En la población total;Disponen de licencia deportiva: Total  (%);9,8
TOTAL;En la población total;Disponen de licencia deportiva: Una sola licencia (%);8,4
TOTAL;En la población que practicó deporte en el último año;TOTAL (Miles);20.840
TOTAL;En la población que practicó deporte en el último año;Disponen de licencia deportiva: Total  (%);16,1
TOTAL;En la población que practicó deporte en el último año;Disponen de licencia deportiva: Una sola licencia (%);14,1
Andalucía;En la población total;TOTAL (Miles);6.970
Andalucía;En la población total;Disponen de licencia deportiva: Total  (%);7,9
Andalucía;En la población total;Disponen de licencia deportiva: Una sola licencia (%);6,8
Andalucía;En la población que practicó deporte en el último año;TOTAL (Miles);3.694
Andalucía;En la población que practicó deporte en el último año;Disponen de licencia deportiva: Total  (%);13,3
Andalucía;En la población que practicó deporte en el último año;Disponen de licencia deportiva: Una sola licencia (%);11,7
Aragón;En la población total;TOTAL (Miles);1.113
Aragón;En la población total;Disponen de licencia deportiva: Total  (%);14,7
Aragón;En la población total;Disponen de licencia deportiva: Una sola licencia (%);12,8
Aragón;En la población que practicó deporte en el último año;TOTAL (Miles);562
Aragón;En la población que practicó deporte en el último año;Disponen de licencia deportiva: Total  (%);23,5
Aragón;En la población que practicó deporte en el último año;Disponen de licencia deportiva: Una sola licencia (%);21,3
Asturias (Principado de);En la población total;TOTAL (Miles);920
Asturias (Principado de);En la población total;Disponen de licencia deportiva: Total  (%);12,8
Asturias (Principado de);En la población total;Disponen de licencia deportiva: Una sola licencia (%);11,3
Asturias (Principado de);En la población que practicó deporte en el último año;TOTAL (Miles);449
Asturias (Principado de);En la población que practicó deporte en el último año;Disponen de licencia deportiva: Total  (%);21,8
Asturias (Principado de);En la población que practicó deporte en el último año;Disponen de licencia deportiva: Una sola licencia (%);20,1
Balears (Illes);En la población total;TOTAL (Miles);948
Balears (Illes);En la población total;Disponen de licencia deportiva: Total  (%);17,4
Balears (Illes);En la población total;Disponen de licencia deportiva: Una sola licencia (%);12,1
Balears (Illes);En la población que practicó deporte en el último año;TOTAL (Miles);578
Balears (Illes);En la población que practicó deporte en el último año;Disponen de licencia deportiva: Total  (%);23,8
Balears (Illes);En la población que practicó deporte en el último año;Disponen de licencia deportiva: Una sola licencia (%);17,2
Canarias;En la población total;TOTAL (Miles);1.819
Canarias;En la población total;Disponen de licencia deportiva: Total  (%);7,1
Canarias;En la población total;Disponen de licencia deportiva: Una sola licencia (%);5,5
Canarias;En la población que practicó deporte en el último año;TOTAL (Miles);1.017
Canarias;En la población que practicó deporte en el último año;Disponen de licencia deportiva: Total  (%);11,3
Canarias;En la población que practicó deporte en el último año;Disponen de licencia deportiva: Una sola licencia (%);8,7
Cantabria;En la población total;TOTAL (Miles);499
Cantabria;En la población total;Disponen de licencia deportiva: Total  (%);9,5
Cantabria;En la población total;Disponen de licencia deportiva: Una sola licencia (%);8,8
Cantabria;En la población que practicó deporte en el último año;TOTAL (Miles);248
Cantabria;En la población que practicó deporte en el último año;Disponen de licencia deportiva: Total  (%);17,1
Cantabria;En la población que practicó deporte en el último año;Disponen de licencia deportiva: Una sola licencia (%);16,0
Castilla y León;En la población total;TOTAL (Miles);2.118
Castilla y León;En la población total;Disponen de licencia deportiva: Total  (%);9,8
Castilla y León;En la población total;Disponen de licencia deportiva: Una sola licencia (%);9,2
Castilla y León;En la población que practicó deporte en el último año;TOTAL (Miles);1.050
Castilla y León;En la población que practicó deporte en el último año;Disponen de licencia deportiva: Total  (%);17,0
Castilla y León;En la población que practicó deporte en el último año;Disponen de licencia deportiva: Una sola licencia (%);15,8
Castilla-La Mancha;En la población total;TOTAL (Miles);1.711
Castilla-La Mancha;En la población total;Disponen de licencia deportiva: Total  (%);7,3
Castilla-La Mancha;En la población total;Disponen de licencia deportiva: Una sola licencia (%);6,5
Castilla-La Mancha;En la población que practicó deporte en el último año;TOTAL (Miles);758
Castilla-La Mancha;En la población que practicó deporte en el último año;Disponen de licencia deportiva: Total  (%);13,7
Castilla-La Mancha;En la población que practicó deporte en el último año;Disponen de licencia deportiva: Una sola licencia (%);13,0
Cataluña;En la población total;TOTAL (Miles);6.131
Cataluña;En la población total;Disponen de licencia deportiva: Total  (%);12,3
Cataluña;En la población total;Disponen de licencia deportiva: Una sola licencia (%);10,7
Cataluña;En la población que practicó deporte en el último año;TOTAL (Miles);3.569
Cataluña;En la población que practicó deporte en el último año;Disponen de licencia deportiva: Total  (%);19,5
Cataluña;En la población que practicó deporte en el último año;Disponen de licencia deportiva: Una sola licencia (%);17,1
Comunitat Valenciana;En la población total;TOTAL (Miles);4.151
Comunitat Valenciana;En la población total;Disponen de licencia deportiva: Total  (%);8,8
Comunitat Valenciana;En la población total;Disponen de licencia deportiva: Una sola licencia (%);7,2
Comunitat Valenciana;En la población que practicó deporte en el último año;TOTAL (Miles);2.231
Comunitat Valenciana;En la población que practicó deporte en el último año;Disponen de licencia deportiva: Total  (%);13,6
Comunitat Valenciana;En la población que practicó deporte en el último año;Disponen de licencia deportiva: Una sola licencia (%);12,0
Extremadura;En la población total;TOTAL (Miles);923
Extremadura;En la población total;Disponen de licencia deportiva: Total  (%);11,9
Extremadura;En la población total;Disponen de licencia deportiva: Una sola licencia (%);10,1
Extremadura;En la población que practicó deporte en el último año;TOTAL (Miles);434
Extremadura;En la población que practicó deporte en el último año;Disponen de licencia deportiva: Total  (%);22,8
Extremadura;En la población que practicó deporte en el último año;Disponen de licencia deportiva: Una sola licencia (%);20,1
Galicia;En la población total;TOTAL (Miles);2.380
Galicia;En la población total;Disponen de licencia deportiva: Total  (%);9,3
Galicia;En la población total;Disponen de licencia deportiva: Una sola licencia (%);7,2
Galicia;En la población que practicó deporte en el último año;TOTAL (Miles);1.055
Galicia;En la población que practicó deporte en el último año;Disponen de licencia deportiva: Total  (%);16,8
Galicia;En la población que practicó deporte en el último año;Disponen de licencia deportiva: Una sola licencia (%);13,8
Madrid (Comunidad de);En la población total;TOTAL (Miles);5.303
Madrid (Comunidad de);En la población total;Disponen de licencia deportiva: Total  (%);7,0
Madrid (Comunidad de);En la población total;Disponen de licencia deportiva: Una sola licencia (%);6,2
Madrid (Comunidad de);En la población que practicó deporte en el último año;TOTAL (Miles);3.081
Madrid (Comunidad de);En la población que practicó deporte en el último año;Disponen de licencia deportiva: Total  (%);10,9
Madrid (Comunidad de);En la población que practicó deporte en el último año;Disponen de licencia deportiva: Una sola licencia (%);10,2
Murcia (Región de);En la población total;TOTAL (Miles);1.197
Murcia (Región de);En la población total;Disponen de licencia deportiva: Total  (%);8,7
Murcia (Región de);En la población total;Disponen de licencia deportiva: Una sola licencia (%);7,9
Murcia (Región de);En la población que practicó deporte en el último año;TOTAL (Miles);596
Murcia (Región de);En la población que practicó deporte en el último año;Disponen de licencia deportiva: Total  (%);15,8
Murcia (Región de);En la población que practicó deporte en el último año;Disponen de licencia deportiva: Una sola licencia (%);14,2
Navarra (Comunidad Foral de);En la población total;TOTAL (Miles);528
Navarra (Comunidad Foral de);En la población total;Disponen de licencia deportiva: Total  (%);14,7
Navarra (Comunidad Foral de);En la población total;Disponen de licencia deportiva: Una sola licencia (%);13,1
Navarra (Comunidad Foral de);En la población que practicó deporte en el último año;TOTAL (Miles);309
Navarra (Comunidad Foral de);En la población que practicó deporte en el último año;Disponen de licencia deportiva: Total  (%);21,7
Navarra (Comunidad Foral de);En la población que practicó deporte en el último año;Disponen de licencia deportiva: Una sola licencia (%);20,1
País Vasco;En la población total;TOTAL (Miles);1.832
País Vasco;En la población total;Disponen de licencia deportiva: Total  (%);14,4
País Vasco;En la población total;Disponen de licencia deportiva: Una sola licencia (%);12,2
País Vasco;En la población que practicó deporte en el último año;TOTAL (Miles);1.006
País Vasco;En la población que practicó deporte en el último año;Disponen de licencia deportiva: Total  (%);24,3
País Vasco;En la población que practicó deporte en el último año;Disponen de licencia deportiva: Una sola licencia (%);21,0
Rioja (La);En la población total;TOTAL (Miles);263
Rioja (La);En la población total;Disponen de licencia deportiva: Total  (%);8,9
Rioja (La);En la población total;Disponen de licencia deportiva: Una sola licencia (%);8,5
Rioja (La);En la población que practicó deporte en el último año;TOTAL (Miles);139
