Comunidad autónoma y tamaño del municipio;Indicador;Abonados;Total
TOTAL;En porcentaje de la población total;Total;100
TOTAL;En porcentaje de la población total;Abonados o socios: Total;28,1
TOTAL;En porcentaje de la población total;Abonados o socios: Públicos;17,7
TOTAL;En porcentaje de la población total;Abonados o socios: Privados;11,8
TOTAL;En porcentaje de la población total;Abonados o socios de gimnasios: Total;17,6
TOTAL;En porcentaje de la población total;Abonados o socios de gimnasios: Públicos;11,6
TOTAL;En porcentaje de la población total;Abonados o socios de gimnasios: Privados;6,5
TOTAL;En porcentaje de la población total;Abonados o socios a otras asociaciones o clubs: Total;12,7
TOTAL;En porcentaje de la población total;Abonados o socios a otras asociaciones o clubs: Públicos;7,3
TOTAL;En porcentaje de la población total;Abonados o socios a otras asociaciones o clubs: Privados;5,9
TOTAL;En porcentaje de la población que practicó deporte en el último año;Total;100
TOTAL;En porcentaje de la población que practicó deporte en el último año;Abonados o socios: Total;48,3
TOTAL;En porcentaje de la población que practicó deporte en el último año;Abonados o socios: Públicos;30,8
TOTAL;En porcentaje de la población que practicó deporte en el último año;Abonados o socios: Privados;20,0
TOTAL;En porcentaje de la población que practicó deporte en el último año;Abonados o socios de gimnasios: Total;31,2
TOTAL;En porcentaje de la población que practicó deporte en el último año;Abonados o socios de gimnasios: Públicos;20,6
TOTAL;En porcentaje de la población que practicó deporte en el último año;Abonados o socios de gimnasios: Privados;11,3
TOTAL;En porcentaje de la población que practicó deporte en el último año;Abonados o socios a otras asociaciones o clubs: Total;21,1
TOTAL;En porcentaje de la población que practicó deporte en el último año;Abonados o socios a otras asociaciones o clubs: Públicos;12,2
TOTAL;En porcentaje de la población que practicó deporte en el último año;Abonados o socios a otras asociaciones o clubs: Privados;9,8
Andalucía;En porcentaje de la población total;Total;100
Andalucía;En porcentaje de la población total;Abonados o socios: Total;25,4
Andalucía;En porcentaje de la población total;Abonados o socios: Públicos;17,4
Andalucía;En porcentaje de la población total;Abonados o socios: Privados;9,0
Andalucía;En porcentaje de la población total;Abonados o socios de gimnasios: Total;18,1
Andalucía;En porcentaje de la población total;Abonados o socios de gimnasios: Públicos;13,6
Andalucía;En porcentaje de la población total;Abonados o socios de gimnasios: Privados;4,9
Andalucía;En porcentaje de la población total;Abonados o socios a otras asociaciones o clubs: Total;9,2
Andalucía;En porcentaje de la población total;Abonados o socios a otras asociaciones o clubs: Públicos;4,8
Andalucía;En porcentaje de la población total;Abonados o socios a otras asociaciones o clubs: Privados;4,8
Andalucía;En porcentaje de la población que practicó deporte en el último año;Total;100
Andalucía;En porcentaje de la población que practicó deporte en el último año;Abonados o socios: Total;45,4
Andalucía;En porcentaje de la población que practicó deporte en el último año;Abonados o socios: Públicos;31,3
Andalucía;En porcentaje de la población que practicó deporte en el último año;Abonados o socios: Privados;15,9
Andalucía;En porcentaje de la población que practicó deporte en el último año;Abonados o socios de gimnasios: Total;33,4
Andalucía;En porcentaje de la población que practicó deporte en el último año;Abonados o socios de gimnasios: Públicos;25,1
Andalucía;En porcentaje de la población que practicó deporte en el último año;Abonados o socios de gimnasios: Privados;8,9
Andalucía;En porcentaje de la población que practicó deporte en el último año;Abonados o socios a otras asociaciones o clubs: Total;15,7
Andalucía;En porcentaje de la población que practicó deporte en el último año;Abonados o socios a otras asociaciones o clubs: Públicos;8,0
Andalucía;En porcentaje de la población que practicó deporte en el último año;Abonados o socios a otras asociaciones o clubs: Privados;8,3
Aragón;En porcentaje de la población total;Total;100
Aragón;En porcentaje de la población total;Abonados o socios: Total;26,9
Aragón;En porcentaje de la población total;Abonados o socios: Públicos;17,7
Aragón;En porcentaje de la población total;Abonados o socios: Privados;9,9
Aragón;En porcentaje de la población total;Abonados o socios de gimnasios: Total;11,2
Aragón;En porcentaje de la población total;Abonados o socios de gimnasios: Públicos;8,3
Aragón;En porcentaje de la población total;Abonados o socios de gimnasios: Privados;3,2
Aragón;En porcentaje de la población total;Abonados o socios a otras asociaciones o clubs: Total;16,4
Aragón;En porcentaje de la población total;Abonados o socios a otras asociaciones o clubs: Públicos;9,9
Aragón;En porcentaje de la población total;Abonados o socios a otras asociaciones o clubs: Privados;6,9
Aragón;En porcentaje de la población que practicó deporte en el último año;Total;100
Aragón;En porcentaje de la población que practicó deporte en el último año;Abonados o socios: Total;47,5
Aragón;En porcentaje de la población que practicó deporte en el último año;Abonados o socios: Públicos;31,7
Aragón;En porcentaje de la población que practicó deporte en el último año;Abonados o socios: Privados;17,2
Aragón;En porcentaje de la población que practicó deporte en el último año;Abonados o socios de gimnasios: Total;20,3
Aragón;En porcentaje de la población que practicó deporte en el último año;Abonados o socios de gimnasios: Públicos;14,9
Aragón;En porcentaje de la población que practicó deporte en el último año;Abonados o socios de gimnasios: Privados;6,0
Aragón;En porcentaje de la población que practicó deporte en el último año;Abonados o socios a otras asociaciones o clubs: Total;28,6
Aragón;En porcentaje de la población que practicó deporte en el último año;Abonados o socios a otras asociaciones o clubs: Públicos;17,8
Aragón;En porcentaje de la población que practicó deporte en el último año;Abonados o socios a otras asociaciones o clubs: Privados;11,5
Asturias (Principado de);En porcentaje de la población total;Total;100
Asturias (Principado de);En porcentaje de la población total;Abonados o socios: Total;26,0
Asturias (Principado de);En porcentaje de la población total;Abonados o socios: Públicos;15,7
Asturias (Principado de);En porcentaje de la población total;Abonados o socios: Privados;10,8
Asturias (Principado de);En porcentaje de la población total;Abonados o socios de gimnasios: Total;13,2
Asturias (Principado de);En porcentaje de la población total;Abonados o socios de gimnasios: Públicos;7,9
