Tamaño del municipio;Practicaron;Total
TOTAL;Todos los días;29,5
TOTAL;Al menos una vez a la semana;41,0
TOTAL;Al menos una vez al mes;41,8
Capitales de provincia;Todos los días;27,6
Capitales de provincia;Al menos una vez a la semana;39,5
Capitales de provincia;Al menos una vez al mes;40,2
De más de 50.000 habitantes;Todos los días;31,8
De más de 50.000 habitantes;Al menos una vez a la semana;41,3
De más de 50.000 habitantes;Al menos una vez al mes;41,8
De menos de 50.001 habitantes;Todos los días;29,7
De menos de 50.001 habitantes;Al menos una vez a la semana;42,0
De menos de 50.001 habitantes;Al menos una vez al mes;43,0
