Tamaño del municipio;Indicador;Total
TOTAL;Deporte en general;6,6
TOTAL;Practicar deporte;6,0
TOTAL;Asistir a espectáculos deportivos;4,2
TOTAL;Acceder a  espectáculos deportivos por medios audiovisuales;5,0
TOTAL;Informarse sobre el  deporte;4,7
TOTAL;Jugar a videojuegos vinculados al deporte;1,6
TOTAL;Participar en competiciones de videojuegos de deporte;0,9
Capitales de provincia;Deporte en general;6,5
Capitales de provincia;Practicar deporte;5,9
Capitales de provincia;Asistir a espectáculos deportivos;4,0
Capitales de provincia;Acceder a  espectáculos deportivos por medios audiovisuales;4,8
Capitales de provincia;Informarse sobre el  deporte;4,4
Capitales de provincia;Jugar a videojuegos vinculados al deporte;1,5
Capitales de provincia;Participar en competiciones de videojuegos de deporte;0,9
De más de 50.000 habitantes;Deporte en general;6,6
De más de 50.000 habitantes;Practicar deporte;6,1
De más de 50.000 habitantes;Asistir a espectáculos deportivos;4,1
De más de 50.000 habitantes;Acceder a  espectáculos deportivos por medios audiovisuales;5,1
De más de 50.000 habitantes;Informarse sobre el  deporte;4,7
De más de 50.000 habitantes;Jugar a videojuegos vinculados al deporte;1,7
De más de 50.000 habitantes;Participar en competiciones de videojuegos de deporte;1,0
De menos de 50.001 habitantes;Deporte en general;6,7
De menos de 50.001 habitantes;Practicar deporte;6,0
De menos de 50.001 habitantes;Asistir a espectáculos deportivos;4,3
De menos de 50.001 habitantes;Acceder a  espectáculos deportivos por medios audiovisuales;5,2
De menos de 50.001 habitantes;Informarse sobre el  deporte;4,9
De menos de 50.001 habitantes;Jugar a videojuegos vinculados al deporte;1,5
De menos de 50.001 habitantes;Participar en competiciones de videojuegos de deporte;0,9
