Tamaño del municipio;Motivos;Total
TOTAL;TOTAL;100
TOTAL;Falta de  tiempo;44,0
TOTAL;Falta de interés;19,8
TOTAL;Motivos de salud;13,2
TOTAL;Por edad;11,9
TOTAL;Motivos económicos;3,9
TOTAL;Falta de instalaciones adecuadas cercanas;4,7
TOTAL;No tener con quien practicarlo;2,6
Capitales de provincia;TOTAL;100
Capitales de provincia;Falta de  tiempo;43,5
Capitales de provincia;Falta de interés;20,3
Capitales de provincia;Motivos de salud;12,9
Capitales de provincia;Por edad;12,8
Capitales de provincia;Motivos económicos;3,5
Capitales de provincia;Falta de instalaciones adecuadas cercanas;4,3
Capitales de provincia;No tener con quien practicarlo;2,7
De más de 50.000 habitantes;TOTAL;100
De más de 50.000 habitantes;Falta de  tiempo;43,8
De más de 50.000 habitantes;Falta de interés;20,3
De más de 50.000 habitantes;Motivos de salud;14,1
De más de 50.000 habitantes;Por edad;9,8
De más de 50.000 habitantes;Motivos económicos;4,9
De más de 50.000 habitantes;Falta de instalaciones adecuadas cercanas;3,9
De más de 50.000 habitantes;No tener con quien practicarlo;3,0
De menos de 50.001 habitantes;TOTAL;100
De menos de 50.001 habitantes;Falta de  tiempo;44,3
De menos de 50.001 habitantes;Falta de interés;19,1
De menos de 50.001 habitantes;Motivos de salud;13,0
De menos de 50.001 habitantes;Por edad;12,3
De menos de 50.001 habitantes;Motivos económicos;3,7
De menos de 50.001 habitantes;Falta de instalaciones adecuadas cercanas;5,4
De menos de 50.001 habitantes;No tener con quien practicarlo;2,3
