Tamaño del municipio;Indicador;Frecuencia;Total
TOTAL;En % de la población de cada colectivo;Total practicaron en el último año;59,6
TOTAL;En % de la población de cada colectivo;Todos los días;27,1
TOTAL;En % de la población de cada colectivo;Al menos una vez a la semana;54,8
TOTAL;En % de la población de cada colectivo;Al menos una vez al mes;58,1
TOTAL;En % de la población de cada colectivo;Al menos una vez al trimestre;58,6
TOTAL;En % de los que practican deporte de cada colectivo;Total practicaron en el último año;100,0
TOTAL;En % de los que practican deporte de cada colectivo;Todos los días;45,4
TOTAL;En % de los que practican deporte de cada colectivo;Al menos una vez a la semana;91,9
TOTAL;En % de los que practican deporte de cada colectivo;Al menos una vez al mes;97,5
TOTAL;En % de los que practican deporte de cada colectivo;Al menos una vez al trimestre;98,5
Capitales de provincia;En % de la población de cada colectivo;Total practicaron en el último año;58,5
Capitales de provincia;En % de la población de cada colectivo;Todos los días;23,4
Capitales de provincia;En % de la población de cada colectivo;Al menos una vez a la semana;53,7
Capitales de provincia;En % de la población de cada colectivo;Al menos una vez al mes;57,0
Capitales de provincia;En % de la población de cada colectivo;Al menos una vez al trimestre;57,8
Capitales de provincia;En % de los que practican deporte de cada colectivo;Total practicaron en el último año;100,0
Capitales de provincia;En % de los que practican deporte de cada colectivo;Todos los días;40,0
Capitales de provincia;En % de los que practican deporte de cada colectivo;Al menos una vez a la semana;91,9
Capitales de provincia;En % de los que practican deporte de cada colectivo;Al menos una vez al mes;97,4
Capitales de provincia;En % de los que practican deporte de cada colectivo;Al menos una vez al trimestre;98,8
De más de 50.000 habitantes;En % de la población de cada colectivo;Total practicaron en el último año;60,2
De más de 50.000 habitantes;En % de la población de cada colectivo;Todos los días;31,3
De más de 50.000 habitantes;En % de la población de cada colectivo;Al menos una vez a la semana;55,1
De más de 50.000 habitantes;En % de la población de cada colectivo;Al menos una vez al mes;58,3
De más de 50.000 habitantes;En % de la población de cada colectivo;Al menos una vez al trimestre;59,0
De más de 50.000 habitantes;En % de los que practican deporte de cada colectivo;Total practicaron en el último año;100,0
De más de 50.000 habitantes;En % de los que practican deporte de cada colectivo;Todos los días;52,0
De más de 50.000 habitantes;En % de los que practican deporte de cada colectivo;Al menos una vez a la semana;91,6
De más de 50.000 habitantes;En % de los que practican deporte de cada colectivo;Al menos una vez al mes;96,8
De más de 50.000 habitantes;En % de los que practican deporte de cada colectivo;Al menos una vez al trimestre;98,0
De menos de 50.001 habitantes;En % de la población de cada colectivo;Total practicaron en el último año;60,1
De menos de 50.001 habitantes;En % de la población de cada colectivo;Todos los días;27,7
De menos de 50.001 habitantes;En % de la población de cada colectivo;Al menos una vez a la semana;55,3
De menos de 50.001 habitantes;En % de la población de cada colectivo;Al menos una vez al mes;58,8
De menos de 50.001 habitantes;En % de la población de cada colectivo;Al menos una vez al trimestre;59,1
De menos de 50.001 habitantes;En % de los que practican deporte de cada colectivo;Total practicaron en el último año;100,0
De menos de 50.001 habitantes;En % de los que practican deporte de cada colectivo;Todos los días;46,1
De menos de 50.001 habitantes;En % de los que practican deporte de cada colectivo;Al menos una vez a la semana;92,1
De menos de 50.001 habitantes;En % de los que practican deporte de cada colectivo;Al menos una vez al mes;97,9
De menos de 50.001 habitantes;En % de los que practican deporte de cada colectivo;Al menos una vez al trimestre;98,4
