Sexo y edad;Indicador;Total
TOTAL;Total practicaron en el último año;100
TOTAL;Solo un deporte;23,9
TOTAL;Más de un deporte;76,1
TOTAL;Deportes individuales;66,1
TOTAL;Deportes colectivos;11,6
TOTAL;Ambos;22,3
TOTAL;De forma dirigida;34,1
TOTAL;De forma libre;85,5
TOTAL;Han participado en competiciones deportivas organizadas;15,5
TOTAL;No han participado;84,5
Hombres;Total practicaron en el último año;100
Hombres;Solo un deporte;23,3
Hombres;Más de un deporte;76,7
Hombres;Deportes individuales;61,0
Hombres;Deportes colectivos;13,8
Hombres;Ambos;25,2
Hombres;De forma dirigida;24,7
Hombres;De forma libre;90,9
Hombres;Han participado en competiciones deportivas organizadas;21,6
Hombres;No han participado;78,4
Mujeres;Total practicaron en el último año;100
Mujeres;Solo un deporte;24,7
Mujeres;Más de un deporte;75,3
Mujeres;Deportes individuales;72,0
Mujeres;Deportes colectivos;9,0
Mujeres;Ambos;18,9
Mujeres;De forma dirigida;44,9
Mujeres;De forma libre;79,4
Mujeres;Han participado en competiciones deportivas organizadas;8,4
Mujeres;No han participado;91,6
De 15 a 24 años;Total practicaron en el último año;100
De 15 a 24 años;Solo un deporte;15,2
De 15 a 24 años;Más de un deporte;84,8
De 15 a 24 años;Deportes individuales;48,5
De 15 a 24 años;Deportes colectivos;20,8
De 15 a 24 años;Ambos;30,7
De 15 a 24 años;De forma dirigida;46,8
De 15 a 24 años;De forma libre;77,6
De 15 a 24 años;Han participado en competiciones deportivas organizadas;27,7
De 15 a 24 años;No han participado;72,3
De 25 a 34 años;Total practicaron en el último año;100
De 25 a 34 años;Solo un deporte;17,2
De 25 a 34 años;Más de un deporte;82,8
De 25 a 34 años;Deportes individuales;62,1
De 25 a 34 años;Deportes colectivos;11,4
De 25 a 34 años;Ambos;26,5
De 25 a 34 años;De forma dirigida;37,8
De 25 a 34 años;De forma libre;86,2
De 25 a 34 años;Han participado en competiciones deportivas organizadas;17,6
De 25 a 34 años;No han participado;82,4
De 35 a 44 años;Total practicaron en el último año;100
De 35 a 44 años;Solo un deporte;19,6
De 35 a 44 años;Más de un deporte;80,4
De 35 a 44 años;Deportes individuales;65,5
De 35 a 44 años;Deportes colectivos;9,4
De 35 a 44 años;Ambos;25,1
De 35 a 44 años;De forma dirigida;33,2
De 35 a 44 años;De forma libre;88,9
De 35 a 44 años;Han participado en competiciones deportivas organizadas;16,6
De 35 a 44 años;No han participado;83,4
De 45 a 54 años;Total practicaron en el último año;100
De 45 a 54 años;Solo un deporte;24,4
De 45 a 54 años;Más de un deporte;75,6
De 45 a 54 años;Deportes individuales;69,3
De 45 a 54 años;Deportes colectivos;9,0
De 45 a 54 años;Ambos;21,7
De 45 a 54 años;De forma dirigida;30,8
De 45 a 54 años;De forma libre;89,1
De 45 a 54 años;Han participado en competiciones deportivas organizadas;13,8
De 45 a 54 años;No han participado;86,2
De 55 años y más;Total practicaron en el último año;100
De 55 años y más;Solo un deporte;36,5
De 55 años y más;Más de un deporte;63,5
De 55 años y más;Deportes individuales;77,4
De 55 años y más;Deportes colectivos;9,8
De 55 años y más;Ambos;12,7
De 55 años y más;De forma dirigida;27,2
De 55 años y más;De forma libre;84,6
De 55 años y más;Han participado en competiciones deportivas organizadas;7,1
De 55 años y más;No han participado;92,9
