Tamaño del municipio;Indicador;Disponen de licencia deportiva;Total
TOTAL;En la población total;TOTAL;100
TOTAL;En la población total;Disponen de licencia deportiva: Total;8,9
TOTAL;En la población total;Disponen de licencia deportiva: Una sola licencia;8,2
TOTAL;En la población que practicó deporte en el último año;TOTAL;100
TOTAL;En la población que practicó deporte en el último año;Disponen de licencia deportiva: Total;13,6
TOTAL;En la población que practicó deporte en el último año;Disponen de licencia deportiva: Una sola licencia;12,5
Capitales de provincia;En la población total;TOTAL;100
Capitales de provincia;En la población total;Disponen de licencia deportiva: Total;8,7
Capitales de provincia;En la población total;Disponen de licencia deportiva: Una sola licencia;7,9
Capitales de provincia;En la población que practicó deporte en el último año;TOTAL;100
Capitales de provincia;En la población que practicó deporte en el último año;Disponen de licencia deportiva: Total;13,6
Capitales de provincia;En la población que practicó deporte en el último año;Disponen de licencia deportiva: Una sola licencia;12,4
De más de 50.000 habitantes;En la población total;TOTAL;100
De más de 50.000 habitantes;En la población total;Disponen de licencia deportiva: Total;7,8
De más de 50.000 habitantes;En la población total;Disponen de licencia deportiva: Una sola licencia;7,5
De más de 50.000 habitantes;En la población que practicó deporte en el último año;TOTAL;100
De más de 50.000 habitantes;En la población que practicó deporte en el último año;Disponen de licencia deportiva: Total;12,0
De más de 50.000 habitantes;En la población que practicó deporte en el último año;Disponen de licencia deportiva: Una sola licencia;11,5
De menos de 50.001 habitantes;En la población total;TOTAL;100
De menos de 50.001 habitantes;En la población total;Disponen de licencia deportiva: Total;9,6
De menos de 50.001 habitantes;En la población total;Disponen de licencia deportiva: Una sola licencia;8,8
De menos de 50.001 habitantes;En la población que practicó deporte en el último año;TOTAL;100
De menos de 50.001 habitantes;En la población que practicó deporte en el último año;Disponen de licencia deportiva: Total;14,3
De menos de 50.001 habitantes;En la población que practicó deporte en el último año;Disponen de licencia deportiva: Una sola licencia;13,0
