Tamaño del municipio;Indicador;Abonados;Total
TOTAL;En porcentaje de la población total;Total;100
TOTAL;En porcentaje de la población total;Abonados o socios de gimnasios, asociaciones o clubs: Total;29,7
TOTAL;En porcentaje de la población total;Abonados o socios de gimnasios;21,0
TOTAL;En porcentaje de la población total;Abonados o socios de otras asociaciones o clubs;12,4
TOTAL;En porcentaje de la población que practicó deporte en el último año;Total;100
TOTAL;En porcentaje de la población que practicó deporte en el último año;Abonados o socios de gimnasios, asociaciones o clubs: Total;44,6
TOTAL;En porcentaje de la población que practicó deporte en el último año;Abonados o socios de gimnasios;32,7
TOTAL;En porcentaje de la población que practicó deporte en el último año;Abonados o socios de otras asociaciones o clubs;17,7
Capitales de provincia;En porcentaje de la población total;Total;100
Capitales de provincia;En porcentaje de la población total;Abonados o socios de gimnasios, asociaciones o clubs: Total;33,2
Capitales de provincia;En porcentaje de la población total;Abonados o socios de gimnasios;24,7
Capitales de provincia;En porcentaje de la población total;Abonados o socios de otras asociaciones o clubs;13,1
Capitales de provincia;En porcentaje de la población que practicó deporte en el último año;Total;100
Capitales de provincia;En porcentaje de la población que practicó deporte en el último año;Abonados o socios de gimnasios, asociaciones o clubs: Total;50,5
Capitales de provincia;En porcentaje de la población que practicó deporte en el último año;Abonados o socios de gimnasios;38,1
Capitales de provincia;En porcentaje de la población que practicó deporte en el último año;Abonados o socios de otras asociaciones o clubs;19,7
De más de 50.000 habitantes;En porcentaje de la población total;Total;100
De más de 50.000 habitantes;En porcentaje de la población total;Abonados o socios de gimnasios, asociaciones o clubs: Total;28,2
De más de 50.000 habitantes;En porcentaje de la población total;Abonados o socios de gimnasios;21,2
De más de 50.000 habitantes;En porcentaje de la población total;Abonados o socios de otras asociaciones o clubs;11,7
De más de 50.000 habitantes;En porcentaje de la población que practicó deporte en el último año;Total;100
De más de 50.000 habitantes;En porcentaje de la población que practicó deporte en el último año;Abonados o socios de gimnasios, asociaciones o clubs: Total;42,8
De más de 50.000 habitantes;En porcentaje de la población que practicó deporte en el último año;Abonados o socios de gimnasios;32,5
De más de 50.000 habitantes;En porcentaje de la población que practicó deporte en el último año;Abonados o socios de otras asociaciones o clubs;17,4
De menos de 50.001 habitantes;En porcentaje de la población total;Total;100
De menos de 50.001 habitantes;En porcentaje de la población total;Abonados o socios de gimnasios, asociaciones o clubs: Total;27,8
De menos de 50.001 habitantes;En porcentaje de la población total;Abonados o socios de gimnasios;18,3
De menos de 50.001 habitantes;En porcentaje de la población total;Abonados o socios de otras asociaciones o clubs;12,3
De menos de 50.001 habitantes;En porcentaje de la población que practicó deporte en el último año;Total;100
De menos de 50.001 habitantes;En porcentaje de la población que practicó deporte en el último año;Abonados o socios de gimnasios, asociaciones o clubs: Total;41,4
De menos de 50.001 habitantes;En porcentaje de la población que practicó deporte en el último año;Abonados o socios de gimnasios;29,1
De menos de 50.001 habitantes;En porcentaje de la población que practicó deporte en el último año;Abonados o socios de otras asociaciones o clubs;16,6
