Comunidad autónoma y tamaño del municipio;Indicador;periodo;Total
TOTAL;Deporte en general;2022;6,4
TOTAL;Practicar deporte;2022;5,7
TOTAL;Asistir a espectáculos deportivos;2022;4,1
TOTAL;Acceder a  espectáculos deportivos por medios audiovisuales;2022;5,0
TOTAL;Informarse sobre el  deporte;2022;4,7
TOTAL;Jugar videojuegos vinculados al deporte;2022;1,6
TOTAL;Participar en competiciones de videojuegos de deporte;2022;0,9
Andalucía;Deporte en general;2022;6,2
Andalucía;Practicar deporte;2022;5,5
Andalucía;Asistir a espectáculos deportivos;2022;4,1
Andalucía;Acceder a  espectáculos deportivos por medios audiovisuales;2022;5,0
Andalucía;Informarse sobre el  deporte;2022;4,4
Andalucía;Jugar videojuegos vinculados al deporte;2022;1,6
Andalucía;Participar en competiciones de videojuegos de deporte;2022;0,9
Aragón;Deporte en general;2022;6,2
Aragón;Practicar deporte;2022;5,5
Aragón;Asistir a espectáculos deportivos;2022;3,8
Aragón;Acceder a  espectáculos deportivos por medios audiovisuales;2022;4,7
Aragón;Informarse sobre el  deporte;2022;4,5
Aragón;Jugar videojuegos vinculados al deporte;2022;1,4
Aragón;Participar en competiciones de videojuegos de deporte;2022;0,7
Asturias (Principado de);Deporte en general;2022;6,2
Asturias (Principado de);Practicar deporte;2022;5,5
Asturias (Principado de);Asistir a espectáculos deportivos;2022;3,8
Asturias (Principado de);Acceder a  espectáculos deportivos por medios audiovisuales;2022;5,1
Asturias (Principado de);Informarse sobre el  deporte;2022;4,8
Asturias (Principado de);Jugar videojuegos vinculados al deporte;2022;1,5
Asturias (Principado de);Participar en competiciones de videojuegos de deporte;2022;0,8
Balears (Illes);Deporte en general;2022;6,4
Balears (Illes);Practicar deporte;2022;6,0
Balears (Illes);Asistir a espectáculos deportivos;2022;4,1
Balears (Illes);Acceder a  espectáculos deportivos por medios audiovisuales;2022;4,7
Balears (Illes);Informarse sobre el  deporte;2022;4,4
Balears (Illes);Jugar videojuegos vinculados al deporte;2022;1,4
Balears (Illes);Participar en competiciones de videojuegos de deporte;2022;0,9
Canarias;Deporte en general;2022;6,9
Canarias;Practicar deporte;2022;6,3
Canarias;Asistir a espectáculos deportivos;2022;4,8
Canarias;Acceder a  espectáculos deportivos por medios audiovisuales;2022;5,8
Canarias;Informarse sobre el  deporte;2022;5,5
Canarias;Jugar videojuegos vinculados al deporte;2022;1,9
Canarias;Participar en competiciones de videojuegos de deporte;2022;1,2
Cantabria;Deporte en general;2022;6,3
Cantabria;Practicar deporte;2022;5,7
Cantabria;Asistir a espectáculos deportivos;2022;4,0
Cantabria;Acceder a  espectáculos deportivos por medios audiovisuales;2022;5,0
Cantabria;Informarse sobre el  deporte;2022;4,7
Cantabria;Jugar videojuegos vinculados al deporte;2022;1,4
Cantabria;Participar en competiciones de videojuegos de deporte;2022;0,7
Castilla y León;Deporte en general;2022;6,3
Castilla y León;Practicar deporte;2022;5,7
Castilla y León;Asistir a espectáculos deportivos;2022;4,1
Castilla y León;Acceder a  espectáculos deportivos por medios audiovisuales;2022;5,2
Castilla y León;Informarse sobre el  deporte;2022;5,1
Castilla y León;Jugar videojuegos vinculados al deporte;2022;1,4
Castilla y León;Participar en competiciones de videojuegos de deporte;2022;0,9
Castilla-La Mancha;Deporte en general;2022;6,4
Castilla-La Mancha;Practicar deporte;2022;5,7
Castilla-La Mancha;Asistir a espectáculos deportivos;2022;4,2
Castilla-La Mancha;Acceder a  espectáculos deportivos por medios audiovisuales;2022;5,3
Castilla-La Mancha;Informarse sobre el  deporte;2022;5,0
Castilla-La Mancha;Jugar videojuegos vinculados al deporte;2022;1,7
Castilla-La Mancha;Participar en competiciones de videojuegos de deporte;2022;1,0
Cataluña;Deporte en general;2022;6,3
Cataluña;Practicar deporte;2022;5,6
Cataluña;Asistir a espectáculos deportivos;2022;3,9
Cataluña;Acceder a  espectáculos deportivos por medios audiovisuales;2022;4,7
Cataluña;Informarse sobre el  deporte;2022;4,5
Cataluña;Jugar videojuegos vinculados al deporte;2022;1,6
Cataluña;Participar en competiciones de videojuegos de deporte;2022;1,0
Comunitat Valenciana;Deporte en general;2022;6,3
Comunitat Valenciana;Practicar deporte;2022;5,5
Comunitat Valenciana;Asistir a espectáculos deportivos;2022;3,7
Comunitat Valenciana;Acceder a  espectáculos deportivos por medios audiovisuales;2022;4,7
Comunitat Valenciana;Informarse sobre el  deporte;2022;4,2
Comunitat Valenciana;Jugar videojuegos vinculados al deporte;2022;1,4
Comunitat Valenciana;Participar en competiciones de videojuegos de deporte;2022;0,6
Extremadura;Deporte en general;2022;6,1
Extremadura;Practicar deporte;2022;5,4
Extremadura;Asistir a espectáculos deportivos;2022;4,4
Extremadura;Acceder a  espectáculos deportivos por medios audiovisuales;2022;5,3
Extremadura;Informarse sobre el  deporte;2022;4,9
Extremadura;Jugar videojuegos vinculados al deporte;2022;1,5
Extremadura;Participar en competiciones de videojuegos de deporte;2022;0,9
Galicia;Deporte en general;2022;5,9
Galicia;Practicar deporte;2022;5,3
Galicia;Asistir a espectáculos deportivos;2022;3,9
Galicia;Acceder a  espectáculos deportivos por medios audiovisuales;2022;4,9
Galicia;Informarse sobre el  deporte;2022;4,6
Galicia;Jugar videojuegos vinculados al deporte;2022;1,5
Galicia;Participar en competiciones de videojuegos de deporte;2022;0,8
Madrid (Comunidad de);Deporte en general;2022;6,9
Madrid (Comunidad de);Practicar deporte;2022;6,3
Madrid (Comunidad de);Asistir a espectáculos deportivos;2022;4,3
Madrid (Comunidad de);Acceder a  espectáculos deportivos por medios audiovisuales;2022;5,4
Madrid (Comunidad de);Informarse sobre el  deporte;2022;5,2
Madrid (Comunidad de);Jugar videojuegos vinculados al deporte;2022;1,8
Madrid (Comunidad de);Participar en competiciones de videojuegos de deporte;2022;1,2
Murcia (Región de);Deporte en general;2022;6,5
Murcia (Región de);Practicar deporte;2022;5,9
Murcia (Región de);Asistir a espectáculos deportivos;2022;4,0
Murcia (Región de);Acceder a  espectáculos deportivos por medios audiovisuales;2022;5,2
Murcia (Región de);Informarse sobre el  deporte;2022;4,9
Murcia (Región de);Jugar videojuegos vinculados al deporte;2022;1,8
Murcia (Región de);Participar en competiciones de videojuegos de deporte;2022;1,1
Navarra (Comunidad Foral de);Deporte en general;2022;6,1
Navarra (Comunidad Foral de);Practicar deporte;2022;5,8
Navarra (Comunidad Foral de);Asistir a espectáculos deportivos;2022;3,8
Navarra (Comunidad Foral de);Acceder a  espectáculos deportivos por medios audiovisuales;2022;4,8
Navarra (Comunidad Foral de);Informarse sobre el  deporte;2022;4,5
Navarra (Comunidad Foral de);Jugar videojuegos vinculados al deporte;2022;1,1
Navarra (Comunidad Foral de);Participar en competiciones de videojuegos de deporte;2022;0,7
País Vasco;Deporte en general;2022;6,5
País Vasco;Practicar deporte;2022;6,0
País Vasco;Asistir a espectáculos deportivos;2022;4,4
País Vasco;Acceder a  espectáculos deportivos por medios audiovisuales;2022;5,0
País Vasco;Informarse sobre el  deporte;2022;4,8
País Vasco;Jugar videojuegos vinculados al deporte;2022;1,6
