Comunidad autónoma y tamaño del municipio;Motivos;periodo;Total
TOTAL;TOTAL;2022;100
TOTAL;Falta de  tiempo;2022;34,6
TOTAL;Falta de interés;2022;25,4
TOTAL;Motivos de salud;2022;11,0
TOTAL;Por edad;2022;10,8
TOTAL;Motivos económicos;2022;5,8
TOTAL;Falta de instalaciones adecuadas cercanas;2022;7,3
TOTAL;No tener con quien practicarlo;2022;5,2
Andalucía;TOTAL;2022;100
Andalucía;Falta de  tiempo;2022;35,6
Andalucía;Falta de interés;2022;23,8
Andalucía;Motivos de salud;2022;10,9
Andalucía;Por edad;2022;10,0
Andalucía;Motivos económicos;2022;6,0
Andalucía;Falta de instalaciones adecuadas cercanas;2022;8,5
Andalucía;No tener con quien practicarlo;2022;5,1
Aragón;TOTAL;2022;100
Aragón;Falta de  tiempo;2022;34,2
Aragón;Falta de interés;2022;23,9
Aragón;Motivos de salud;2022;12,7
Aragón;Por edad;2022;11,0
Aragón;Motivos económicos;2022;5,5
Aragón;Falta de instalaciones adecuadas cercanas;2022;8,0
Aragón;No tener con quien practicarlo;2022;4,6
Asturias (Principado de);TOTAL;2022;100
Asturias (Principado de);Falta de  tiempo;2022;31,9
Asturias (Principado de);Falta de interés;2022;26,3
Asturias (Principado de);Motivos de salud;2022;13,3
Asturias (Principado de);Por edad;2022;12,8
Asturias (Principado de);Motivos económicos;2022;4,6
Asturias (Principado de);Falta de instalaciones adecuadas cercanas;2022;6,4
Asturias (Principado de);No tener con quien practicarlo;2022;4,6
Balears (Illes);TOTAL;2022;100
Balears (Illes);Falta de  tiempo;2022;35,9
Balears (Illes);Falta de interés;2022;27,4
Balears (Illes);Motivos de salud;2022;11,3
Balears (Illes);Por edad;2022;9,8
Balears (Illes);Motivos económicos;2022;5,1
Balears (Illes);Falta de instalaciones adecuadas cercanas;2022;7,0
Balears (Illes);No tener con quien practicarlo;2022;3,5
Canarias;TOTAL;2022;100
Canarias;Falta de  tiempo;2022;34,9
Canarias;Falta de interés;2022;24,9
Canarias;Motivos de salud;2022;10,6
Canarias;Por edad;2022;9,3
Canarias;Motivos económicos;2022;7,4
Canarias;Falta de instalaciones adecuadas cercanas;2022;7,2
Canarias;No tener con quien practicarlo;2022;5,7
