Comunidad autónoma y tamaño de municipio;Indicador;Frecuencia;periodo;Total
TOTAL;En % de la población de cada colectivo;Total practicaron en el último año;2022;57,3
TOTAL;En % de la población de cada colectivo;Todos los días;2022;23,8
TOTAL;En % de la población de cada colectivo;Al menos una vez a la semana;2022;52,5
TOTAL;En % de la población de cada colectivo;Al menos una vez al mes;2022;56,2
TOTAL;En % de la población de cada colectivo;Al menos una vez al trimestre;2022;56,7
TOTAL;En % de los que practican deporte de cada colectivo;Total practicaron en el último año;2022;100,0
TOTAL;En % de los que practican deporte de cada colectivo;Todos los días;2022;41,5
TOTAL;En % de los que practican deporte de cada colectivo;Al menos una vez a la semana;2022;91,5
TOTAL;En % de los que practican deporte de cada colectivo;Al menos una vez al mes;2022;98,0
TOTAL;En % de los que practican deporte de cada colectivo;Al menos una vez al trimestre;2022;98,9
Andalucía;En % de la población de cada colectivo;Total practicaron en el último año;2022;55,8
Andalucía;En % de la población de cada colectivo;Todos los días;2022;25,8
Andalucía;En % de la población de cada colectivo;Al menos una vez a la semana;2022;51,0
Andalucía;En % de la población de cada colectivo;Al menos una vez al mes;2022;54,9
Andalucía;En % de la población de cada colectivo;Al menos una vez al trimestre;2022;55,4
Andalucía;En % de los que practican deporte de cada colectivo;Total practicaron en el último año;2022;100,0
Andalucía;En % de los que practican deporte de cada colectivo;Todos los días;2022;46,3
Andalucía;En % de los que practican deporte de cada colectivo;Al menos una vez a la semana;2022;91,5
Andalucía;En % de los que practican deporte de cada colectivo;Al menos una vez al mes;2022;98,4
Andalucía;En % de los que practican deporte de cada colectivo;Al menos una vez al trimestre;2022;99,3
Aragón;En % de la población de cada colectivo;Total practicaron en el último año;2022;53,0
Aragón;En % de la población de cada colectivo;Todos los días;2022;23,7
Aragón;En % de la población de cada colectivo;Al menos una vez a la semana;2022;47,3
Aragón;En % de la población de cada colectivo;Al menos una vez al mes;2022;52,3
Aragón;En % de la población de cada colectivo;Al menos una vez al trimestre;2022;52,4
Aragón;En % de los que practican deporte de cada colectivo;Total practicaron en el último año;2022;100,0
Aragón;En % de los que practican deporte de cada colectivo;Todos los días;2022;44,7
Aragón;En % de los que practican deporte de cada colectivo;Al menos una vez a la semana;2022;89,2
Aragón;En % de los que practican deporte de cada colectivo;Al menos una vez al mes;2022;98,5
Aragón;En % de los que practican deporte de cada colectivo;Al menos una vez al trimestre;2022;98,9
Asturias (Principado de);En % de la población de cada colectivo;Total practicaron en el último año;2022;53,3
Asturias (Principado de);En % de la población de cada colectivo;Todos los días;2022;23,8
Asturias (Principado de);En % de la población de cada colectivo;Al menos una vez a la semana;2022;47,7
Asturias (Principado de);En % de la población de cada colectivo;Al menos una vez al mes;2022;52,1
Asturias (Principado de);En % de la población de cada colectivo;Al menos una vez al trimestre;2022;52,4
Asturias (Principado de);En % de los que practican deporte de cada colectivo;Total practicaron en el último año;2022;100,0
