Comunidad autónoma y tamaño del municipio;Indicador;periodo;Total
TOTAL;En porcentaje respecto a la población;2022;52,5
TOTAL;Media semanal (minutos);2022;326,0
Andalucía;En porcentaje respecto a la población;2022;51,0
Andalucía;Media semanal (minutos);2022;350,5
Aragón;En porcentaje respecto a la población;2022;47,3
Aragón;Media semanal (minutos);2022;364,5
Asturias (Principado de);En porcentaje respecto a la población;2022;47,7
Asturias (Principado de);Media semanal (minutos);2022;384,2
Balears (Illes);En porcentaje respecto a la población;2022;51,2
Balears (Illes);Media semanal (minutos);2022;313,6
Canarias;En porcentaje respecto a la población;2022;52,1
Canarias;Media semanal (minutos);2022;343,9
Cantabria;En porcentaje respecto a la población;2022;50,9
Cantabria;Media semanal (minutos);2022;354,6
Castilla y León;En porcentaje respecto a la población;2022;51,9
Castilla y León;Media semanal (minutos);2022;318,7
Castilla-La Mancha;En porcentaje respecto a la población;2022;50,4
Castilla-La Mancha;Media semanal (minutos);2022;317,7
Cataluña;En porcentaje respecto a la población;2022;54,1
Cataluña;Media semanal (minutos);2022;309,0
Comunitat Valenciana;En porcentaje respecto a la población;2022;51,1
Comunitat Valenciana;Media semanal (minutos);2022;287,3
Extremadura;En porcentaje respecto a la población;2022;48,3
Extremadura;Media semanal (minutos);2022;351,5
Galicia;En porcentaje respecto a la población;2022;46,1
Galicia;Media semanal (minutos);2022;357,6
Madrid (Comunidad de);En porcentaje respecto a la población;2022;56,8
Madrid (Comunidad de);Media semanal (minutos);2022;312,4
Murcia (Región de);En porcentaje respecto a la población;2022;55,1
Murcia (Región de);Media semanal (minutos);2022;313,1
Navarra (Comunidad Foral de);En porcentaje respecto a la población;2022;56,0
Navarra (Comunidad Foral de);Media semanal (minutos);2022;317,5
País Vasco;En porcentaje respecto a la población;2022;58,9
País Vasco;Media semanal (minutos);2022;340,2
Rioja (La);En porcentaje respecto a la población;2022;51,8
Rioja (La);Media semanal (minutos);2022;320,7
Ceuta y Melilla;En porcentaje respecto a la población;2022;48,0
Ceuta y Melilla;Media semanal (minutos);2022;352,0
Capitales de provincia;En porcentaje respecto a la población;2022;55,3
Capitales de provincia;Media semanal (minutos);2022;325,5
De más de 50.000 habitantes;En porcentaje respecto a la población;2022;50,2
De más de 50.000 habitantes;Media semanal (minutos);2022;331,2
De menos de 50.001 habitantes;En porcentaje respecto a la población;2022;51,5
De menos de 50.001 habitantes;Media semanal (minutos);2022;324,1
