Comunidad autónoma y tamaño del municipio;Indicador;Disponen de licencia deportiva;periodo;Total
TOTAL;En % de la población total de cada colectivo;TOTAL;2022;100
TOTAL;En % de la población total de cada colectivo;Disponen de licencia deportiva: Total;2022;9,6
TOTAL;En % de la población total de cada colectivo;Disponen de licencia deportiva: Una sola licencia;2022;8,4
TOTAL;En % de la población que practicó deporte en el último año de cada colectivo;TOTAL;2022;100
TOTAL;En % de la población que practicó deporte en el último año de cada colectivo;Disponen de licencia deportiva: Total;2022;15,0
TOTAL;En % de la población que practicó deporte en el último año de cada colectivo;Disponen de licencia deportiva: Una sola licencia;2022;13,2
Andalucía;En % de la población total de cada colectivo;TOTAL;2022;100
Andalucía;En % de la población total de cada colectivo;Disponen de licencia deportiva: Total;2022;8,5
Andalucía;En % de la población total de cada colectivo;Disponen de licencia deportiva: Una sola licencia;2022;8,3
Andalucía;En % de la población que practicó deporte en el último año de cada colectivo;TOTAL;2022;100
Andalucía;En % de la población que practicó deporte en el último año de cada colectivo;Disponen de licencia deportiva: Total;2022;12,5
Andalucía;En % de la población que practicó deporte en el último año de cada colectivo;Disponen de licencia deportiva: Una sola licencia;2022;12,1
Aragón;En % de la población total de cada colectivo;TOTAL;2022;100
Aragón;En % de la población total de cada colectivo;Disponen de licencia deportiva: Total;2022;9,3
Aragón;En % de la población total de cada colectivo;Disponen de licencia deportiva: Una sola licencia;2022;7,9
Aragón;En % de la población que practicó deporte en el último año de cada colectivo;TOTAL;2022;100
Aragón;En % de la población que practicó deporte en el último año de cada colectivo;Disponen de licencia deportiva: Total;2022;17,0
Aragón;En % de la población que practicó deporte en el último año de cada colectivo;Disponen de licencia deportiva: Una sola licencia;2022;14,5
Asturias (Principado de);En % de la población total de cada colectivo;TOTAL;2022;100
Asturias (Principado de);En % de la población total de cada colectivo;Disponen de licencia deportiva: Total;2022;11,2
Asturias (Principado de);En % de la población total de cada colectivo;Disponen de licencia deportiva: Una sola licencia;2022;10,0
Asturias (Principado de);En % de la población que practicó deporte en el último año de cada colectivo;TOTAL;2022;100
Asturias (Principado de);En % de la población que practicó deporte en el último año de cada colectivo;Disponen de licencia deportiva: Total;2022;19,4
Asturias (Principado de);En % de la población que practicó deporte en el último año de cada colectivo;Disponen de licencia deportiva: Una sola licencia;2022;17,6
Balears (Illes);En % de la población total de cada colectivo;TOTAL;2022;100
Balears (Illes);En % de la población total de cada colectivo;Disponen de licencia deportiva: Total;2022;12,1
Balears (Illes);En % de la población total de cada colectivo;Disponen de licencia deportiva: Una sola licencia;2022;9,8
Balears (Illes);En % de la población que practicó deporte en el último año de cada colectivo;TOTAL;2022;100
Balears (Illes);En % de la población que practicó deporte en el último año de cada colectivo;Disponen de licencia deportiva: Total;2022;18,6
Balears (Illes);En % de la población que practicó deporte en el último año de cada colectivo;Disponen de licencia deportiva: Una sola licencia;2022;15,0
Canarias;En % de la población total de cada colectivo;TOTAL;2022;100
Canarias;En % de la población total de cada colectivo;Disponen de licencia deportiva: Total;2022;8,8
Canarias;En % de la población total de cada colectivo;Disponen de licencia deportiva: Una sola licencia;2022;7,8
Canarias;En % de la población que practicó deporte en el último año de cada colectivo;TOTAL;2022;100
Canarias;En % de la población que practicó deporte en el último año de cada colectivo;Disponen de licencia deportiva: Total;2022;13,8
Canarias;En % de la población que practicó deporte en el último año de cada colectivo;Disponen de licencia deportiva: Una sola licencia;2022;11,9
