Comunidad autónoma y tamaño del municipio;Indicador;Abonados;periodo;Total
TOTAL;En % de la población total de cada colectivo;Total;2022;100
TOTAL;En % de la población total de cada colectivo;Abonados o socios: Total;2022;31,2
TOTAL;En % de la población total de cada colectivo;Abonados o socios: Públicos;2022;11,1
TOTAL;En % de la población total de cada colectivo;Abonados o socios: Privados;2022;21,9
TOTAL;En % de la población total de cada colectivo;Abonados o socios de gimnasios: Total;2022;20,6
TOTAL;En % de la población total de cada colectivo;Abonados o socios de gimnasios: Públicos;2022;6,5
TOTAL;En % de la población total de cada colectivo;Abonados o socios de gimnasios: Privados;2022;14,6
TOTAL;En % de la población total de cada colectivo;Abonados o socios a otras asociaciones o clubs: Total;2022;13,8
TOTAL;En % de la población total de cada colectivo;Abonados o socios a otras asociaciones o clubs: Públicos;2022;5,1
TOTAL;En % de la población total de cada colectivo;Abonados o socios a otras asociaciones o clubs: Privados;2022;9,3
TOTAL;En % de la población que practicó deporte en el último año de cada colectivo;Total;2022;100
TOTAL;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios: Total;2022;48,5
TOTAL;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios: Públicos;2022;17,3
TOTAL;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios: Privados;2022;34,1
TOTAL;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios de gimnasios: Total;2022;32,6
TOTAL;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios de gimnasios: Públicos;2022;10,2
TOTAL;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios de gimnasios: Privados;2022;23,3
TOTAL;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios a otras asociaciones o clubs: Total;2022;21,0
TOTAL;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios a otras asociaciones o clubs: Públicos;2022;8,0
TOTAL;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios a otras asociaciones o clubs: Privados;2022;14,0
Andalucía;En % de la población total de cada colectivo;Total;2022;100
Andalucía;En % de la población total de cada colectivo;Abonados o socios: Total;2022;28,3
Andalucía;En % de la población total de cada colectivo;Abonados o socios: Públicos;2022;8,1
Andalucía;En % de la población total de cada colectivo;Abonados o socios: Privados;2022;21,3
Andalucía;En % de la población total de cada colectivo;Abonados o socios de gimnasios: Total;2022;19,7
Andalucía;En % de la población total de cada colectivo;Abonados o socios de gimnasios: Públicos;2022;4,9
Andalucía;En % de la población total de cada colectivo;Abonados o socios de gimnasios: Privados;2022;15,3
Andalucía;En % de la población total de cada colectivo;Abonados o socios a otras asociaciones o clubs: Total;2022;11,1
Andalucía;En % de la población total de cada colectivo;Abonados o socios a otras asociaciones o clubs: Públicos;2022;3,6
Andalucía;En % de la población total de cada colectivo;Abonados o socios a otras asociaciones o clubs: Privados;2022;7,7
Andalucía;En % de la población que practicó deporte en el último año de cada colectivo;Total;2022;100
Andalucía;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios: Total;2022;45,1
Andalucía;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios: Públicos;2022;12,7
Andalucía;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios: Privados;2022;34,3
Andalucía;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios de gimnasios: Total;2022;32,3
Andalucía;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios de gimnasios: Públicos;2022;7,7
Andalucía;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios de gimnasios: Privados;2022;25,4
Andalucía;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios a otras asociaciones o clubs: Total;2022;16,3
Andalucía;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios a otras asociaciones o clubs: Públicos;2022;5,3
Andalucía;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios a otras asociaciones o clubs: Privados;2022;11,3
Aragón;En % de la población total de cada colectivo;Total;2022;100
Aragón;En % de la población total de cada colectivo;Abonados o socios: Total;2022;31,4
Aragón;En % de la población total de cada colectivo;Abonados o socios: Públicos;2022;8,4
Aragón;En % de la población total de cada colectivo;Abonados o socios: Privados;2022;24,3
Aragón;En % de la población total de cada colectivo;Abonados o socios de gimnasios: Total;2022;18,5
Aragón;En % de la población total de cada colectivo;Abonados o socios de gimnasios: Públicos;2022;5,7
Aragón;En % de la población total de cada colectivo;Abonados o socios de gimnasios: Privados;2022;13,2
Aragón;En % de la población total de cada colectivo;Abonados o socios a otras asociaciones o clubs: Total;2022;16,2
Aragón;En % de la población total de cada colectivo;Abonados o socios a otras asociaciones o clubs: Públicos;2022;2,9
Aragón;En % de la población total de cada colectivo;Abonados o socios a otras asociaciones o clubs: Privados;2022;13,8
Aragón;En % de la población que practicó deporte en el último año de cada colectivo;Total;2022;100
Aragón;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios: Total;2022;52,8
Aragón;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios: Públicos;2022;14,2
Aragón;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios: Privados;2022;41,0
Aragón;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios de gimnasios: Total;2022;32,2
Aragón;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios de gimnasios: Públicos;2022;9,8
Aragón;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios de gimnasios: Privados;2022;23,0
Aragón;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios a otras asociaciones o clubs: Total;2022;27,0
Aragón;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios a otras asociaciones o clubs: Públicos;2022;4,9
Aragón;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios a otras asociaciones o clubs: Privados;2022;23,0
Asturias (Principado de);En % de la población total de cada colectivo;Total;2022;100
Asturias (Principado de);En % de la población total de cada colectivo;Abonados o socios: Total;2022;33,1
Asturias (Principado de);En % de la población total de cada colectivo;Abonados o socios: Públicos;2022;10,3
Asturias (Principado de);En % de la población total de cada colectivo;Abonados o socios: Privados;2022;24,3
Asturias (Principado de);En % de la población total de cada colectivo;Abonados o socios de gimnasios: Total;2022;20,0
Asturias (Principado de);En % de la población total de cada colectivo;Abonados o socios de gimnasios: Públicos;2022;6,4
Asturias (Principado de);En % de la población total de cada colectivo;Abonados o socios de gimnasios: Privados;2022;14,0
Asturias (Principado de);En % de la población total de cada colectivo;Abonados o socios a otras asociaciones o clubs: Total;2022;16,4
Asturias (Principado de);En % de la población total de cada colectivo;Abonados o socios a otras asociaciones o clubs: Públicos;2022;4,5
Asturias (Principado de);En % de la población total de cada colectivo;Abonados o socios a otras asociaciones o clubs: Privados;2022;12,5
Asturias (Principado de);En % de la población que practicó deporte en el último año de cada colectivo;Total;2022;100
Asturias (Principado de);En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios: Total;2022;53,5
Asturias (Principado de);En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios: Públicos;2022;17,0
Asturias (Principado de);En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios: Privados;2022;39,4
Asturias (Principado de);En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios de gimnasios: Total;2022;34,2
Asturias (Principado de);En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios de gimnasios: Públicos;2022;10,0
Asturias (Principado de);En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios de gimnasios: Privados;2022;25,0
Asturias (Principado de);En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios a otras asociaciones o clubs: Total;2022;25,2
Asturias (Principado de);En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios a otras asociaciones o clubs: Públicos;2022;8,2
Asturias (Principado de);En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios a otras asociaciones o clubs: Privados;2022;18,2
Balears (Illes);En % de la población total de cada colectivo;Total;2022;100
Balears (Illes);En % de la población total de cada colectivo;Abonados o socios: Total;2022;30,9
Balears (Illes);En % de la población total de cada colectivo;Abonados o socios: Públicos;2022;9,1
Balears (Illes);En % de la población total de cada colectivo;Abonados o socios: Privados;2022;24,3
Balears (Illes);En % de la población total de cada colectivo;Abonados o socios de gimnasios: Total;2022;20,8
