Comunidad autónoma-tamaño de municipio;Indicador;Total
TOTAL;Deporte en general;6,1
TOTAL;Practicar deporte;5,7
TOTAL;Asistir a espectáculos deportivos;3,9
TOTAL;Acceder a  espectáculos deportivos por medios audiovisuales;4,9
TOTAL;Informarse sobre el  deporte;4,6
TOTAL;Jugar videojuegos vinculados al deporte;1,6
TOTAL;Participar en competiciones de videojuegos de deporte;0,8
Andalucía;Deporte en general;6,1
Andalucía;Practicar deporte;5,8
Andalucía;Asistir a espectáculos deportivos;4,1
Andalucía;Acceder a  espectáculos deportivos por medios audiovisuales;5,0
Andalucía;Informarse sobre el  deporte;4,7
Andalucía;Jugar videojuegos vinculados al deporte;1,7
Andalucía;Participar en competiciones de videojuegos de deporte;0,8
Aragón;Deporte en general;5,7
Aragón;Practicar deporte;5,2
Aragón;Asistir a espectáculos deportivos;3,8
Aragón;Acceder a  espectáculos deportivos por medios audiovisuales;4,8
Aragón;Informarse sobre el  deporte;4,6
Aragón;Jugar videojuegos vinculados al deporte;1,5
Aragón;Participar en competiciones de videojuegos de deporte;0,7
Asturias, Principado de;Deporte en general;5,7
Asturias, Principado de;Practicar deporte;5,3
Asturias, Principado de;Asistir a espectáculos deportivos;3,8
Asturias, Principado de;Acceder a  espectáculos deportivos por medios audiovisuales;4,9
Asturias, Principado de;Informarse sobre el  deporte;4,7
Asturias, Principado de;Jugar videojuegos vinculados al deporte;1,1
Asturias, Principado de;Participar en competiciones de videojuegos de deporte;0,5
Balears, Illes;Deporte en general;6,5
Balears, Illes;Practicar deporte;6,1
Balears, Illes;Asistir a espectáculos deportivos;4,1
Balears, Illes;Acceder a  espectáculos deportivos por medios audiovisuales;4,9
Balears, Illes;Informarse sobre el  deporte;4,6
Balears, Illes;Jugar videojuegos vinculados al deporte;1,5
Balears, Illes;Participar en competiciones de videojuegos de deporte;0,6
Canarias;Deporte en general;5,9
Canarias;Practicar deporte;5,5
Canarias;Asistir a espectáculos deportivos;3,8
Canarias;Acceder a  espectáculos deportivos por medios audiovisuales;4,8
Canarias;Informarse sobre el  deporte;4,3
Canarias;Jugar videojuegos vinculados al deporte;1,7
Canarias;Participar en competiciones de videojuegos de deporte;0,8
Cantabria;Deporte en general;5,6
Cantabria;Practicar deporte;5,4
Cantabria;Asistir a espectáculos deportivos;3,7
Cantabria;Acceder a  espectáculos deportivos por medios audiovisuales;4,7
Cantabria;Informarse sobre el  deporte;4,4
Cantabria;Jugar videojuegos vinculados al deporte;1,3
Cantabria;Participar en competiciones de videojuegos de deporte;0,6
Castilla y León;Deporte en general;5,9
Castilla y León;Practicar deporte;5,4
Castilla y León;Asistir a espectáculos deportivos;3,8
Castilla y León;Acceder a  espectáculos deportivos por medios audiovisuales;4,9
Castilla y León;Informarse sobre el  deporte;4,5
Castilla y León;Jugar videojuegos vinculados al deporte;1,3
Castilla y León;Participar en competiciones de videojuegos de deporte;0,8
Castilla-La Mancha;Deporte en general;6,2
Castilla-La Mancha;Practicar deporte;5,6
Castilla-La Mancha;Asistir a espectáculos deportivos;4,1
Castilla-La Mancha;Acceder a  espectáculos deportivos por medios audiovisuales;5,3
Castilla-La Mancha;Informarse sobre el  deporte;5,1
Castilla-La Mancha;Jugar videojuegos vinculados al deporte;1,7
Castilla-La Mancha;Participar en competiciones de videojuegos de deporte;0,9
Cataluña;Deporte en general;6,3
Cataluña;Practicar deporte;6,0
Cataluña;Asistir a espectáculos deportivos;4,0
Cataluña;Acceder a  espectáculos deportivos por medios audiovisuales;4,9
Cataluña;Informarse sobre el  deporte;4,6
Cataluña;Jugar videojuegos vinculados al deporte;1,6
Cataluña;Participar en competiciones de videojuegos de deporte;0,8
Comunitat Valenciana;Deporte en general;6,2
Comunitat Valenciana;Practicar deporte;5,6
Comunitat Valenciana;Asistir a espectáculos deportivos;3,8
Comunitat Valenciana;Acceder a  espectáculos deportivos por medios audiovisuales;4,9
Comunitat Valenciana;Informarse sobre el  deporte;4,7
Comunitat Valenciana;Jugar videojuegos vinculados al deporte;1,5
Comunitat Valenciana;Participar en competiciones de videojuegos de deporte;0,8
Extremadura;Deporte en general;5,9
Extremadura;Practicar deporte;5,5
Extremadura;Asistir a espectáculos deportivos;3,9
Extremadura;Acceder a  espectáculos deportivos por medios audiovisuales;4,5
Extremadura;Informarse sobre el  deporte;4,5
Extremadura;Jugar videojuegos vinculados al deporte;1,5
Extremadura;Participar en competiciones de videojuegos de deporte;0,8
Galicia;Deporte en general;5,3
Galicia;Practicar deporte;4,8
Galicia;Asistir a espectáculos deportivos;3,3
Galicia;Acceder a  espectáculos deportivos por medios audiovisuales;4,4
Galicia;Informarse sobre el  deporte;4,1
Galicia;Jugar videojuegos vinculados al deporte;1,3
Galicia;Participar en competiciones de videojuegos de deporte;0,7
Madrid, Comunidad de;Deporte en general;6,5
Madrid, Comunidad de;Practicar deporte;5,9
Madrid, Comunidad de;Asistir a espectáculos deportivos;4,0
Madrid, Comunidad de;Acceder a  espectáculos deportivos por medios audiovisuales;5,2
Madrid, Comunidad de;Informarse sobre el  deporte;4,8
Madrid, Comunidad de;Jugar videojuegos vinculados al deporte;1,7
Madrid, Comunidad de;Participar en competiciones de videojuegos de deporte;0,8
Murcia, Región de;Deporte en general;6,1
Murcia, Región de;Practicar deporte;5,5
Murcia, Región de;Asistir a espectáculos deportivos;3,8
Murcia, Región de;Acceder a  espectáculos deportivos por medios audiovisuales;4,7
Murcia, Región de;Informarse sobre el  deporte;4,3
Murcia, Región de;Jugar videojuegos vinculados al deporte;1,5
Murcia, Región de;Participar en competiciones de videojuegos de deporte;0,9
Navarra, Comunidad Foral de;Deporte en general;6,2
Navarra, Comunidad Foral de;Practicar deporte;6,0
Navarra, Comunidad Foral de;Asistir a espectáculos deportivos;4,1
Navarra, Comunidad Foral de;Acceder a  espectáculos deportivos por medios audiovisuales;4,9
Navarra, Comunidad Foral de;Informarse sobre el  deporte;4,7
Navarra, Comunidad Foral de;Jugar videojuegos vinculados al deporte;1,4
Navarra, Comunidad Foral de;Participar en competiciones de videojuegos de deporte;0,6
País Vasco;Deporte en general;6,1
País Vasco;Practicar deporte;5,9
País Vasco;Asistir a espectáculos deportivos;4,0
País Vasco;Acceder a  espectáculos deportivos por medios audiovisuales;4,9
País Vasco;Informarse sobre el  deporte;4,7
País Vasco;Jugar videojuegos vinculados al deporte;1,5
País Vasco;Participar en competiciones de videojuegos de deporte;0,7
Rioja, La;Deporte en general;5,7
Rioja, La;Practicar deporte;5,4
Rioja, La;Asistir a espectáculos deportivos;3,7
Rioja, La;Acceder a  espectáculos deportivos por medios audiovisuales;4,5
Rioja, La;Informarse sobre el  deporte;4,4
Rioja, La;Jugar videojuegos vinculados al deporte;1,4
Rioja, La;Participar en competiciones de videojuegos de deporte;0,7
Ceuta y Melilla;Deporte en general;5,7
Ceuta y Melilla;Practicar deporte;5,2
Ceuta y Melilla;Asistir a espectáculos deportivos;3,7
Ceuta y Melilla;Acceder a  espectáculos deportivos por medios audiovisuales;4,8
Ceuta y Melilla;Informarse sobre el  deporte;4,5
Ceuta y Melilla;Jugar videojuegos vinculados al deporte;2,3
Ceuta y Melilla;Participar en competiciones de videojuegos de deporte;1,3
Capitales de provincia;Deporte en general;6,1
Capitales de provincia;Practicar deporte;5,7
Capitales de provincia;Asistir a espectáculos deportivos;4,0
Capitales de provincia;Acceder a  espectáculos deportivos por medios audiovisuales;5,0
Capitales de provincia;Informarse sobre el  deporte;4,8
Capitales de provincia;Jugar videojuegos vinculados al deporte;1,5
Capitales de provincia;Participar en competiciones de videojuegos de deporte;0,8
De más de 50.000 habitantes;Deporte en general;6,2
De más de 50.000 habitantes;Practicar deporte;5,7
De más de 50.000 habitantes;Asistir a espectáculos deportivos;3,9
De más de 50.000 habitantes;Acceder a  espectáculos deportivos por medios audiovisuales;5,0
De más de 50.000 habitantes;Informarse sobre el  deporte;4,7
De más de 50.000 habitantes;Jugar videojuegos vinculados al deporte;1,6
De más de 50.000 habitantes;Participar en competiciones de videojuegos de deporte;0,8
De menos de 50.001 habitantes;Deporte en general;6,1
De menos de 50.001 habitantes;Practicar deporte;5,7
De menos de 50.001 habitantes;Asistir a espectáculos deportivos;3,9
De menos de 50.001 habitantes;Acceder a  espectáculos deportivos por medios audiovisuales;4,8
De menos de 50.001 habitantes;Informarse sobre el  deporte;4,5
De menos de 50.001 habitantes;Jugar videojuegos vinculados al deporte;1,5
De menos de 50.001 habitantes;Participar en competiciones de videojuegos de deporte;0,8
