Comunidad autónoma-tamaño de municipio;Causa;Total
TOTAL;TOTAL;100,0
TOTAL;Falta de tiempo;26,3
TOTAL;Falta de interés;11,9
TOTAL;Por edad;11,7
TOTAL;Ya considera practicar suficiente;11,4
TOTAL;Responsabilidades familiares;11,3
TOTAL;Motivos de salud;10,6
TOTAL;Motivos económicos;5,2
TOTAL;Incompatibilidad horaria con las instalaciones;4,3
TOTAL;Falta de instalaciones adecuadas;4,3
TOTAL;No tener con quien practicarlo;3,9
Andalucía;TOTAL;100,0
Andalucía;Falta de tiempo;27,0
Andalucía;Falta de interés;11,4
Andalucía;Por edad;11,2
Andalucía;Ya considera practicar suficiente;10,1
Andalucía;Responsabilidades familiares;12,2
Andalucía;Motivos de salud;9,9
Andalucía;Motivos económicos;5,9
Andalucía;Incompatibilidad horaria con las instalaciones;5,0
Andalucía;Falta de instalaciones adecuadas;4,5
Andalucía;No tener con quien practicarlo;3,6
Aragón;TOTAL;100,0
Aragón;Falta de tiempo;26,6
Aragón;Falta de interés;12,0
Aragón;Por edad;12,0
Aragón;Ya considera practicar suficiente;10,6
Aragón;Responsabilidades familiares;12,4
Aragón;Motivos de salud;11,9
Aragón;Motivos económicos;4,6
Aragón;Incompatibilidad horaria con las instalaciones;2,0
Aragón;Falta de instalaciones adecuadas;5,1
Aragón;No tener con quien practicarlo;3,3
Asturias, Principado de;TOTAL;100,0
Asturias, Principado de;Falta de tiempo;23,8
Asturias, Principado de;Falta de interés;12,0
Asturias, Principado de;Por edad;13,3
Asturias, Principado de;Ya considera practicar suficiente;13,8
Asturias, Principado de;Responsabilidades familiares;8,4
Asturias, Principado de;Motivos de salud;13,5
Asturias, Principado de;Motivos económicos;3,2
Asturias, Principado de;Incompatibilidad horaria con las instalaciones;5,4
Asturias, Principado de;Falta de instalaciones adecuadas;4,1
Asturias, Principado de;No tener con quien practicarlo;3,4
Balears, Illes;TOTAL;100,0
Balears, Illes;Falta de tiempo;27,1
Balears, Illes;Falta de interés;10,5
Balears, Illes;Por edad;9,8
Balears, Illes;Ya considera practicar suficiente;12,5
Balears, Illes;Responsabilidades familiares;11,1
Balears, Illes;Motivos de salud;10,6
Balears, Illes;Motivos económicos;5,6
Balears, Illes;Incompatibilidad horaria con las instalaciones;3,4
Balears, Illes;Falta de instalaciones adecuadas;5,6
Balears, Illes;No tener con quien practicarlo;4,6
Canarias;TOTAL;100,0
Canarias;Falta de tiempo;22,9
Canarias;Falta de interés;13,8
Canarias;Por edad;12,7
Canarias;Ya considera practicar suficiente;10,8
Canarias;Responsabilidades familiares;11,0
Canarias;Motivos de salud;9,2
Canarias;Motivos económicos;6,0
Canarias;Incompatibilidad horaria con las instalaciones;4,0
Canarias;Falta de instalaciones adecuadas;5,1
Canarias;No tener con quien practicarlo;5,1
Cantabria;TOTAL;100,0
Cantabria;Falta de tiempo;23,7
Cantabria;Falta de interés;12,5
Cantabria;Por edad;13,0
Cantabria;Ya considera practicar suficiente;9,2
Cantabria;Responsabilidades familiares;11,5
Cantabria;Motivos de salud;13,7
Cantabria;Motivos económicos;5,7
