Comunidad autónoma-tamaño de municipio;Indicador;Frecuencia;Total
TOTAL;En % de la población de cada colectivo;Total practicaron en el último año;62,7
TOTAL;En % de la población de cada colectivo;Todos los días;25,5
TOTAL;En % de la población de cada colectivo;Al menos una vez a la semana;53,9
TOTAL;En % de la población de cada colectivo;Al menos una vez al mes;59,9
TOTAL;En % de la población de cada colectivo;Al menos una vez al trimestre;61,7
TOTAL;En % de los que practican deporte de cada colectivo;Total practicaron en el último año;100,0
TOTAL;En % de los que practican deporte de cada colectivo;Todos los días;40,7
TOTAL;En % de los que practican deporte de cada colectivo;Al menos una vez a la semana;86,0
TOTAL;En % de los que practican deporte de cada colectivo;Al menos una vez al mes;95,5
TOTAL;En % de los que practican deporte de cada colectivo;Al menos una vez al trimestre;98,4
Andalucía;En % de la población de cada colectivo;Total practicaron en el último año;61,1
Andalucía;En % de la población de cada colectivo;Todos los días;27,4
Andalucía;En % de la población de cada colectivo;Al menos una vez a la semana;53,3
Andalucía;En % de la población de cada colectivo;Al menos una vez al mes;59,3
Andalucía;En % de la población de cada colectivo;Al menos una vez al trimestre;60,9
Andalucía;En % de los que practican deporte de cada colectivo;Total practicaron en el último año;100,0
Andalucía;En % de los que practican deporte de cada colectivo;Todos los días;44,8
Andalucía;En % de los que practican deporte de cada colectivo;Al menos una vez a la semana;87,2
Andalucía;En % de los que practican deporte de cada colectivo;Al menos una vez al mes;97,0
Andalucía;En % de los que practican deporte de cada colectivo;Al menos una vez al trimestre;99,7
Aragón;En % de la población de cada colectivo;Total practicaron en el último año;60,6
Aragón;En % de la población de cada colectivo;Todos los días;25,3
Aragón;En % de la población de cada colectivo;Al menos una vez a la semana;51,3
Aragón;En % de la población de cada colectivo;Al menos una vez al mes;56,6
Aragón;En % de la población de cada colectivo;Al menos una vez al trimestre;59,0
Aragón;En % de los que practican deporte de cada colectivo;Total practicaron en el último año;100,0
Aragón;En % de los que practican deporte de cada colectivo;Todos los días;41,7
Aragón;En % de los que practican deporte de cada colectivo;Al menos una vez a la semana;84,7
Aragón;En % de los que practican deporte de cada colectivo;Al menos una vez al mes;93,3
Aragón;En % de los que practican deporte de cada colectivo;Al menos una vez al trimestre;97,3
Asturias, Principado de;En % de la población de cada colectivo;Total practicaron en el último año;57,1
Asturias, Principado de;En % de la población de cada colectivo;Todos los días;24,5
Asturias, Principado de;En % de la población de cada colectivo;Al menos una vez a la semana;49,2
Asturias, Principado de;En % de la población de cada colectivo;Al menos una vez al mes;53,6
Asturias, Principado de;En % de la población de cada colectivo;Al menos una vez al trimestre;55,8
Asturias, Principado de;En % de los que practican deporte de cada colectivo;Total practicaron en el último año;100,0
Asturias, Principado de;En % de los que practican deporte de cada colectivo;Todos los días;42,9
Asturias, Principado de;En % de los que practican deporte de cada colectivo;Al menos una vez a la semana;86,2
Asturias, Principado de;En % de los que practican deporte de cada colectivo;Al menos una vez al mes;93,8
Asturias, Principado de;En % de los que practican deporte de cada colectivo;Al menos una vez al trimestre;97,7
Balears, Illes;En % de la población de cada colectivo;Total practicaron en el último año;69,6
Balears, Illes;En % de la población de cada colectivo;Todos los días;30,6
Balears, Illes;En % de la población de cada colectivo;Al menos una vez a la semana;61,1
Balears, Illes;En % de la población de cada colectivo;Al menos una vez al mes;66,5
Balears, Illes;En % de la población de cada colectivo;Al menos una vez al trimestre;68,4
Balears, Illes;En % de los que practican deporte de cada colectivo;Total practicaron en el último año;100,0
Balears, Illes;En % de los que practican deporte de cada colectivo;Todos los días;44,0
Balears, Illes;En % de los que practican deporte de cada colectivo;Al menos una vez a la semana;87,8
Balears, Illes;En % de los que practican deporte de cada colectivo;Al menos una vez al mes;95,6
Balears, Illes;En % de los que practican deporte de cada colectivo;Al menos una vez al trimestre;98,4
Canarias;En % de la población de cada colectivo;Total practicaron en el último año;59,9
Canarias;En % de la población de cada colectivo;Todos los días;21,9
Canarias;En % de la población de cada colectivo;Al menos una vez a la semana;49,5
Canarias;En % de la población de cada colectivo;Al menos una vez al mes;55,2
Canarias;En % de la población de cada colectivo;Al menos una vez al trimestre;58,0
Canarias;En % de los que practican deporte de cada colectivo;Total practicaron en el último año;100,0
Canarias;En % de los que practican deporte de cada colectivo;Todos los días;36,6
Canarias;En % de los que practican deporte de cada colectivo;Al menos una vez a la semana;82,7
Canarias;En % de los que practican deporte de cada colectivo;Al menos una vez al mes;92,3
Canarias;En % de los que practican deporte de cada colectivo;Al menos una vez al trimestre;96,9
Cantabria;En % de la población de cada colectivo;Total practicaron en el último año;56,5
Cantabria;En % de la población de cada colectivo;Todos los días;23,2
