Comunidad autónoma-tamaño de municipio;Indicador;Total
TOTAL;En porcentaje respecto a la población;53,9
TOTAL;Media semanal (minutos);306,0
Andalucía;En porcentaje respecto a la población;53,3
Andalucía;Media semanal (minutos);314,3
Aragón;En porcentaje respecto a la población;51,3
Aragón;Media semanal (minutos);314,2
Asturias, Principado de;En porcentaje respecto a la población;49,2
Asturias, Principado de;Media semanal (minutos);358,0
Balears, Illes;En porcentaje respecto a la población;61,1
Balears, Illes;Media semanal (minutos);349,7
Canarias;En porcentaje respecto a la población;49,5
Canarias;Media semanal (minutos);283,1
Cantabria;En porcentaje respecto a la población;49,2
Cantabria;Media semanal (minutos);340,7
Castilla y León;En porcentaje respecto a la población;52,7
Castilla y León;Media semanal (minutos);341,4
Castilla-La Mancha;En porcentaje respecto a la población;53,2
Castilla-La Mancha;Media semanal (minutos);284,2
Cataluña;En porcentaje respecto a la población;57,0
Cataluña;Media semanal (minutos);288,9
Comunitat Valenciana;En porcentaje respecto a la población;54,2
Comunitat Valenciana;Media semanal (minutos);315,5
Extremadura;En porcentaje respecto a la población;52,2
Extremadura;Media semanal (minutos);325,0
Galicia;En porcentaje respecto a la población;42,2
Galicia;Media semanal (minutos);290,3
Madrid, Comunidad de;En porcentaje respecto a la población;56,8
Madrid, Comunidad de;Media semanal (minutos);297,6
Murcia, Región de;En porcentaje respecto a la población;53,3
Murcia, Región de;Media semanal (minutos);260,8
Navarra, Comunidad Foral de;En porcentaje respecto a la población;60,1
Navarra, Comunidad Foral de;Media semanal (minutos);318,4
País Vasco;En porcentaje respecto a la población;57,5
País Vasco;Media semanal (minutos);320,2
Rioja, La;En porcentaje respecto a la población;52,9
Rioja, La;Media semanal (minutos);293,1
Ceuta y Melilla;En porcentaje respecto a la población;47,6
Ceuta y Melilla;Media semanal (minutos);287,6
Capitales de provincia;En porcentaje respecto a la población;55,8
Capitales de provincia;Media semanal (minutos);303,8
De más de 50.000 habitantes;En porcentaje respecto a la población;53,4
De más de 50.000 habitantes;Media semanal (minutos);309,8
De menos de 50.001 habitantes;En porcentaje respecto a la población;52,8
De menos de 50.001 habitantes;Media semanal (minutos);305,9
