Comunidad autónoma-tamaño de municipio;Indicador;Tipo de licencia;Total
TOTAL;En % de la población total de cada colectivo;TOTAL;100
TOTAL;En % de la población total de cada colectivo;Disponen de licencia deportiva: Total;10,0
TOTAL;En % de la población total de cada colectivo;Disponen de licencia deportiva: Una sola licencia;8,9
TOTAL;En % de la población que practicó deporte en el último año de cada colectivo;TOTAL;100
TOTAL;En % de la población que practicó deporte en el último año de cada colectivo;Disponen de licencia deportiva: Total;14,3
TOTAL;En % de la población que practicó deporte en el último año de cada colectivo;Disponen de licencia deportiva: Una sola licencia;12,8
Andalucía;En % de la población total de cada colectivo;TOTAL;100
Andalucía;En % de la población total de cada colectivo;Disponen de licencia deportiva: Total;8,4
Andalucía;En % de la población total de cada colectivo;Disponen de licencia deportiva: Una sola licencia;7,4
Andalucía;En % de la población que practicó deporte en el último año de cada colectivo;TOTAL;100
Andalucía;En % de la población que practicó deporte en el último año de cada colectivo;Disponen de licencia deportiva: Total;11,8
Andalucía;En % de la población que practicó deporte en el último año de cada colectivo;Disponen de licencia deportiva: Una sola licencia;10,4
Aragón;En % de la población total de cada colectivo;TOTAL;100
Aragón;En % de la población total de cada colectivo;Disponen de licencia deportiva: Total;11,7
Aragón;En % de la población total de cada colectivo;Disponen de licencia deportiva: Una sola licencia;9,5
Aragón;En % de la población que practicó deporte en el último año de cada colectivo;TOTAL;100
Aragón;En % de la población que practicó deporte en el último año de cada colectivo;Disponen de licencia deportiva: Total;17,1
Aragón;En % de la población que practicó deporte en el último año de cada colectivo;Disponen de licencia deportiva: Una sola licencia;14,7
Asturias, Principado de;En % de la población total de cada colectivo;TOTAL;100
Asturias, Principado de;En % de la población total de cada colectivo;Disponen de licencia deportiva: Total;14,0
Asturias, Principado de;En % de la población total de cada colectivo;Disponen de licencia deportiva: Una sola licencia;12,2
Asturias, Principado de;En % de la población que practicó deporte en el último año de cada colectivo;TOTAL;100
Asturias, Principado de;En % de la población que practicó deporte en el último año de cada colectivo;Disponen de licencia deportiva: Total;22,1
Asturias, Principado de;En % de la población que practicó deporte en el último año de cada colectivo;Disponen de licencia deportiva: Una sola licencia;19,0
Balears, Illes;En % de la población total de cada colectivo;TOTAL;100
Balears, Illes;En % de la población total de cada colectivo;Disponen de licencia deportiva: Total;13,5
Balears, Illes;En % de la población total de cada colectivo;Disponen de licencia deportiva: Una sola licencia;12,0
Balears, Illes;En % de la población que practicó deporte en el último año de cada colectivo;TOTAL;100
Balears, Illes;En % de la población que practicó deporte en el último año de cada colectivo;Disponen de licencia deportiva: Total;18,9
Balears, Illes;En % de la población que practicó deporte en el último año de cada colectivo;Disponen de licencia deportiva: Una sola licencia;16,7
Canarias;En % de la población total de cada colectivo;TOTAL;100
Canarias;En % de la población total de cada colectivo;Disponen de licencia deportiva: Total;7,7
Canarias;En % de la población total de cada colectivo;Disponen de licencia deportiva: Una sola licencia;6,7
Canarias;En % de la población que practicó deporte en el último año de cada colectivo;TOTAL;100
Canarias;En % de la población que practicó deporte en el último año de cada colectivo;Disponen de licencia deportiva: Total;11,7
Canarias;En % de la población que practicó deporte en el último año de cada colectivo;Disponen de licencia deportiva: Una sola licencia;10,1
Cantabria;En % de la población total de cada colectivo;TOTAL;100
Cantabria;En % de la población total de cada colectivo;Disponen de licencia deportiva: Total;12,3
Cantabria;En % de la población total de cada colectivo;Disponen de licencia deportiva: Una sola licencia;11,1
