Comunidad autónoma-tamaño del municipio;Indicador;Tipo de pertenencia;Total
TOTAL;En % de la población total de cada colectivo;Total;100
TOTAL;En % de la población total de cada colectivo;Abonados o socios: Total;42,3
TOTAL;En % de la población total de cada colectivo;Abonados o socios: Públicos;15,9
TOTAL;En % de la población total de cada colectivo;Abonados o socios: Privados;31,4
TOTAL;En % de la población total de cada colectivo;Abonados o socios de gimnasios: Total;30,7
TOTAL;En % de la población total de cada colectivo;Abonados o socios de gimnasios: Públicos;10,5
TOTAL;En % de la población total de cada colectivo;Abonados o socios de gimnasios: Privados;21,8
TOTAL;En % de la población total de cada colectivo;Abonados o socios a otras asociaciones o clubs: Total;19,9
TOTAL;En % de la población total de cada colectivo;Abonados o socios a otras asociaciones o clubs: Públicos;14,5
TOTAL;En % de la población total de cada colectivo;Abonados o socios a otras asociaciones o clubs: Privados;7,2
TOTAL;En % de la población que practicó deporte en el último año de cada colectivo;Total;100
TOTAL;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios: Total;61,8
TOTAL;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios: Públicos;23,0
TOTAL;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios: Privados;46,3
TOTAL;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios de gimnasios: Total;46,3
TOTAL;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios de gimnasios: Públicos;15,6
TOTAL;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios de gimnasios: Privados;33,1
TOTAL;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios a otras asociaciones o clubs: Total;28,2
TOTAL;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios a otras asociaciones o clubs: Públicos;10,1
TOTAL;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios a otras asociaciones o clubs: Privados;20,7
Andalucía;En % de la población total de cada colectivo;Total;100
Andalucía;En % de la población total de cada colectivo;Abonados o socios: Total;40,3
Andalucía;En % de la población total de cada colectivo;Abonados o socios: Públicos;13,7
Andalucía;En % de la población total de cada colectivo;Abonados o socios: Privados;30,3
Andalucía;En % de la población total de cada colectivo;Abonados o socios de gimnasios: Total;28,9
Andalucía;En % de la población total de cada colectivo;Abonados o socios de gimnasios: Públicos;8,6
Andalucía;En % de la población total de cada colectivo;Abonados o socios de gimnasios: Privados;21,5
Andalucía;En % de la población total de cada colectivo;Abonados o socios a otras asociaciones o clubs: Total;18,4
Andalucía;En % de la población total de cada colectivo;Abonados o socios a otras asociaciones o clubs: Públicos;12,7
