Sexo y nivel de estudios;País;Indicador;periodo;Total
TOTAL;UNIÓN EUROPEA 27;Total (En miles);2023;1.547,3
TOTAL;UNIÓN EUROPEA 27;Total (En miles);2022;1.514,9
TOTAL;UNIÓN EUROPEA 27;Total (En miles);2021;1.364,2
TOTAL;UNIÓN EUROPEA 27;Total (En miles);2020;1.315,1
TOTAL;UNIÓN EUROPEA 27;Total (En miles);2019;1.369,0
TOTAL;UNIÓN EUROPEA 27;Total (En miles);2018;1.321,6
TOTAL;UNIÓN EUROPEA 27;Total (En miles);2017;1.292,0
TOTAL;UNIÓN EUROPEA 27;Total (En miles);2016;1.260,9
TOTAL;UNIÓN EUROPEA 27;Total (En miles);2015;1.210,7
TOTAL;UNIÓN EUROPEA 27;Total (En miles);2014;1.172,8
TOTAL;UNIÓN EUROPEA 27;Total (En miles);2013;1.140,5
TOTAL;UNIÓN EUROPEA 27;Total (En miles);2012;1.159,5
TOTAL;UNIÓN EUROPEA 27;Total (En miles);2011;1.118,6
TOTAL;UNIÓN EUROPEA 27;En porcentaje del total de empleo de cada colectivo;2023;0,8
TOTAL;UNIÓN EUROPEA 27;En porcentaje del total de empleo de cada colectivo;2022;0,8
TOTAL;UNIÓN EUROPEA 27;En porcentaje del total de empleo de cada colectivo;2021;0,7
TOTAL;UNIÓN EUROPEA 27;En porcentaje del total de empleo de cada colectivo;2020;0,7
TOTAL;UNIÓN EUROPEA 27;En porcentaje del total de empleo de cada colectivo;2019;0,7
TOTAL;UNIÓN EUROPEA 27;En porcentaje del total de empleo de cada colectivo;2018;0,7
TOTAL;UNIÓN EUROPEA 27;En porcentaje del total de empleo de cada colectivo;2017;0,7
TOTAL;UNIÓN EUROPEA 27;En porcentaje del total de empleo de cada colectivo;2016;0,7
TOTAL;UNIÓN EUROPEA 27;En porcentaje del total de empleo de cada colectivo;2015;0,6
TOTAL;UNIÓN EUROPEA 27;En porcentaje del total de empleo de cada colectivo;2014;0,6
TOTAL;UNIÓN EUROPEA 27;En porcentaje del total de empleo de cada colectivo;2013;0,6
TOTAL;UNIÓN EUROPEA 27;En porcentaje del total de empleo de cada colectivo;2012;0,6
TOTAL;UNIÓN EUROPEA 27;En porcentaje del total de empleo de cada colectivo;2011;0,6
TOTAL;Bélgica;Total (En miles);2023;32,6
TOTAL;Bélgica;Total (En miles);2022;30,2
TOTAL;Bélgica;Total (En miles);2021;25,7
TOTAL;Bélgica;Total (En miles);2020;27,7
TOTAL;Bélgica;Total (En miles);2019;24,0
TOTAL;Bélgica;Total (En miles);2018;23,5
TOTAL;Bélgica;Total (En miles);2017;23,2
TOTAL;Bélgica;Total (En miles);2016;23,6
TOTAL;Bélgica;Total (En miles);2015;19,4
TOTAL;Bélgica;Total (En miles);2014;20,1
TOTAL;Bélgica;Total (En miles);2013;21,0
TOTAL;Bélgica;Total (En miles);2012;22,4
TOTAL;Bélgica;Total (En miles);2011;23,5
TOTAL;Bélgica;En porcentaje del total de empleo de cada colectivo;2023;0,7
TOTAL;Bélgica;En porcentaje del total de empleo de cada colectivo;2022;0,6
TOTAL;Bélgica;En porcentaje del total de empleo de cada colectivo;2021;0,5
TOTAL;Bélgica;En porcentaje del total de empleo de cada colectivo;2020;0,6
TOTAL;Bélgica;En porcentaje del total de empleo de cada colectivo;2019;0,5
TOTAL;Bélgica;En porcentaje del total de empleo de cada colectivo;2018;0,5
TOTAL;Bélgica;En porcentaje del total de empleo de cada colectivo;2017;0,5
TOTAL;Bélgica;En porcentaje del total de empleo de cada colectivo;2016;0,5
TOTAL;Bélgica;En porcentaje del total de empleo de cada colectivo;2015;0,4
TOTAL;Bélgica;En porcentaje del total de empleo de cada colectivo;2014;0,4
TOTAL;Bélgica;En porcentaje del total de empleo de cada colectivo;2013;0,5
TOTAL;Bélgica;En porcentaje del total de empleo de cada colectivo;2012;0,5
TOTAL;Bélgica;En porcentaje del total de empleo de cada colectivo;2011;0,5
TOTAL;Bulgaria;Total (En miles);2023;11,0
TOTAL;Bulgaria;Total (En miles);2022;9,2
TOTAL;Bulgaria;Total (En miles);2021;11,0
TOTAL;Bulgaria;Total (En miles);2020;13,3
TOTAL;Bulgaria;Total (En miles);2019;14,4
TOTAL;Bulgaria;Total (En miles);2018;12,8
TOTAL;Bulgaria;Total (En miles);2017;13,4
TOTAL;Bulgaria;Total (En miles);2016;11,5
TOTAL;Bulgaria;Total (En miles);2015;10,6
TOTAL;Bulgaria;Total (En miles);2014;9,3
TOTAL;Bulgaria;Total (En miles);2013;9,0
TOTAL;Bulgaria;Total (En miles);2012;8,6
TOTAL;Bulgaria;Total (En miles);2011;10,2
TOTAL;Bulgaria;En porcentaje del total de empleo de cada colectivo;2023;0,4
TOTAL;Bulgaria;En porcentaje del total de empleo de cada colectivo;2022;0,3
TOTAL;Bulgaria;En porcentaje del total de empleo de cada colectivo;2021;0,4
TOTAL;Bulgaria;En porcentaje del total de empleo de cada colectivo;2020;0,4
TOTAL;Bulgaria;En porcentaje del total de empleo de cada colectivo;2019;0,4
TOTAL;Bulgaria;En porcentaje del total de empleo de cada colectivo;2018;0,4
TOTAL;Bulgaria;En porcentaje del total de empleo de cada colectivo;2017;0,4
TOTAL;Bulgaria;En porcentaje del total de empleo de cada colectivo;2016;0,4
TOTAL;Bulgaria;En porcentaje del total de empleo de cada colectivo;2015;0,4
TOTAL;Bulgaria;En porcentaje del total de empleo de cada colectivo;2014;0,3
TOTAL;Bulgaria;En porcentaje del total de empleo de cada colectivo;2013;0,3
TOTAL;Bulgaria;En porcentaje del total de empleo de cada colectivo;2012;0,3
TOTAL;Bulgaria;En porcentaje del total de empleo de cada colectivo;2011;0,3
TOTAL;República Checa;Total (En miles);2023;29,6
TOTAL;República Checa;Total (En miles);2022;30,3
TOTAL;República Checa;Total (En miles);2021;29,8
TOTAL;República Checa;Total (En miles);2020;29,4
TOTAL;República Checa;Total (En miles);2019;35,8
TOTAL;República Checa;Total (En miles);2018;34,1
TOTAL;República Checa;Total (En miles);2017;33,1
TOTAL;República Checa;Total (En miles);2016;31,4
TOTAL;República Checa;Total (En miles);2015;27,4
TOTAL;República Checa;Total (En miles);2014;29,0
TOTAL;República Checa;Total (En miles);2013;25,1
TOTAL;República Checa;Total (En miles);2012;22,2
TOTAL;República Checa;Total (En miles);2011;26,0
TOTAL;República Checa;En porcentaje del total de empleo de cada colectivo;2023;0,6
TOTAL;República Checa;En porcentaje del total de empleo de cada colectivo;2022;0,6
TOTAL;República Checa;En porcentaje del total de empleo de cada colectivo;2021;0,6
TOTAL;República Checa;En porcentaje del total de empleo de cada colectivo;2020;0,6
TOTAL;República Checa;En porcentaje del total de empleo de cada colectivo;2019;0,7
TOTAL;República Checa;En porcentaje del total de empleo de cada colectivo;2018;0,6
TOTAL;República Checa;En porcentaje del total de empleo de cada colectivo;2017;0,6
TOTAL;República Checa;En porcentaje del total de empleo de cada colectivo;2016;0,6
TOTAL;República Checa;En porcentaje del total de empleo de cada colectivo;2015;0,5
TOTAL;República Checa;En porcentaje del total de empleo de cada colectivo;2014;0,6
TOTAL;República Checa;En porcentaje del total de empleo de cada colectivo;2013;0,5
TOTAL;República Checa;En porcentaje del total de empleo de cada colectivo;2012;0,5
TOTAL;República Checa;En porcentaje del total de empleo de cada colectivo;2011;0,5
TOTAL;Dinamarca;Total (En miles);2023;37,7
TOTAL;Dinamarca;Total (En miles);2022;34,6
TOTAL;Dinamarca;Total (En miles);2021;27,9
TOTAL;Dinamarca;Total (En miles);2020;26,6
TOTAL;Dinamarca;Total (En miles);2019;30,4
TOTAL;Dinamarca;Total (En miles);2018;28,0
TOTAL;Dinamarca;Total (En miles);2017;26,5
TOTAL;Dinamarca;Total (En miles);2016;28,6
TOTAL;Dinamarca;Total (En miles);2015;28,7
TOTAL;Dinamarca;Total (En miles);2014;27,1
TOTAL;Dinamarca;Total (En miles);2013;23,4
TOTAL;Dinamarca;Total (En miles);2012;25,4
TOTAL;Dinamarca;Total (En miles);2011;25,7
TOTAL;Dinamarca;En porcentaje del total de empleo de cada colectivo;2023;1,3
TOTAL;Dinamarca;En porcentaje del total de empleo de cada colectivo;2022;1,2
TOTAL;Dinamarca;En porcentaje del total de empleo de cada colectivo;2021;1,0
TOTAL;Dinamarca;En porcentaje del total de empleo de cada colectivo;2020;0,9
TOTAL;Dinamarca;En porcentaje del total de empleo de cada colectivo;2019;1,1
TOTAL;Dinamarca;En porcentaje del total de empleo de cada colectivo;2018;1,0
TOTAL;Dinamarca;En porcentaje del total de empleo de cada colectivo;2017;1,0
TOTAL;Dinamarca;En porcentaje del total de empleo de cada colectivo;2016;1,1
TOTAL;Dinamarca;En porcentaje del total de empleo de cada colectivo;2015;1,1
TOTAL;Dinamarca;En porcentaje del total de empleo de cada colectivo;2014;1,0
TOTAL;Dinamarca;En porcentaje del total de empleo de cada colectivo;2013;0,9
TOTAL;Dinamarca;En porcentaje del total de empleo de cada colectivo;2012;1,0
TOTAL;Dinamarca;En porcentaje del total de empleo de cada colectivo;2011;1,0
TOTAL;Alemania;Total (En miles);2023;239,2
TOTAL;Alemania;Total (En miles);2022;238,3
TOTAL;Alemania;Total (En miles);2021;222,5
TOTAL;Alemania;Total (En miles);2020;234,7
TOTAL;Alemania;Total (En miles);2019;262,2
TOTAL;Alemania;Total (En miles);2018;254,8
TOTAL;Alemania;Total (En miles);2017;253,3
TOTAL;Alemania;Total (En miles);2016;243,3
TOTAL;Alemania;Total (En miles);2015;224,2
TOTAL;Alemania;Total (En miles);2014;218,8
TOTAL;Alemania;Total (En miles);2013;218,2
TOTAL;Alemania;Total (En miles);2012;204,3
TOTAL;Alemania;Total (En miles);2011;173,3
TOTAL;Alemania;En porcentaje del total de empleo de cada colectivo;2023;0,6
TOTAL;Alemania;En porcentaje del total de empleo de cada colectivo;2022;0,6
TOTAL;Alemania;En porcentaje del total de empleo de cada colectivo;2021;0,5
TOTAL;Alemania;En porcentaje del total de empleo de cada colectivo;2020;0,6
TOTAL;Alemania;En porcentaje del total de empleo de cada colectivo;2019;0,6
TOTAL;Alemania;En porcentaje del total de empleo de cada colectivo;2018;0,6
TOTAL;Alemania;En porcentaje del total de empleo de cada colectivo;2017;0,6
TOTAL;Alemania;En porcentaje del total de empleo de cada colectivo;2016;0,6
TOTAL;Alemania;En porcentaje del total de empleo de cada colectivo;2015;0,6
TOTAL;Alemania;En porcentaje del total de empleo de cada colectivo;2014;0,6
TOTAL;Alemania;En porcentaje del total de empleo de cada colectivo;2013;0,6
TOTAL;Alemania;En porcentaje del total de empleo de cada colectivo;2012;0,5
TOTAL;Alemania;En porcentaje del total de empleo de cada colectivo;2011;0,5
TOTAL;Estonia;Total (En miles);2023;6,8
TOTAL;Estonia;Total (En miles);2022;7,0
TOTAL;Estonia;Total (En miles);2021;4,9
TOTAL;Estonia;Total (En miles);2020;4,5
TOTAL;Estonia;Total (En miles);2019;6,0
TOTAL;Estonia;Total (En miles);2018;5,3
TOTAL;Estonia;Total (En miles);2017;4,9
TOTAL;Estonia;Total (En miles);2016;5,4
TOTAL;Estonia;Total (En miles);2015;4,8
TOTAL;Estonia;Total (En miles);2014;6,3
TOTAL;Estonia;Total (En miles);2013;5,1
TOTAL;Estonia;Total (En miles);2012;4,0
TOTAL;Estonia;Total (En miles);2011;3,4
TOTAL;Estonia;En porcentaje del total de empleo de cada colectivo;2023;1,0
TOTAL;Estonia;En porcentaje del total de empleo de cada colectivo;2022;1,0
TOTAL;Estonia;En porcentaje del total de empleo de cada colectivo;2021;0,8
TOTAL;Estonia;En porcentaje del total de empleo de cada colectivo;2020;0,7
TOTAL;Estonia;En porcentaje del total de empleo de cada colectivo;2019;0,9
TOTAL;Estonia;En porcentaje del total de empleo de cada colectivo;2018;0,8
TOTAL;Estonia;En porcentaje del total de empleo de cada colectivo;2017;0,8
TOTAL;Estonia;En porcentaje del total de empleo de cada colectivo;2016;0,8
TOTAL;Estonia;En porcentaje del total de empleo de cada colectivo;2015;0,8
TOTAL;Estonia;En porcentaje del total de empleo de cada colectivo;2014;1,0
TOTAL;Estonia;En porcentaje del total de empleo de cada colectivo;2013;0,8
TOTAL;Estonia;En porcentaje del total de empleo de cada colectivo;2012;0,7
TOTAL;Estonia;En porcentaje del total de empleo de cada colectivo;2011;0,6
TOTAL;Irlanda;Total (En miles);2023;26,5
TOTAL;Irlanda;Total (En miles);2022;22,8
TOTAL;Irlanda;Total (En miles);2021;20,0
TOTAL;Irlanda;Total (En miles);2020;21,2
TOTAL;Irlanda;Total (En miles);2019;24,1
TOTAL;Irlanda;Total (En miles);2018;23,8
TOTAL;Irlanda;Total (En miles);2017;23,2
TOTAL;Irlanda;Total (En miles);2016;21,9
TOTAL;Irlanda;Total (En miles);2015;18,4
TOTAL;Irlanda;Total (En miles);2014;19,6
TOTAL;Irlanda;Total (En miles);2013;19,4
TOTAL;Irlanda;Total (En miles);2012;17,7
TOTAL;Irlanda;Total (En miles);2011;19,0
TOTAL;Irlanda;En porcentaje del total de empleo de cada colectivo;2023;1,0
