Tipo de indicador;Actividad económica;Sexo;Periodo;Total
TOTAL;323 Fabricación de artículos de deporte;Total;2025. Mes 12;1.700
TOTAL;323 Fabricación de artículos de deporte;Total;2025. Mes 11;1.799
TOTAL;323 Fabricación de artículos de deporte;Total;2025. Mes 10;1.792
TOTAL;323 Fabricación de artículos de deporte;Total;2025. Mes 09;1.773
TOTAL;323 Fabricación de artículos de deporte;Total;2025. Mes 08;1.821
TOTAL;323 Fabricación de artículos de deporte;Total;2025. Mes 07;1.785
TOTAL;323 Fabricación de artículos de deporte;Total;2025. Mes 06;1.788
TOTAL;323 Fabricación de artículos de deporte;Total;2025. Mes 05;1.803
TOTAL;323 Fabricación de artículos de deporte;Total;2025. Mes 04;1.797
TOTAL;323 Fabricación de artículos de deporte;Total;2025. Mes 03;1.797
TOTAL;323 Fabricación de artículos de deporte;Total;2025. Mes 02;1.777
TOTAL;323 Fabricación de artículos de deporte;Total;2025. Mes 01;1.657
TOTAL;323 Fabricación de artículos de deporte;Total;2024. Mes 12;1.639
TOTAL;323 Fabricación de artículos de deporte;Total;2024. Mes 11;1.763
TOTAL;323 Fabricación de artículos de deporte;Total;2024. Mes 10;1.733
TOTAL;323 Fabricación de artículos de deporte;Total;2024. Mes 09;1.728
TOTAL;323 Fabricación de artículos de deporte;Total;2024. Mes 08;1.713
TOTAL;323 Fabricación de artículos de deporte;Total;2024. Mes 07;1.733
TOTAL;323 Fabricación de artículos de deporte;Total;2024. Mes 06;1.751
TOTAL;323 Fabricación de artículos de deporte;Total;2024. Mes 05;1.748
TOTAL;323 Fabricación de artículos de deporte;Total;2024. Mes 04;1.883
TOTAL;323 Fabricación de artículos de deporte;Total;2024. Mes 03;1.882
TOTAL;323 Fabricación de artículos de deporte;Total;2024. Mes 02;1.803
TOTAL;323 Fabricación de artículos de deporte;Total;2024. Mes 01;1.743
TOTAL;323 Fabricación de artículos de deporte;Total;2023. Mes 12;1.718
TOTAL;323 Fabricación de artículos de deporte;Total;2023. Mes 11;1.834
